Wind_turbine_name,Min_since_last,Date_time,Ba_avg,Ba_min,Ba_max,Ba_std,Rt_avg,Rt_min,Rt_max,Rt_std,DCs_avg,DCs_min,DCs_max,DCs_std,Cm_avg,Cm_min,Cm_max,Cm_std,P_avg,P_min,P_max,P_std,Q_avg,Q_min,Q_max,Q_std,S_avg,S_min,S_max,S_std,Cosphi_avg,Cosphi_min,Cosphi_max,Cosphi_std,Ds_avg,Ds_min,Ds_max,Ds_std,Db1t_avg,Db1t_min,Db1t_max,Db1t_std,Db2t_avg,Db2t_min,Db2t_max,Db2t_std,Dst_avg,Dst_min,Dst_max,Dst_std,Gb1t_avg,Gb1t_min,Gb1t_max,Gb1t_std,Gb2t_avg,Gb2t_min,Gb2t_max,Gb2t_std,Git_avg,Git_min,Git_max,Git_std,Gost_avg,Gost_min,Gost_max,Gost_std,Ya_avg,Ya_min,Ya_max,Ya_std,Yt_avg,Yt_min,Yt_max,Yt_std,Ws1_avg,Ws1_min,Ws1_max,Ws1_std,Ws2_avg,Ws2_min,Ws2_max,Ws2_std,Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,Va1_avg,Va1_min,Va1_max,Va1_std,Va2_avg,Va2_min,Va2_max,Va2_std,Va_avg,Va_min,Va_max,Va_std,Ot_avg,Ot_min,Ot_max,Ot_std,Nf_avg,Nf_min,Nf_max,Nf_std,Nu_avg,Nu_min,Nu_max,Nu_std,Rs_avg,Rs_min,Rs_max,Rs_std,Rbt_avg,Rbt_min,Rbt_max,Rbt_std
R80711,,2017-06-15T00:10:00+02:00,-0.14,-0.49,0.5,0.22,30.0,30.0,30.0,0.0,971.5,970.22,973.32,0.41000000000000003,521.81,372.03,697.15,115.23,19.43,-3.68,37.92,11.72,3.7,0.0,11.89,3.89,19.98,1.62,38.91,12.14,1.0,1.0,1.0,0.0,970.08,968.8,971.84,0.4,41.96,40.95,42.9,0.44,42.62,42.0,43.3,0.32,61.96,60.4,63.65,0.5700000000000001,59.53,59.3,59.85,0.14,57.14,57.05,57.4,0.08,54.34,54.1,54.65,0.1,54.96,54.8,55.2,0.05,84.51,84.51,84.51,0.0,27.12,26.9,27.3,0.13,4.03,3.16,5.13,0.39,3.84,3.15,4.79,0.34,3.93,3.25,4.79,0.35000000000000003,79.4,22.72,133.69,14.45,-5.12,-61.79,49.18,14.45,-5.12,-61.79,49.18,14.45,,,,,23.04,22.95,23.2,0.07,49.99,49.97,50.01,0.01,704.84,703.43,706.38,0.59,9.23,9.21,9.25,0.01,32.47,32.4,32.5,0.04
R80711,10,2017-06-15T00:20:00+02:00,-0.08,-0.49,0.4,0.18,30.0,30.0,30.0,0.0,971.31,969.97,972.23,0.33,461.8,335.39,643.97,83.79,13.62,0.21,32.24,8.42,3.9699999999999998,0.0,17.42,4.88,14.61,0.96,33.11,9.33,1.0,1.0,1.0,0.0,969.9,968.61,970.79,0.33,40.53,39.7,41.45,0.39,41.67,41.1,42.25,0.25,60.35,59.05,61.6,0.54,59.67,59.35,59.9,0.14,57.39,57.2,57.6,0.05,54.45,54.2,54.85,0.09,55.0,54.85,55.2,0.04,84.51,84.51,84.51,0.0,26.75,26.6,26.95,0.12,3.86,3.16,4.89,0.36,3.67,3.08,4.78,0.33,3.76,3.18,4.67,0.33,77.54,26.19,127.08,13.13,-6.96,-58.32,42.57,13.13,-6.96,-58.32,42.57,13.13,,,,,23.0,22.95,23.0,0.01,50.0,49.97,50.02,0.01,705.08,704.14,706.38,0.42,9.23,9.21,9.25,0.01,32.4,32.4,32.5,0.01
R80711,10,2017-06-15T00:30:00+02:00,0.37,0.0,0.5,0.22,30.0,30.0,30.0,0.0,971.38,970.35,972.22,0.31,305.34,262.47,346.77,17.58,0.0,-8.67,3.01,1.51,0.04,-0.33,1.7000000000000002,0.17,1.38,0.34,8.84,0.97,1.0,1.0,1.0,0.0,969.97,968.95,970.74,0.31,39.3,38.6,40.05,0.34,40.81,40.3,41.4,0.24,58.9,57.7,60.55,0.48,59.28,59.05,59.6,0.09,57.02,56.8,57.3,0.13,54.34,54.1,54.7,0.1,55.0,54.9,55.2,0.04,84.51,84.51,84.51,0.0,26.38,26.2,26.6,0.13,3.32,2.84,3.95,0.2,2.6,0.0,3.7800000000000002,1.27,2.96,1.43,3.8,0.67,85.62,34.75,145.84,16.58,1.15,-49.77,61.32,16.58,1.15,-49.77,61.32,16.58,,,,,22.94,22.9,23.0,0.04,50.0,49.97,50.02,0.01,705.03,702.62,707.23,1.04,9.23,9.21,9.25,0.01,32.4,32.3,32.4,0.02
R80711,10,2017-06-15T00:40:00+02:00,0.5,0.5,0.5,0.0,30.0,30.0,30.0,0.0,971.42,970.53,972.23,0.31,279.07,254.73,317.12,11.7,0.0,-14.26,0.38,1.67,0.16,-1.8900000000000001,2.67,0.36,2.66,0.39,14.53,1.58,1.0,1.0,1.0,0.0,970.01,969.19,970.75,0.31,38.27,37.55,39.0,0.31,40.06,39.6,40.55,0.22,57.64,56.55,58.95,0.42,59.05,58.8,59.2,0.05,56.65,56.5,56.8,0.08,54.29,54.05,54.8,0.09,54.99,54.9,55.1,0.03,84.51,84.51,84.51,0.0,26.02,25.85,26.2,0.11,3.23,1.04,4.01,0.24,2.84,0.0,3.75,0.9500000000000001,3.03,1.48,3.74,0.49,96.68,41.0,149.86,17.61,12.12,-43.51,65.35,17.61,12.12,-43.51,65.35,17.61,,,,,22.67,22.5,22.9,0.12,49.99,49.96,50.01,0.01,703.16,701.08,704.72,0.68,9.23,9.21,9.25,0.01,32.34,32.2,32.4,0.07
R80711,10,2017-06-15T00:50:00+02:00,0.5,0.5,0.5,0.0,30.0,30.0,30.0,0.0,971.4,970.5,972.26,0.34,262.96,220.2,316.17,24.84,0.0,-15.85,0.30000000000000004,2.46,0.09,-2.59,2.2800000000000002,0.31,4.34,0.36,16.28,2.27,1.0,1.0,1.0,0.0,969.98,969.12,970.76,0.34,37.35,36.7,38.0,0.26,39.35,38.9,39.9,0.19,56.56,55.4,57.65,0.43,58.93,58.75,59.1,0.09,56.56,56.4,56.6,0.05,54.26,54.05,54.75,0.09,54.97,54.8,55.1,0.04,84.51,84.51,84.51,0.0,25.76,25.6,25.9,0.09,2.89,0.0,4.2,1.03,2.49,0.0,4.03,1.35,2.69,0.0,4.05,1.09,101.93,42.27,159.28,17.9,17.52,-42.24,74.77,17.9,17.52,-42.24,74.77,17.9,,,,,22.48,22.4,22.5,0.03,50.0,49.98,50.02,0.01,704.13,702.43,706.03,0.73,9.23,9.2,9.25,0.01,32.25,32.2,32.4,0.06
R80711,10,2017-06-15T01:00:00+02:00,0.5,0.5,0.5,0.0,30.0,30.0,30.0,0.0,971.41,970.42,972.71,0.37,236.71,173.53,291.48,31.81,0.0,-21.5,-1.1400000000000001,4.01,0.01,-3.06,1.62,0.19,7.02,1.15,21.66,4.0,1.0,1.0,1.0,0.0,969.99,969.09,971.29,0.36,36.56,35.9,37.2,0.25,38.74,38.4,39.15,0.17,55.56,54.3,56.7,0.39,58.79,58.7,59.0,0.06,56.41,56.25,56.5,0.09,54.25,54.05,54.55,0.08,54.97,54.9,55.1,0.04,90.83,84.51,106.46,9.68,25.55,25.5,25.7,0.05,1.99,0.0,3.94,1.54,1.51,0.0,3.88,1.6,1.75,0.0,3.88,1.47,123.42,51.28,169.84,18.24,16.9,-49.27,85.33,19.97,16.9,-49.27,85.33,19.97,,,,,22.41,22.4,22.5,0.03,50.0,49.95,50.02,0.02,704.67,702.68,705.85,0.53,9.23,9.21,9.25,0.01,32.21,32.2,32.3,0.02
R80711,10,2017-06-15T01:10:00+02:00,0.19,0.0,0.5,0.24,30.0,30.0,30.0,0.0,971.48,969.77,973.02,0.46,337.98,236.1,425.44,43.6,3.2,-14.17,10.73,4.3,0.02,-0.27,1.05,0.09,4.59,0.45,14.2,2.81,1.0,1.0,1.0,0.0,970.06,968.39,971.49,0.44,36.13,35.7,36.55,0.16,38.43,38.15,38.85,0.13,54.91,54.05,55.8,0.29,58.94,58.65,59.3,0.15,56.48,56.3,56.8,0.14,54.36,54.05,54.8,0.13,55.03,54.9,55.2,0.07,106.46,106.46,106.46,0.0,27.61,25.5,29.6,1.43,3.3,2.74,4.11,0.23,3.22,0.0,4.03,0.42,3.26,1.5899999999999999,3.95,0.27,110.85,75.39,177.52,33.64,4.39,-31.07,71.05,33.64,4.39,-31.07,71.05,33.64,,,,,22.38,22.2,22.4,0.05,49.98,49.94,50.02,0.02,707.15,705.18,709.87,1.19,9.23,9.21,9.25,0.01,32.29,32.2,32.45,0.1
R80711,10,2017-06-15T01:20:00+02:00,0.0,0.0,0.17,0.01,30.0,30.0,30.0,0.0,971.43,970.35,972.71,0.39,421.84,334.88,502.82,38.65,11.07,1.31,19.51,3.9,0.03,-0.03,0.8300000000000001,0.11,11.09,3.24,19.56,3.88,1.0,1.0,1.0,0.0,970.0,968.95,971.2,0.37,37.24,36.2,38.3,0.48,39.25,38.6,39.95,0.34,55.78,54.4,57.2,0.55,59.48,59.2,59.8,0.17,57.01,56.7,57.3,0.12,54.64,54.4,55.0,0.11,55.23,55.0,55.4,0.06,106.46,106.46,106.46,0.0,30.66,29.6,31.5,0.51,3.54,2.89,4.21,0.24,3.52,2.86,4.28,0.28,3.5300000000000002,2.94,4.18,0.24,117.9,53.96,179.02,15.82,11.44,-52.5,72.56,15.82,11.44,-52.5,72.56,15.82,,,,,22.42,22.2,22.5,0.05,49.99,49.97,50.02,0.01,708.67,706.36,709.94,0.73,9.23,9.21,9.25,0.01,32.47,32.4,32.5,0.04
R80711,10,2017-06-15T01:30:00+02:00,0.0,0.0,0.23,0.01,30.0,30.0,30.0,0.0,971.42,970.3,972.74,0.34,424.51,397.21,466.43,12.77,11.02,0.46,14.57,1.8900000000000001,0.0,-1.97,0.17,0.1,11.05,3.03,14.57,1.78,1.0,1.0,1.0,0.0,969.99,969.01,971.18,0.32,38.97,37.8,40.05,0.52,40.5,39.8,41.3,0.37,57.58,56.05,59.05,0.61,59.87,59.7,60.1,0.09,57.3,57.1,57.4,0.08,54.87,54.6,55.15,0.09,55.41,55.2,55.7,0.09,113.0,106.46,125.12,8.72,32.08,31.5,32.6,0.30000000000000004,3.67,3.1,4.35,0.21,3.64,2.99,4.53,0.27,3.66,3.14,4.36,0.22,139.49,73.1,186.73,14.03,14.34,-44.12,80.27,15.87,14.34,-44.12,80.27,15.87,,,,,22.5,22.4,22.5,0.01,50.0,49.98,50.02,0.01,707.93,706.29,709.3,0.56,9.23,9.21,9.25,0.01,32.61,32.5,32.7,0.09
R80711,10,2017-06-15T01:40:00+02:00,0.0,0.0,0.26,0.01,30.0,30.0,30.0,0.0,971.39,970.61,972.05,0.32,420.59,339.72,454.05,27.17,11.05,3.7,14.92,2.81,0.0,-0.15,0.43,0.02,11.07,3.7,14.92,2.7800000000000002,1.0,1.0,1.0,0.0,969.97,969.27,970.58,0.30000000000000004,40.77,39.6,41.9,0.53,41.81,41.0,42.55,0.36,59.6,57.85,61.45,0.68,60.14,59.9,60.3,0.07,57.51,57.35,57.65,0.09,55.05,54.8,55.4,0.11,55.63,55.4,55.8,0.1,125.12,125.12,125.12,0.0,32.99,32.6,33.4,0.26,3.65,2.96,4.37,0.25,3.55,2.65,4.43,0.26,3.6,2.89,4.26,0.23,131.95,67.61,194.73,15.51,6.83,-57.52,69.61,15.51,6.83,-57.52,69.61,15.51,,,,,22.5,22.45,22.5,0.0,50.0,49.98,50.02,0.01,707.51,705.81,709.68,0.91,9.23,9.21,9.25,0.01,32.7,32.7,32.8,0.01
