Wind_turbine_name,Min_since_last,Date_time,Ba_avg,Ba_min,Ba_max,Ba_std,Rt_avg,Rt_min,Rt_max,Rt_std,DCs_avg,DCs_min,DCs_max,DCs_std,Cm_avg,Cm_min,Cm_max,Cm_std,P_avg,P_min,P_max,P_std,Q_avg,Q_min,Q_max,Q_std,S_avg,S_min,S_max,S_std,Cosphi_avg,Cosphi_min,Cosphi_max,Cosphi_std,Ds_avg,Ds_min,Ds_max,Ds_std,Db1t_avg,Db1t_min,Db1t_max,Db1t_std,Db2t_avg,Db2t_min,Db2t_max,Db2t_std,Dst_avg,Dst_min,Dst_max,Dst_std,Gb1t_avg,Gb1t_min,Gb1t_max,Gb1t_std,Gb2t_avg,Gb2t_min,Gb2t_max,Gb2t_std,Git_avg,Git_min,Git_max,Git_std,Gost_avg,Gost_min,Gost_max,Gost_std,Ya_avg,Ya_min,Ya_max,Ya_std,Yt_avg,Yt_min,Yt_max,Yt_std,Ws1_avg,Ws1_min,Ws1_max,Ws1_std,Ws2_avg,Ws2_min,Ws2_max,Ws2_std,Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,Va1_avg,Va1_min,Va1_max,Va1_std,Va2_avg,Va2_min,Va2_max,Va2_std,Va_avg,Va_min,Va_max,Va_std,Ot_avg,Ot_min,Ot_max,Ot_std,Nf_avg,Nf_min,Nf_max,Nf_std,Nu_avg,Nu_min,Nu_max,Nu_std,Rs_avg,Rs_min,Rs_max,Rs_std,Rbt_avg,Rbt_min,Rbt_max,Rbt_std
R80711,,2017-02-07T10:30:00+01:00,92.07,92.07,92.07,0.0,11.0,11.0,11.0,0.0,3.1600001,2.9100001,11.63,0.98000002,-8.0699997,-8.5200005,-7.7399998,0.12,-0.16,-2.7,0.0,0.37,0.0,0.0,0.0,0.0,0.16,0.0,2.7,0.37,1.0,1.0,1.0,0.0,0.09000000400000001,0.0,7.1300001,0.68000001,33.110001,33.099998,33.200001,0.029999999000000003,30.059999,30.0,30.1,0.050000001,49.880001,49.700001,50.099998,0.079999998,44.02,43.5,44.5,0.25,46.57,46.099998,47.200001,0.27000001,30.700001,29.299999,36.0,1.24,45.43,45.099998,45.700001,0.11,171.22,171.22,171.22,0.0,17.66,17.4,17.700001,0.050000001,4.46,2.1800001,6.9200001,0.81,4.1399999,1.76,6.48,0.94999999,4.3000002,2.03,6.6500001,0.85000002,174.78999,130.82001,207.61,13.43,,,,,,,,,3.55,-40.400002,36.389999,13.43,3.24,3.0,3.4000000999999997,0.09000000400000001,49.990002,49.970001,50.009998,0.009999999800000001,701.03003,700.0,702.08002,0.47000000000000003,0.0,0.0,0.0,0.0,15.97,15.9,16.0,0.029999999000000003
R80711,10,2017-02-07T10:40:00+01:00,57.310001,-0.99000001,92.709999,36.790001,11.0,11.0,11.0,0.0,291.98001,2.96,1195.9,435.26001,164.85001,-10.76,1631.5,463.62,13.36,-18.23,167.75999,44.52,1.96,-5.7199998,25.950001,5.3000002,18.83,0.0,168.44,42.970001,1.0,-1.0,0.95999998,0.009999999800000001,289.72,0.0,1194.4,435.69,33.040001,32.700001,33.200001,0.12,29.5,28.5,30.0,0.41999999,49.119999,47.799999,49.799999,0.62,43.709999,42.700001,46.099998,1.09,45.82,45.200001,46.5,0.38,42.09,36.099998,43.400002,1.76,44.950001,44.400002,45.400002,0.28999999,173.03999,169.02,174.50999,2.1400001,17.6,17.200001,17.700001,0.079999998,4.1900001,1.5599999,7.4499998,1.12,3.96,1.22,7.3800001,1.1,4.0799999,1.3900000000000001,7.4099998,1.1,167.85001,85.68,228.53,14.66,,,,,,,,,-6.6900001,-88.830002,55.220001,15.54,3.45,3.3,3.5999999,0.11,49.970001,49.950001,50.009998,0.009999999800000001,700.57001,699.42999,702.03003,0.52999997,2.76,0.0,11.39,4.1500001,15.9,15.8,16.0,0.029999999000000003
R80711,10,2017-02-07T10:50:00+01:00,92.050003,92.050003,92.050003,0.0,11.0,11.0,11.0,0.0,3.8900001,2.98,14.02,2.1199999,-7.8800001,-8.1899996,-7.5799999,0.079999998,-0.81,-2.49,0.0,0.82999998,0.0,0.0,0.0,0.0,0.81,0.0,2.49,0.82999998,1.0,1.0,1.0,0.0,3.54,0.0,22.49,5.54,32.610001,32.5,32.75,0.1,28.559999,28.4,28.6,0.079999998,47.66,47.5,47.849998,0.09000000400000001,44.18,43.400002,45.400002,0.55000001,46.02,45.400002,46.5,0.33000001,41.790001,39.950001,43.400002,1.29,44.919998,44.299999,45.400002,0.23,174.50999,174.50999,174.50999,0.0,17.219999,16.9,17.6,0.19,4.2399998,1.5,6.6100001,0.98000002,4.1100001,1.6799998999999999,6.27,0.95999998,4.1799998,1.5899999999999999,6.4400001,0.95999998,173.84,83.480003,205.74001,179.74001,,,,,,,,,-0.63999999,-91.029999,31.219999,179.74001,3.55,3.5,3.8,0.050000001,50.0,49.98,50.009998,0.009999999800000001,700.67999,699.79999,701.91998,0.46000001,0.0,0.0,0.0,0.0,15.8,15.7,15.9,0.079999998
R80711,10,2017-02-07T11:00:00+01:00,52.209999,-0.99000001,92.099998,41.689999,11.0,11.0,11.0,0.0,361.82999,3.0,1181.89,449.97,175.09,-8.0600004,1794.0699,358.22,11.5,-17.059999,173.5,25.74,3.1800001,-0.02,26.66,6.0500002,13.44,0.0,173.78999,25.790001,1.0,1.0,0.95999998,0.009999999800000001,359.48001,0.0,1180.42,450.44,32.450001,32.150002,32.599998,0.079999998,28.469999,27.700001,28.65,0.23999999,47.16,45.599998,47.599998,0.47999999,43.490002,42.549999,45.900002,0.76999998,45.16,44.799999,45.599998,0.18000001000000002,39.23,35.0,43.5,2.6600001,44.290001,44.049999,44.599998,0.14,174.50999,174.50999,174.50999,0.0,18.030001,17.6,18.5,0.33000001,3.9400001,1.8099999,5.5100002,0.66000003,3.9200001,2.0899999,5.3800001,0.55000001,3.9300001,2.03,5.2199998,0.57999998,173.92,127.2,252.89,15.15,,,,,,,,,-0.58999997,-47.310001,78.379997,15.15,3.6700001,3.55,3.8,0.09000000400000001,50.0,49.970001,50.029999,0.009999999800000001,701.59003,700.25,703.65997,0.6900000000000001,3.4000000999999997,0.0,11.25,4.3000002,15.81,15.7,15.9,0.079999998
R80711,10,2017-02-07T11:10:00+01:00,-0.77999997,-0.99000001,0.5,0.38,11.02,11.0,11.86,0.09000000400000001,1034.71,966.63,1231.29,73.139999,1078.41,306.60999,1846.42,370.13,87.93,1.38,205.83,48.830002,13.14,0.0,18.59,3.26,89.349998,1.38,206.09,48.209999,0.99000001,1.0,0.94999999,0.009999999800000001,1033.22,965.08002,1229.97,73.209999,32.099998,31.85,32.400002,0.11,27.200001,26.950001,27.799999,0.19,46.23,45.450001,47.299999,0.31,48.720001,45.900002,51.25,1.63,47.849998,45.5,50.599998,1.58,44.080002,43.349998,44.900002,0.37,44.990002,44.5,45.450001,0.25999999,174.50999,174.50999,174.50999,0.0,18.889999,18.5,19.4,0.31,4.77,2.8599999,6.73,0.74000001,4.6599998,3.0899999,6.3099999,0.62,4.7199998,3.0699999,6.4299998,0.66000003,164.94,35.439999,255.87,15.19,,,,,,,,,-9.5900002,-139.07001,81.360001,15.19,3.74,3.5999999,3.8499999,0.079999998,49.970001,49.93,50.02,0.029999999000000003,703.67999,702.40997,705.17999,0.61000001,9.8299999,9.1800003,11.73,0.69999999,16.129999,15.9,16.5,0.16
R80711,10,2017-02-07T11:20:00+01:00,-0.93000001,-0.99000001,0.0,0.19,11.81,11.0,12.0,0.34999999,1089.23,961.34003,1272.35,98.400002,1325.42,469.79001,1997.87,370.06,123.39,16.65,234.84,56.259998,14.7,8.21,21.059999,2.3699999,124.69,20.66,235.11,55.43,0.99000001,1.0,0.92000002,0.009999999800000001,1087.89,959.96997,1271.1,98.470001,32.630001,31.9,33.299999,0.28999999,27.530001,27.0,28.0,0.23,47.439999,46.349998,48.599998,0.47000000000000003,52.830002,51.150002,53.599998,0.72000003,52.32,50.400002,53.299999,0.81,45.049999,44.5,45.599998,0.27000001,45.830002,45.200001,46.099998,0.2,174.50999,174.50999,174.50999,0.0,19.959999,19.4,20.299999,0.25,5.1399999,3.6400001,7.0,0.67000002,4.9699998,3.3399999,6.6300001,0.60000002,5.0500002,3.5,6.8200002,0.62,163.25999,111.65,296.28,13.54,,,,,,,,,-11.27,-62.860001,121.77,13.54,3.6700001,3.5999999,3.8,0.079999998,50.009998,49.990002,50.029999,0.009999999800000001,703.78998,702.48999,705.15997,0.57999998,10.36,9.1300001,12.12,0.9400000000000001,16.700001,16.4,17.0,0.16
R80711,10,2017-02-07T11:30:00+01:00,-0.9400000000000001,-0.99000001,0.0,0.20999999,12.0,12.0,12.0,0.0,1210.27,966.23999,1473.35,125.54,1717.24,456.82999,2656.3201,469.03,194.25,12.43,388.92999,82.809998,13.09,0.44999999,20.059999,3.1800001,194.98,12.62,389.01001,82.239998,1.0,1.0,0.94999999,0.009999999800000001,1209.08,964.89001,1472.37,125.65,33.66,32.900002,34.400002,0.34,28.43,27.85,29.0,0.31,48.98,47.900002,50.200001,0.44999999,54.880001,53.200001,56.25,1.08,54.23,51.900002,56.0,1.6099999999999999,45.400002,44.799999,45.950001,0.25,46.48,45.950001,46.950001,0.33000001,174.50999,174.50999,174.50999,0.0,20.799999,20.299999,21.299999,0.33000001,5.5300002,3.5999999,8.0,0.80000001,5.4099998,3.54,7.6599998,0.70999998,5.4699998,3.73,7.8299999,0.74000001,164.61,124.72,215.73,12.69,,,,,,,,,-9.8599997,-49.790001,41.220001,12.69,3.71,3.5999999,3.8,0.09000000400000001,50.0,49.98,50.029999,0.009999999800000001,704.17999,703.12,705.12,0.5,11.51,9.1800003,14.04,1.2,17.25,16.9,17.6,0.17
R80711,10,2017-02-07T11:40:00+01:00,-0.99000001,-0.99000001,-0.99000001,0.0,12.0,12.0,12.0,0.0,1155.87,983.92999,1410.0,128.83,1584.48,1015.2,2465.6101,417.73999,166.96001,74.279999,340.12,77.160004,12.35,-23.35,18.889999,3.8099999,167.67999,76.529999,340.22,76.760002,0.99000001,-0.99000001,0.95999998,0.009999999800000001,1154.67,982.63,1409.0699,128.92,34.869999,34.099998,35.599998,0.38,29.459999,28.9,30.1,0.31999999,50.400002,49.049999,51.700001,0.51999998,56.709999,56.0,57.299999,0.28,56.32,55.5,57.299999,0.50999999,46.169998,45.700001,46.650002,0.19,47.240002,46.849998,47.599998,0.17,174.50999,174.50999,174.50999,0.0,21.57,21.200001,21.700001,0.14,5.3099999,3.1700001,7.8000001999999995,0.87,5.23,3.7199999999999998,7.71,0.74000001,5.27,3.55,7.6799998,0.79000002,168.27,144.05,230.23,145.2,,,,,,,,,-6.25,-30.459999,55.720001,145.2,3.8099999,3.5999999,3.9000000999999997,0.059999999000000005,49.98,49.950001,50.009998,0.009999999800000001,703.66998,702.38,704.88,0.62,10.99,9.3500004,13.44,1.23,17.799999,17.6,18.0,0.15000001000000002
R80711,10,2017-02-07T11:50:00+01:00,-0.99000001,-0.99000001,-0.99000001,0.0,12.0,12.0,12.0,0.0,1242.24,1086.29,1445.3101,101.15,1841.24,1304.01,2549.3,336.56,213.97,117.34,364.57001,67.82,12.1,2.5799999,19.16,3.2800000000000002,214.46001,118.48,364.70001,67.540001,1.0,1.0,0.99000001,0.0,1241.16,1085.05,1444.33,101.21,36.09,35.299999,36.950001,0.38999999,30.57,29.9,31.200001,0.31999999,51.990002,50.799999,53.25,0.5,57.66,56.450001,58.099998,0.41999999,57.299999,55.5,58.200001,0.68000001,46.939999,46.150002,47.549999,0.28,47.82,47.25,48.200001,0.22,174.50999,174.50999,174.50999,0.0,22.209999,21.700001,22.5,0.20999999,5.27,3.7199999999999998,7.6399999,0.69999999,5.3600001,3.96,7.46,0.66000003,5.3200002,3.8399999,7.5100002,0.64999998,177.12,130.59,225.0,13.68,,,,,,,,,2.5999999,-43.919998,50.490002,13.68,3.8,3.8,3.8499999,0.0,49.990002,49.959999,50.02,0.009999999800000001,703.23999,701.63,704.71002,0.60000002,11.82,10.33,13.78,0.97000003,18.23,18.0,18.5,0.13
R80711,10,2017-02-07T12:00:00+01:00,-0.72000003,-0.99000001,0.5,0.44999999,12.0,12.0,12.0,0.0,1081.86,960.48999,1316.48,108.53,1189.6899,278.63,2133.96,529.08002,109.64,-0.07,262.07001,74.519997,14.64,0.0,21.74,4.0100002,111.9,2.0999999,262.34,72.769997,1.0,1.0,0.93000001,0.009999999800000001,1080.6801,959.15997,1315.4,108.6,37.380001,36.5,38.200001,0.34999999,31.620001,31.0,32.200001,0.30000001,53.650002,52.25,55.0,0.60000002,57.34,56.25,58.200001,0.63999999,56.389999,54.599998,57.700001,1.11,47.209999,46.799999,47.650002,0.15000001000000002,48.200001,47.950001,48.5,0.09000000400000001,174.50999,174.50999,174.50999,0.0,22.610001,22.5,22.799999,0.1,4.8299999,2.75,7.3899999,0.89999998,4.7600002,2.8599999,6.8600001,0.81,4.8000001999999995,2.8499999,6.98,0.82999998,166.8,109.29,225.25,16.389999,,,,,,,,,-7.73,-65.220001,50.73,16.389999,3.8399999,3.8,3.9000000999999997,0.050000001,50.009998,49.98,50.029999,0.009999999800000001,703.60999,701.71002,704.98999,0.63,10.29,9.1199999,12.54,1.04,18.629999,18.5,18.799999,0.11
