Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness
120,600,1697,0.0374808,0.00274779,23,22,0,0.011075,0.016744,0.002748,0.004329,0.004389,0.004978,0.010596,0.018497,0.004797,0.005645,0.004680,0.008078
180,1200,3473,0.0342685,0.00243084,23,22,1,0.007914,0.011859,0.002431,0.003170,0.003780,0.004389,0.004666,0.013067,0.002881,0.004812,0.004189,0.004762
240,1800,5558,0.0327594,0.00226324,23,21,1,0.002994,0.008623,0.002263,0.002737,0.002675,0.003605,0.003003,0.004646,0.002861,0.003220,0.003635,0.004189
300,2400,7932,0.0321163,0.00223224,23,22,1,0.002733,0.004813,0.002232,0.002414,0.002612,0.003262,0.002353,0.003377,0.002520,0.002877,0.003200,0.003737
360,3000,10413,0.029494,0.00212052,23,22,2,0.002539,0.003974,0.002121,0.002256,0.002364,0.002878,0.002157,0.002818,0.002332,0.002676,0.002923,0.003281
420,3600,12376,0.0293181,0.00212663,23,22,4,0.002412,0.002769,0.002128,0.002171,0.002348,0.002539,0.002127,0.002204,0.002227,0.002358,0.002933,0.003211
480,4200,14290,0.0286699,0.00207239,23,22,5,0.002233,0.002575,0.002133,0.002157,0.002267,0.002359,0.002072,0.002140,0.002208,0.002346,0.002936,0.002995
540,4800,16281,0.0277024,0.0020523,24,24,9,0.002142,0.002412,0.002129,0.002143,0.002136,0.002269,0.002052,0.002099,0.002168,0.002330,0.002880,0.002932
600,5400,18389,0.0278413,0.00202941,24,24,9,0.002125,0.002192,0.002107,0.002142,0.002055,0.002182,0.002029,0.002093,0.002139,0.002320,0.002828,0.002882
660,6000,20582,0.0294725,0.00211146,23,22,6,0.002171,0.002232,0.002111,0.002225,0.002143,0.002224,0.002117,0.002173,0.002229,0.002298,0.002791,0.002943
720,6600,22669,0.0284559,0.00211015,23,22,5,0.002176,0.002214,0.002115,0.002180,0.002147,0.002197,0.002110,0.002160,0.002219,0.002277,0.002709,0.002893
