generation,phase,mse_on_a,mae_on_a,mse_on_b,mae_on_b,best_validation_mse
733,pure_A,0.000879225,0.0164878,0.00561345,0.053699,0.0041773
734,boundary,0.000879225,0.0164878,0.00561345,0.053699,0.0041773
734,pure_A,0.000879225,0.0164878,0.00561345,0.053699,0.0043453
739,mixed_AB,0.000879217,0.0164877,0.00561346,0.0536992,0.0049225
744,mixed_AB,0.000879217,0.0164877,0.00561346,0.0536992,0.00532898
749,mixed_AB,0.000879217,0.0164877,0.00561346,0.0536992,0.005425
754,mixed_AB,0.00129638,0.0242134,0.00584557,0.0543736,0.00542126
759,mixed_AB,0.00129638,0.0242134,0.00584557,0.0543736,0.00545468
764,mixed_AB,0.00139828,0.0261295,0.00587379,0.0546139,0.00534653
769,mixed_AB,0.00139828,0.0261295,0.00587379,0.0546139,0.00534578
774,mixed_AB,0.00155649,0.0275198,0.0058858,0.0548228,0.00537102
779,mixed_AB,0.00161519,0.0282339,0.00584608,0.0548486,0.00556189
784,mixed_AB,0.00110277,0.0236355,0.00516104,0.0491364,0.00555277
789,mixed_AB,0.000864451,0.0171283,0.00519553,0.0483695,0.00562556
794,mixed_AB,0.000864451,0.0171283,0.00519553,0.0483695,0.00570424
799,mixed_AB,0.000864451,0.0171283,0.00519553,0.0483695,0.00551116
804,mixed_AB,0.000864451,0.0171283,0.00519553,0.0483695,0.00430658
809,mixed_AB,0.000870525,0.0173434,0.00519488,0.0484076,0.00376544
814,mixed_AB,0.000867127,0.0171688,0.00518878,0.0481988,0.0035004
819,mixed_AB,0.000864458,0.0171286,0.00519556,0.0483697,0.00350499
824,mixed_AB,0.000864458,0.0171286,0.00519556,0.0483697,0.00393966
829,mixed_AB,0.00090614,0.0180255,0.0052431,0.0478527,0.00409652
834,mixed_AB,0.00090614,0.0180255,0.0052431,0.0478527,0.00398759
839,mixed_AB,0.000936842,0.0194083,0.00513591,0.0495858,0.00365709
844,mixed_AB,0.000888372,0.017633,0.00506715,0.0485179,0.00318358
849,mixed_AB,0.000838916,0.0158796,0.00506237,0.0485858,0.00314384
854,mixed_AB,0.000822137,0.0137508,0.00512815,0.0470205,0.00313728
859,mixed_AB,0.000798619,0.0142099,0.00502334,0.0474163,0.00310532
