#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.147049,0.137422,0.126598
0.1604,0.147049,0.141485
0.206451,0.1604,0.155746
0.244907,0.206451,0.202229
0.196793,0.244907,0.241461
0.193622,0.196793,0.191844
0.235065,0.193622,0.189052
0.249604,0.235065,0.229957
0.212599,0.249604,0.24566
0.218693,0.212599,0.206828
0.228271,0.218693,0.213202
0.277925,0.228271,0.222958
0.355225,0.277925,0.274717
0.368883,0.355225,0.352101
0.368023,0.368883,0.365511
0.32661,0.368023,0.364599
0.29801,0.32661,0.323168
0.279486,0.29801,0.294389
0.229866,0.279486,0.276052
0.230229,0.229866,0.225237
0.229488,0.230229,0.225683
0.177185,0.229488,0.225249
0.139524,0.177185,0.172961
0.118683,0.139524,0.135876
