Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness,Island_2_best_fitness,Island_2_worst_fitness,Island_3_best_fitness,Island_3_worst_fitness,Island_4_best_fitness,Island_4_worst_fitness,Island_5_best_fitness,Island_5_worst_fitness,Island_6_best_fitness,Island_6_worst_fitness,Island_7_best_fitness,Island_7_worst_fitness,Island_8_best_fitness,Island_8_worst_fitness,Island_9_best_fitness,Island_9_worst_fitness,Island_10_best_fitness,Island_10_worst_fitness,Island_11_best_fitness,Island_11_worst_fitness,Island_12_best_fitness,Island_12_worst_fitness,Island_13_best_fitness,Island_13_worst_fitness,Island_14_best_fitness,Island_14_worst_fitness,Island_15_best_fitness,Island_15_worst_fitness,Island_16_best_fitness,Island_16_worst_fitness,Island_17_best_fitness,Island_17_worst_fitness,Island_18_best_fitness,Island_18_worst_fitness,Island_19_best_fitness,Island_19_worst_fitness
400,2000,27665,0.0304831,0.00221736,23,22,3,0.007908,0.020638,0.002679,0.003178,0.002971,0.097693,0.004431,0.006360,0.002217,0.002966,0.022660,0.112312,0.002521,0.035137,0.002442,0.005614,0.002980,0.004350,0.003389,0.009086,0.004076,0.012270,0.009405,0.012757,0.002564,0.003839,0.018066,0.023029,0.002645,0.004048,0.006671,0.011090,0.002414,0.003551,0.002268,0.002502,0.002386,0.004705,0.002607,0.004441
600,4000,43535,0.0298806,0.00213713,23,22,3,0.007679,0.013429,0.002497,0.002673,0.002690,0.013486,0.003056,0.004722,0.002137,0.002259,0.009489,0.020163,0.002516,0.004312,0.002304,0.003001,0.002635,0.003096,0.002410,0.003966,0.004105,0.006283,0.002805,0.009378,0.002443,0.002584,0.005608,0.020131,0.002366,0.002590,0.004613,0.006882,0.002306,0.002796,0.002235,0.002290,0.002231,0.002552,0.002259,0.003116
800,6000,60460,0.0284219,0.00210734,24,26,1,0.003835,0.008252,0.002443,0.002541,0.002558,0.003554,0.002135,0.002626,0.002138,0.002196,0.004902,0.016939,0.002289,0.002599,0.002166,0.002330,0.002302,0.002632,0.002165,0.002368,0.002468,0.005431,0.002829,0.008122,0.002307,0.002441,0.002784,0.006792,0.002285,0.002444,0.002968,0.004459,0.002226,0.002301,0.002162,0.002244,0.002224,0.002272,0.002107,0.002305
1000,8000,89473,0.0297567,0.00208041,24,27,3,0.002978,0.005559,0.002369,0.002478,0.002261,0.002703,0.002122,0.002321,0.002080,0.002170,0.003451,0.006363,0.002288,0.002585,0.002115,0.002224,0.002209,0.002314,0.002161,0.002338,0.002469,0.004024,0.002443,0.007894,0.002307,0.002372,0.002443,0.002696,0.002267,0.002316,0.002238,0.003425,0.002181,0.002225,0.002135,0.002202,0.002200,0.002230,0.002106,0.002161
1200,10000,114356,0.0286784,0.00204492,24,26,2,0.002795,0.005341,0.002304,0.002382,0.002242,0.002498,0.002122,0.002320,0.002084,0.002124,0.002535,0.003474,0.002195,0.002293,0.002045,0.002158,0.002136,0.002256,0.002158,0.002240,0.002313,0.003203,0.002186,0.002570,0.002251,0.002318,0.002189,0.002613,0.002234,0.002281,0.002096,0.002741,0.002162,0.002181,0.002118,0.002176,0.002156,0.002224,0.002089,0.002137
1400,12000,138232,0.0294127,0.00203876,24,28,2,0.002039,0.002819,0.002239,0.002348,0.002159,0.002354,0.002117,0.002263,0.002084,0.002112,0.002080,0.002524,0.002208,0.002289,0.002050,0.002138,0.002092,0.002220,0.002138,0.002179,0.002313,0.002655,0.002189,0.002296,0.002255,0.002302,0.002193,0.002392,0.002194,0.002246,0.002071,0.002152,0.002167,0.002173,0.002123,0.002182,0.002054,0.002153,0.002082,0.002118
1600,14000,157277,0.0276612,0.00200182,25,32,2,0.002046,0.002475,0.002151,0.002234,0.002154,0.002279,0.002071,0.002183,0.002046,0.002110,0.002076,0.002129,0.002149,0.002224,0.002054,0.002123,0.002068,0.002151,0.002143,0.002167,0.002206,0.002419,0.002193,0.002250,0.002255,0.002297,0.002198,0.002309,0.002170,0.002230,0.002067,0.002150,0.002170,0.002175,0.002105,0.002161,0.002002,0.002115,0.002079,0.002108
1800,16000,177718,0.0276612,0.00200148,25,32,2,0.002027,0.002363,0.002111,0.002224,0.002140,0.002170,0.002066,0.002123,0.002048,0.002074,0.002052,0.002098,0.002107,0.002159,0.002052,0.002082,0.002054,0.002117,0.002142,0.002164,0.002149,0.002348,0.002164,0.002252,0.002248,0.002288,0.002196,0.002249,0.002160,0.002189,0.002068,0.002100,0.002148,0.002169,0.002080,0.002165,0.002001,0.002066,0.002081,0.002099
2000,18000,196714,0.0276612,0.00200728,25,32,2,0.002034,0.002071,0.002112,0.002172,0.002110,0.002153,0.002073,0.002106,0.002038,0.002066,0.002058,0.002073,0.002068,0.002136,0.002050,0.002066,0.002047,0.002084,0.002110,0.002133,0.002099,0.002254,0.002154,0.002236,0.002255,0.002278,0.002186,0.002229,0.002166,0.002181,0.002061,0.002088,0.002154,0.002176,0.002087,0.002155,0.002007,0.002052,0.002065,0.002089
2200,20000,216166,0.0276612,0.0020947,25,32,2,0.002114,0.002139,0.002183,0.002207,0.002173,0.002221,0.002139,0.002166,0.002124,0.002150,0.002140,0.002152,0.002148,0.002171,0.002136,0.002150,0.002131,0.002166,0.002198,0.002216,0.002181,0.002297,0.002223,0.002288,0.002295,0.002344,0.002281,0.002316,0.002246,0.002265,0.002134,0.002149,0.002230,0.002246,0.002121,0.002184,0.002095,0.002128,0.002156,0.002172
2400,22000,236930,0.0283046,0.00209167,24,27,2,0.002092,0.002129,0.002161,0.002198,0.002147,0.002197,0.002143,0.002174,0.002124,0.002150,0.002132,0.002147,0.002142,0.002166,0.002139,0.002148,0.002116,0.002148,0.002203,0.002215,0.002181,0.002265,0.002226,0.002295,0.002299,0.002326,0.002278,0.002311,0.002244,0.002269,0.002141,0.002148,0.002216,0.002236,0.002110,0.002184,0.002099,0.002128,0.002159,0.002175
2600,24000,260035,0.0281197,0.00208014,24,26,2,0.002080,0.002110,0.002109,0.002179,0.002147,0.002154,0.002092,0.002151,0.002092,0.002141,0.002132,0.002148,0.002136,0.002150,0.002141,0.002148,0.002116,0.002147,0.002205,0.002215,0.002163,0.002259,0.002223,0.002262,0.002270,0.002321,0.002279,0.002304,0.002245,0.002254,0.002101,0.002147,0.002196,0.002229,0.002113,0.002133,0.002096,0.002102,0.002159,0.002173
2800,26000,1333201,0.0281197,0.00208354,24,26,2,0.002084,0.002110,0.002112,0.002174,0.002148,0.002153,0.002095,0.002147,0.002095,0.002121,0.002137,0.002152,0.002140,0.002155,0.002144,0.002151,0.002106,0.002149,0.002210,0.002221,0.002142,0.002214,0.002218,0.002267,0.002246,0.002319,0.002281,0.002306,0.002247,0.002255,0.002104,0.002135,0.002171,0.002232,0.002109,0.002136,0.002097,0.002103,0.002148,0.002167
3000,28000,1353098,0.0281197,0.00208739,24,26,2,0.002087,0.002099,0.002109,0.002121,0.002136,0.002155,0.002099,0.002147,0.002098,0.002119,0.002142,0.002154,0.002124,0.002148,0.002139,0.002154,0.002112,0.002137,0.002202,0.002225,0.002148,0.002198,0.002228,0.002269,0.002249,0.002269,0.002285,0.002310,0.002235,0.002252,0.002107,0.002121,0.002172,0.002226,0.002113,0.002137,0.002103,0.002110,0.002151,0.002167
