generation,phase,mse_on_a,mae_on_a,mse_on_b,mae_on_b,best_validation_mse
0,pure_A,0.000886765,0.0168026,0.0124561,0.074497,0.00215298
5,pure_A,0.000877677,0.0162694,0.0094397,0.0652681,0.00200496
10,pure_A,0.000807497,0.015409,0.0097429,0.0655055,0.00208499
15,pure_A,0.000793586,0.0151129,0.00997812,0.0662406,0.00209487
20,pure_A,0.0007893,0.0153495,0.00974746,0.0655008,0.0022808
25,pure_A,0.0007893,0.0153495,0.00974746,0.0655008,0.00206244
30,pure_A,0.00093936,0.0198907,0.00811741,0.0603856,0.00266381
35,pure_A,0.000924154,0.0191443,0.0070751,0.0606783,0.00304367
40,pure_A,0.000929187,0.0192923,0.00707732,0.0607377,0.00305605
45,pure_A,0.000929873,0.0193117,0.00707735,0.0607491,0.00341593
50,pure_A,0.000929873,0.0193117,0.00707735,0.0607491,0.00343579
55,pure_A,0.000929841,0.0193108,0.00707714,0.0607478,0.00338717
60,pure_A,0.000929841,0.0193108,0.00707714,0.0607478,0.0034681
65,pure_A,0.0009246,0.0182627,0.00628456,0.0543854,0.00333436
70,pure_A,0.000894419,0.0177206,0.00644515,0.0548849,0.00317037
75,pure_A,0.000883698,0.0166074,0.00636783,0.054309,0.00337281
80,pure_A,0.000886912,0.016748,0.00637077,0.0543638,0.00338448
85,pure_A,0.000886912,0.016748,0.00637077,0.0543638,0.00320612
90,pure_A,0.000886912,0.016748,0.00637077,0.0543638,0.00343551
95,pure_A,0.000886869,0.0167473,0.00637079,0.0543636,0.00333897
100,pure_A,0.00088687,0.0167473,0.00637078,0.0543636,0.00341522
105,pure_A,0.000891957,0.0169247,0.00636433,0.0543913,0.00341991
110,pure_A,0.000891957,0.0169247,0.00636433,0.0543913,0.00338108
115,pure_A,0.000891957,0.0169247,0.00636433,0.0543913,0.00370447
120,pure_A,0.000891957,0.0169247,0.00636433,0.0543913,0.0037022
125,pure_A,0.000891957,0.0169247,0.00636433,0.0543913,0.00382944
130,pure_A,0.000894479,0.0169936,0.00637542,0.054443,0.00347362
135,pure_A,0.000883732,0.0180288,0.00785545,0.0596693,0.00291349
140,pure_A,0.000793723,0.0141246,0.00673557,0.0551235,0.00286061
145,pure_A,0.00080246,0.0149085,0.00658189,0.0544795,0.00300797
150,pure_A,0.000792896,0.0145822,0.00661485,0.0545804,0.00314502
155,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00366833
160,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00397708
165,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00420292
170,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00430725
175,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00404651
180,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00395321
185,pure_A,0.000802225,0.0149031,0.00665149,0.0547646,0.00391636
190,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00354722
195,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00384907
200,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00386518
205,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.0038802
210,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00397138
215,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00379642
220,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00356543
225,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00364875
230,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00372737
235,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00370666
240,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00393097
245,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00338148
250,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00322943
255,pure_A,0.000802225,0.014903,0.00665499,0.0547801,0.00261757
260,pure_A,0.000800277,0.0148607,0.00666033,0.0548035,0.0022208
265,pure_A,0.000802362,0.014906,0.00659638,0.0545399,0.002144
270,pure_A,0.000802362,0.014906,0.00659638,0.0545399,0.0023937
275,pure_A,0.000802362,0.014906,0.00659638,0.0545399,0.00307846
280,pure_A,0.000802362,0.014906,0.00659638,0.0545399,0.00308926
285,pure_A,0.000802362,0.014906,0.00659638,0.0545399,0.0034882
290,pure_A,0.000802362,0.014906,0.00659638,0.0545399,0.00417121
295,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00432144
300,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00450248
305,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.0048092
310,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00486711
315,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00493985
320,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00489553
325,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00477527
330,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00488931
335,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00497212
340,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00504934
345,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00512839
350,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00518205
355,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00559912
360,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00579588
365,pure_A,0.000827502,0.0159832,0.00653628,0.054404,0.00603812
370,pure_A,0.000827502,0.0159832,0.00653628,0.054404,0.00568499
375,pure_A,0.000802484,0.0149103,0.00656478,0.0544105,0.00499204
380,pure_A,0.000888533,0.0175079,0.00705728,0.0570518,0.00506336
385,pure_A,0.000888533,0.0175079,0.00705728,0.0570518,0.00521342
390,pure_A,0.000886597,0.0171797,0.00728361,0.0576129,0.00456221
395,pure_A,0.000886597,0.0171797,0.00728361,0.0576129,0.00410562
400,pure_A,0.000886597,0.0171797,0.00728361,0.0576129,0.00388209
405,pure_A,0.000864824,0.0166747,0.00692867,0.0562594,0.00379138
410,pure_A,0.000864824,0.0166747,0.00692867,0.0562594,0.00361253
415,pure_A,0.000863636,0.0166377,0.0069367,0.0562646,0.00338256
420,pure_A,0.000867251,0.0168226,0.00691751,0.0561089,0.00338153
425,pure_A,0.000804557,0.0144313,0.00893803,0.0682081,0.00356576
430,pure_A,0.000801632,0.0142566,0.00894727,0.0679512,0.00309828
435,pure_A,0.000802996,0.0146432,0.00953865,0.0697311,0.00318433
440,pure_A,0.000802245,0.0144763,0.00926229,0.0689747,0.00313168
445,pure_A,0.000872051,0.0169519,0.00690274,0.0561766,0.00319936
450,pure_A,0.000802617,0.0147052,0.0101647,0.0700681,0.00315838
455,pure_A,0.000861836,0.0166279,0.00693264,0.0561809,0.00276799
460,pure_A,0.00080195,0.0146698,0.0108058,0.0702892,0.00254897
465,pure_A,0.000802612,0.0147046,0.0101647,0.0700673,0.00216943
470,pure_A,0.000802611,0.0147045,0.0101647,0.0700672,0.00218808
475,pure_A,0.000803758,0.0146674,0.0105563,0.0709505,0.0021785
480,pure_A,0.000796407,0.0142849,0.0102885,0.0695347,0.0020819
485,pure_A,0.000796407,0.0142849,0.0102885,0.0695347,0.00156801
490,pure_A,0.000792002,0.0142251,0.0109954,0.0715019,0.00155882
495,pure_A,0.000789928,0.0141024,0.0111871,0.071089,0.00155271
500,pure_A,0.000789928,0.0141024,0.0111871,0.071089,0.00150137
505,pure_A,0.000789928,0.0141024,0.0111871,0.071089,0.00131968
510,pure_A,0.000794005,0.0141681,0.0114546,0.0712748,0.00147132
515,pure_A,0.000789929,0.0141024,0.0111871,0.071089,0.00177454
520,pure_A,0.000789927,0.0141025,0.011187,0.0710889,0.00175855
525,pure_A,0.000793453,0.0141789,0.0112297,0.0710011,0.00150005
530,pure_A,0.000789165,0.0139645,0.0121125,0.0732188,0.00156121
535,pure_A,0.000789165,0.0139645,0.0121125,0.0732188,0.00142417
540,pure_A,0.000789165,0.0139645,0.0121125,0.0732188,0.00130527
545,pure_A,0.000789165,0.0139645,0.0121125,0.0732188,0.00140636
550,pure_A,0.000789165,0.0139645,0.0121125,0.0732188,0.00140267
555,pure_A,0.000865987,0.016322,0.0070072,0.0566273,0.00181271
560,pure_A,0.00087578,0.016658,0.00687626,0.0561932,0.00219387
565,pure_A,0.000872649,0.0165163,0.00687355,0.0561492,0.00235127
570,pure_A,0.000872649,0.0165163,0.00687355,0.0561492,0.00300273
575,pure_A,0.000872649,0.0165163,0.00687355,0.0561492,0.00358526
580,pure_A,0.00087265,0.0165163,0.00687354,0.0561492,0.00409671
585,pure_A,0.00087265,0.0165163,0.00687354,0.0561492,0.00472431
590,pure_A,0.00087265,0.0165163,0.00687354,0.0561492,0.00483821
595,pure_A,0.000911728,0.0168881,0.00586056,0.0534979,0.00451274
600,pure_A,0.000911728,0.0168881,0.00586056,0.0534979,0.00454983
605,pure_A,0.000911728,0.0168881,0.00586056,0.0534979,0.00451681
610,pure_A,0.000911728,0.0168881,0.00586056,0.0534979,0.0044383
615,pure_A,0.000923507,0.0168712,0.00571713,0.0521319,0.00414545
620,pure_A,0.000923507,0.0168712,0.00571713,0.0521319,0.0041087
625,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.00401839
630,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.00395442
635,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.00392133
640,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.00383147
645,pure_A,0.00092426,0.0167915,0.00558242,0.0514797,0.00357817
650,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.00358604
655,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.00324464
660,pure_A,0.000911605,0.0168796,0.00563054,0.0523684,0.002873
665,pure_A,0.000934644,0.0169279,0.00573192,0.0529349,0.00266644
670,pure_A,0.000934644,0.0169279,0.00573192,0.0529349,0.0019563
675,pure_A,0.000934644,0.0169279,0.00573192,0.0529349,0.00135144
680,pure_A,0.000927424,0.0159597,0.00607645,0.0525263,0.00111965
685,pure_A,0.000927424,0.0159597,0.00607645,0.0525263,0.000559094
690,pure_A,0.000893145,0.0173031,0.00686592,0.0558222,0.000474533
695,pure_A,0.000899954,0.0172358,0.00653404,0.0545446,0.00066377
700,pure_A,0.000897669,0.0166749,0.00645402,0.0541542,0.00087002
705,pure_A,0.000927033,0.0171273,0.0056358,0.0531263,0.00240187
710,pure_A,0.00098754,0.0186349,0.00550881,0.051133,0.00280396
715,pure_A,0.00098754,0.0186349,0.00550881,0.051133,0.00302972
720,pure_A,0.00105778,0.0202352,0.00548228,0.0505532,0.00306983
725,pure_A,0.00105778,0.0202352,0.00548228,0.0505532,0.00310968
730,pure_A,0.000967974,0.0174943,0.00542447,0.0505409,0.00341225
735,mixed_AB,0.000967974,0.0174943,0.00542447,0.0505409,0.00412145
740,mixed_AB,0.000967974,0.0174943,0.00542447,0.0505409,0.00462977
745,mixed_AB,0.00095743,0.018685,0.00506534,0.048744,0.00498275
750,mixed_AB,0.00095743,0.018685,0.00506534,0.048744,0.00501501
755,mixed_AB,0.00139435,0.0256649,0.00510674,0.0487842,0.00503517
760,mixed_AB,0.00138365,0.0240761,0.00574242,0.0525421,0.00487146
765,mixed_AB,0.00138365,0.0240761,0.00574242,0.0525421,0.00490498
770,mixed_AB,0.00138308,0.0240683,0.00574229,0.052539,0.00498114
775,mixed_AB,0.000985224,0.0189551,0.00509322,0.0472287,0.00503137
780,mixed_AB,0.000886487,0.0160807,0.00502308,0.0466576,0.005101
785,mixed_AB,0.00106375,0.0217463,0.00503251,0.0477152,0.00519409
790,mixed_AB,0.000942615,0.0181421,0.00503889,0.0474491,0.00530453
795,mixed_AB,0.000942615,0.0181421,0.00503889,0.0474491,0.00537307
800,mixed_AB,0.00102217,0.0195268,0.00504834,0.0472682,0.00521723
805,mixed_AB,0.00102217,0.0195268,0.00504834,0.0472682,0.00406898
810,mixed_AB,0.00102217,0.0195268,0.00504834,0.0472682,0.00355626
815,mixed_AB,0.00101435,0.0192829,0.00505647,0.0472689,0.00331453
820,mixed_AB,0.00101435,0.0192829,0.00505647,0.0472689,0.00335617
825,mixed_AB,0.0011502,0.0207311,0.00504912,0.0472367,0.00392602
830,mixed_AB,0.00115013,0.0207309,0.00504902,0.0472365,0.00403505
835,mixed_AB,0.00100197,0.0202104,0.00498865,0.0471692,0.00388798
840,mixed_AB,0.00100191,0.0202092,0.00498868,0.0471689,0.00349713
845,mixed_AB,0.00100191,0.0202092,0.00498868,0.0471689,0.00320947
850,mixed_AB,0.000998384,0.0201289,0.00498875,0.0471573,0.00319812
855,mixed_AB,0.000931092,0.0177212,0.00498378,0.0469247,0.00318408
860,mixed_AB,0.00092327,0.0155922,0.00497142,0.0467225,0.00318703
865,mixed_AB,0.000890184,0.0160731,0.00499531,0.0468488,0.00334058
870,mixed_AB,0.00116925,0.022926,0.00506688,0.0487944,0.00327882
875,mixed_AB,0.00116925,0.022926,0.00506688,0.0487944,0.00305048
880,mixed_AB,0.00123516,0.0243663,0.0050271,0.0482369,0.0029885
885,mixed_AB,0.0014579,0.0289846,0.00504253,0.0486706,0.00327956
890,mixed_AB,0.00123627,0.024499,0.00501949,0.0481659,0.00318236
895,mixed_AB,0.00123627,0.024499,0.00501949,0.0481659,0.00299674
