#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.183522,0.195396,0.238117
0.206784,0.183522,0.226187
0.184263,0.206784,0.232054
0.184094,0.184263,0.198261
0.126203,0.184094,0.200597
0.133614,0.126203,0.144761
0.170833,0.133614,0.152265
0.155136,0.170833,0.1836
0.161528,0.155136,0.165286
0.164018,0.161528,0.177755
0.214334,0.164018,0.175452
0.16206,0.214334,0.221415
0.208682,0.16206,0.168866
0.295311,0.208682,0.210286
0.292215,0.295311,0.295318
0.233867,0.292215,0.317915
0.208493,0.233867,0.284811
0.304417,0.208493,0.261521
0.37106,0.304417,0.326798
0.419139,0.37106,0.380504
0.450646,0.419139,0.424798
0.318016,0.450646,0.455555
0.307181,0.318016,0.333381
0.416704,0.307181,0.322772
