generation,bp_epochs,time,best_val_mae,best_val_mse
0,10,17.5809,0.0432983,0.00383911
1,10,17.1653,0.0332624,0.00245752
2,10,14.8119,0.0321576,0.00233487
3,10,15.1191,0.0312651,0.0022701
4,10,14.7883,0.0295178,0.00223043
5,10,15.684,0.0291745,0.00218367
6,10,15.0931,0.0292644,0.00218664
7,10,15.0211,0.0293261,0.00218823
8,10,14.9211,0.0291705,0.00219243
9,10,14.4458,0.029659,0.00229501
10,10,14.4815,0.029655,0.0022979
11,10,17.8852,0.0294156,0.00225348
12,10,15.8114,0.0295755,0.00225974
13,10,14.8397,0.0296775,0.00225297
14,10,14.6795,0.0297209,0.00225363
15,10,15.5865,0.0299643,0.00226402
16,10,15.0802,0.0300757,0.0022836
17,10,14.6644,0.0304943,0.00240579
18,10,15.0772,0.031131,0.00251332
19,10,14.3512,0.0310237,0.00247583
20,10,14.5776,0.0309717,0.00246561
21,10,14.379,0.0308131,0.00245352
22,10,14.3602,0.0308756,0.00245509
23,10,14.3722,0.0307496,0.00244909
24,10,15.199,0.0301487,0.00232798
25,10,14.6681,0.0296761,0.0022317
26,10,15.958,0.0296769,0.00222775
27,10,15.7441,0.0301285,0.00239798
28,10,15.7357,0.0309163,0.00257574
29,10,15.1343,0.031728,0.00276936
30,10,16.2483,0.0319577,0.0028018
31,10,15.1347,0.0326173,0.00291133
32,10,15.3117,0.0326655,0.00291917
33,10,14.5936,0.0333791,0.00305806
34,10,14.8603,0.0344467,0.003274
35,10,14.9233,0.0351213,0.00337678
36,10,15.6814,0.0353147,0.00338684
37,10,15.026,0.035538,0.00340124
38,10,15.5371,0.0357236,0.00342168
39,10,15.7154,0.0357844,0.00342556
40,10,15.0226,0.0357225,0.00341959
41,10,14.9149,0.0359606,0.00345073
42,10,15.2074,0.0366506,0.00355817
43,10,15.2231,0.036886,0.00358692
44,10,15.5767,0.0375316,0.00371602
45,10,14.6675,0.0382997,0.00383653
46,10,15.2804,0.0384648,0.00384435
47,10,15.5353,0.0384835,0.00384476
