generation,phase,mse_on_a,mae_on_a,mse_on_b,mae_on_b,best_validation_mse
0,pure_A,0.00184223,0.0318418,0.0250391,0.106155,0.00383911
5,pure_A,0.000910925,0.0154017,0.0141866,0.0796605,0.00218367
10,pure_A,0.000933572,0.0159136,0.00955962,0.0649419,0.0022979
15,pure_A,0.000902284,0.0162379,0.0103873,0.0667488,0.00226402
20,pure_A,0.000902284,0.0162379,0.0103873,0.0667488,0.00246561
25,pure_A,0.000902284,0.0162379,0.0103873,0.0667488,0.0022317
30,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.0028018
35,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.00337678
40,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.00341959
45,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.00383653
50,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.0038565
55,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.00380944
60,pure_A,0.000894423,0.0155207,0.00783338,0.0593947,0.00387059
65,pure_A,0.000967901,0.0174477,0.00743698,0.0579416,0.00365695
70,pure_A,0.000967901,0.0174477,0.00743698,0.0579416,0.00348219
75,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.00367786
80,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.00368914
85,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.0035263
90,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.00380907
95,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.00370163
100,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.00378893
105,pure_A,0.00089624,0.0146606,0.00762062,0.0590017,0.00379646
110,pure_A,0.000912273,0.0156151,0.00737848,0.0568516,0.00367084
115,pure_A,0.000912273,0.0156151,0.00737848,0.0568516,0.00399553
120,pure_A,0.000912273,0.0156151,0.00737848,0.0568516,0.00394533
125,pure_A,0.000912273,0.0156151,0.00737848,0.0568516,0.00407562
130,pure_A,0.000912273,0.0156151,0.00737848,0.0568516,0.00363206
135,pure_A,0.000898452,0.0156325,0.00805779,0.061618,0.00298494
140,pure_A,0.000898452,0.0156325,0.00805779,0.061618,0.00297441
145,pure_A,0.000890144,0.0149191,0.00770269,0.0585525,0.00311842
150,pure_A,0.000890144,0.0149191,0.00770269,0.0585525,0.00327628
155,pure_A,0.000914534,0.0155648,0.00870324,0.0649791,0.00376877
160,pure_A,0.000914534,0.0155648,0.00870324,0.0649791,0.00408484
165,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00431876
170,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00441625
175,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00413148
180,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00404188
185,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00399276
190,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00362394
195,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00397163
200,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00399711
205,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00401266
210,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00414969
215,pure_A,0.000908565,0.0153959,0.0069284,0.0560002,0.00396467
220,pure_A,0.000950772,0.0159768,0.00772808,0.0615095,0.00376214
225,pure_A,0.000940195,0.0156646,0.00724721,0.0590122,0.00383518
230,pure_A,0.000940195,0.0156646,0.00724721,0.0590122,0.00395114
235,pure_A,0.000992016,0.0178762,0.00791359,0.0591962,0.00388685
240,pure_A,0.00088457,0.015364,0.00701577,0.0549784,0.0040911
245,pure_A,0.000882039,0.0153987,0.00689466,0.0566651,0.00349541
250,pure_A,0.000882039,0.0153987,0.00689466,0.0566651,0.00332264
255,pure_A,0.000917912,0.0153764,0.00706393,0.0571445,0.00270424
260,pure_A,0.000867481,0.0154279,0.0071534,0.0565709,0.00226176
265,pure_A,0.000867481,0.0154279,0.0071534,0.0565709,0.00216402
270,pure_A,0.000856635,0.0157986,0.00773466,0.0589307,0.00244412
275,pure_A,0.000856635,0.0157986,0.00773466,0.0589307,0.00313574
280,pure_A,0.000840953,0.0150523,0.00735255,0.0593252,0.00313463
285,pure_A,0.000840953,0.0150523,0.00735255,0.0593252,0.00352574
290,pure_A,0.000840953,0.0150523,0.00735255,0.0593252,0.00423113
295,pure_A,0.000840953,0.0150523,0.00735255,0.0593252,0.00437671
300,pure_A,0.000840953,0.0150523,0.00735255,0.0593252,0.00458795
305,pure_A,0.000879984,0.0155504,0.00787614,0.0593622,0.00490545
310,pure_A,0.000867857,0.0154975,0.0073753,0.0586034,0.00495715
315,pure_A,0.000867857,0.0154975,0.0073753,0.0586034,0.00503962
320,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00496712
325,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00485958
330,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00495561
335,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00504742
340,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00513529
345,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00522104
350,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00527311
355,pure_A,0.000890348,0.0160032,0.00710679,0.0557611,0.00571852
360,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00584267
365,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00608929
370,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00571935
375,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00501578
380,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00510414
385,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00529059
390,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.0046275
395,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.0041815
400,pure_A,0.000869017,0.0156253,0.00653897,0.0549361,0.00392962
405,pure_A,0.000852614,0.0157146,0.00726507,0.0566253,0.00384903
410,pure_A,0.000852614,0.0157146,0.00726507,0.0566253,0.00364914
415,pure_A,0.000852614,0.0157146,0.00726507,0.0566253,0.00341343
420,pure_A,0.000852614,0.0157146,0.00726507,0.0566253,0.00341329
425,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00359931
430,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00315134
435,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00321645
440,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00315145
445,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00320066
450,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00316882
455,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00276124
460,pure_A,0.000866337,0.01504,0.00895289,0.0630608,0.00256952
465,pure_A,0.00082888,0.014807,0.00845525,0.0592323,0.0021802
470,pure_A,0.00082888,0.014807,0.00845525,0.0592323,0.0022004
475,pure_A,0.00082888,0.014807,0.00845525,0.0592323,0.00219562
480,pure_A,0.00082888,0.014807,0.00845525,0.0592323,0.00210366
485,pure_A,0.000822436,0.0150301,0.0119631,0.070933,0.00155712
490,pure_A,0.000822436,0.0150301,0.0119631,0.070933,0.00154909
495,pure_A,0.000847578,0.0148135,0.00816106,0.0610567,0.00153145
500,pure_A,0.000847578,0.0148135,0.00816106,0.0610567,0.0014849
505,pure_A,0.000847578,0.0148135,0.00816106,0.0610567,0.00130861
510,pure_A,0.000847578,0.0148135,0.00816106,0.0610567,0.00148265
515,pure_A,0.000847578,0.0148135,0.00816106,0.0610567,0.00179599
520,pure_A,0.000847578,0.0148135,0.00816106,0.0610567,0.00178569
525,pure_A,0.000851403,0.0159648,0.00883379,0.0617983,0.00152362
530,pure_A,0.000851403,0.0159648,0.00883379,0.0617983,0.00159223
535,pure_A,0.000830867,0.0150694,0.00875575,0.0623268,0.00145828
540,pure_A,0.000830867,0.0150694,0.00875575,0.0623268,0.0013378
545,pure_A,0.000830867,0.0150694,0.00875575,0.0623268,0.00145481
550,pure_A,0.000830867,0.0150694,0.00875575,0.0623268,0.0014555
555,pure_A,0.000830867,0.0150694,0.00875575,0.0623268,0.00185863
560,pure_A,0.000815041,0.0144859,0.00777148,0.0589457,0.00225372
565,pure_A,0.000815041,0.0144859,0.00777148,0.0589457,0.00240861
570,pure_A,0.000846732,0.0152346,0.00762782,0.059748,0.0031326
575,pure_A,0.000863167,0.0148685,0.00761922,0.0595167,0.00366484
580,pure_A,0.000863167,0.0148685,0.00761922,0.0595167,0.0039803
585,pure_A,0.000863167,0.0148685,0.00761922,0.0595167,0.00450759
590,pure_A,0.000863167,0.0148685,0.00761922,0.0595167,0.00472947
595,pure_A,0.000863167,0.0148685,0.00761922,0.0595167,0.004753
600,pure_A,0.000863167,0.0148685,0.00761922,0.0595167,0.00478798
605,pure_A,0.000879742,0.0153763,0.00815052,0.0616336,0.00473986
610,pure_A,0.000824006,0.0147097,0.00846642,0.0615223,0.00461622
615,pure_A,0.000929619,0.0178771,0.00794314,0.0608556,0.00432246
620,pure_A,0.000822334,0.0141112,0.00716799,0.0561482,0.00417055
625,pure_A,0.000822334,0.0141112,0.00716799,0.0561482,0.00409718
630,pure_A,0.000852073,0.0146267,0.008176,0.0594566,0.00401417
635,pure_A,0.000852073,0.0146267,0.008176,0.0594566,0.00401024
640,pure_A,0.000852073,0.0146267,0.008176,0.0594566,0.00391255
645,pure_A,0.000852073,0.0146267,0.008176,0.0594566,0.00384437
650,pure_A,0.000892757,0.0161186,0.00743976,0.0582556,0.00397073
655,pure_A,0.000892757,0.0161186,0.00743976,0.0582556,0.00394066
660,pure_A,0.000848121,0.015186,0.00796276,0.0588625,0.00353601
665,pure_A,0.000828943,0.0160297,0.00853645,0.0604746,0.00331456
670,pure_A,0.000880997,0.0155026,0.00782599,0.0610708,0.0028617
675,pure_A,0.000880997,0.0155026,0.00782599,0.0610708,0.00252753
680,pure_A,0.00089659,0.0158172,0.00715042,0.0574893,0.00167122
685,pure_A,0.000789953,0.014099,0.00823827,0.0586097,0.00113532
690,pure_A,0.000855746,0.0139789,0.00844157,0.0610452,0.00106716
