generation,bp_epochs,time,best_val_mae,best_val_mse
0,10,9.82203,0.0437847,0.00410702
1,10,9.49505,0.0329808,0.00259072
2,10,8.94005,0.028827,0.00226404
3,10,8.48741,0.0297496,0.00219882
4,10,8.49765,0.0288186,0.00219292
5,10,8.4905,0.029757,0.00218952
6,10,8.51722,0.0291829,0.00216912
7,10,8.30557,0.0292156,0.00216957
8,10,8.30859,0.0293159,0.00217613
9,10,8.31079,0.0298394,0.00226589
10,10,8.3524,0.0299241,0.00227194
11,10,8.30238,0.0298868,0.00227189
12,10,8.49928,0.0287037,0.00222629
13,10,8.29298,0.0287977,0.00223163
14,10,8.36214,0.0288288,0.00223133
15,10,190.931,0.0289899,0.00224392
16,10,8.28571,0.0291098,0.00226661
17,10,8.31123,0.0295706,0.00239593
18,10,8.29951,0.0302436,0.00250496
19,10,8.33074,0.0300963,0.00246125
20,10,8.31383,0.0300103,0.00244956
21,10,8.28695,0.0298768,0.00243866
22,10,8.31293,0.0298981,0.00243895
23,10,8.2922,0.0297623,0.00243151
24,10,8.34046,0.0291519,0.00230932
25,10,8.31505,0.0287535,0.00221867
26,10,8.49186,0.0291796,0.00217872
27,10,8.51165,0.0291347,0.00236415
28,10,8.32108,0.0303342,0.00266653
29,10,8.52555,0.0313676,0.00288061
30,10,9.04732,0.031657,0.00291782
31,10,9.09253,0.0324595,0.00305611
32,10,8.66557,0.0324533,0.00305462
33,10,8.37698,0.0331999,0.00319691
34,10,8.25313,0.0342993,0.00344729
35,10,8.30198,0.0350291,0.00355356
36,10,8.26877,0.0352019,0.00356236
37,10,8.47933,0.0354324,0.00357493
38,10,8.30054,0.0356051,0.00359754
39,10,8.33268,0.0356694,0.00360163
40,10,8.32297,0.0356409,0.0035973
41,10,8.3306,0.0358408,0.0036252
42,10,8.5104,0.0360665,0.0036689
43,10,8.3062,0.0362771,0.00369665
44,10,8.3299,0.0369277,0.00382471
45,10,8.32975,0.0377069,0.00393956
46,10,8.31533,0.0378504,0.00394675
47,10,8.36024,0.0378524,0.00394693
48,10,8.33268,0.0379796,0.00395326
49,10,8.53233,0.0392061,0.0039219
50,10,8.33149,0.0390142,0.00391432
51,10,8.32676,0.038551,0.00387054
52,10,8.29544,0.0380771,0.00380472
53,10,8.59119,0.0381277,0.0038094
54,10,101.647,0.0383729,0.00384771
55,10,9.05142,0.0387259,0.00387976
56,10,8.38917,0.0390063,0.00389694
57,10,8.34371,0.0395085,0.00395264
58,10,8.33097,0.0397494,0.00397895
59,10,8.31685,0.0396428,0.00396714
60,10,8.27536,0.0395713,0.0039625
61,10,8.29449,0.0393098,0.00394299
62,10,8.34636,0.0391425,0.00393625
63,10,8.29758,0.0386999,0.00390287
64,10,8.33693,0.0382469,0.00385239
65,10,8.34321,0.037824,0.00378925
66,10,8.39038,0.0374032,0.0037301
67,10,8.37421,0.0368774,0.00367324
68,10,8.49649,0.0365041,0.00364194
69,10,8.27304,0.0362785,0.00361493
70,10,8.31656,0.0360317,0.0035927
71,10,8.60801,0.0363697,0.00363798
72,10,8.41308,0.0368168,0.00379789
73,10,8.36156,0.0369766,0.00382281
74,10,8.52459,0.0373151,0.00385734
75,10,8.39725,0.0372168,0.00383195
76,10,8.7933,0.0373211,0.00379934
77,10,8.3837,0.0376332,0.00383002
78,10,8.4009,0.0375908,0.00382717
79,10,8.36941,0.0377109,0.00383541
80,10,8.28322,0.0378057,0.0038428
81,10,8.29036,0.0378747,0.00384551
82,10,8.36543,0.0378941,0.00384281
83,10,8.28328,0.0374941,0.00379204
84,10,8.41863,0.0370055,0.00372797
85,10,8.36361,0.0365084,0.00363303
86,10,8.28302,0.0361833,0.00355623
87,10,8.29989,0.0369095,0.00371237
88,10,8.73757,0.0374726,0.00380912
89,10,8.60385,0.0379614,0.00387877
90,10,8.51707,0.038285,0.00390896
91,10,8.48001,0.0379587,0.00387833
92,10,8.45195,0.0375267,0.00383342
93,10,8.45131,0.0373566,0.00382055
94,10,8.45888,0.0371535,0.00380924
95,10,8.45865,0.0370957,0.00380294
96,10,8.48577,0.0372653,0.00381257
97,10,8.45066,0.0374285,0.00382237
98,10,8.45563,0.0374536,0.00382623
99,10,8.46154,0.0378566,0.00387913
100,10,8.4682,0.0380834,0.00389777
101,10,8.78932,0.0381626,0.0039017
102,10,8.48098,0.0383451,0.0039085
103,10,8.3867,0.0384325,0.00391021
104,10,8.38706,0.0384417,0.00391033
105,10,8.37375,0.0384424,0.0039103
106,10,8.39292,0.0384757,0.00391213
107,10,8.36499,0.0385218,0.00391337
108,10,8.36191,0.0386592,0.00392225
109,10,8.38201,0.0383658,0.00384259
110,10,8.42137,0.0386517,0.00387839
111,10,8.37448,0.0396279,0.00403419
112,10,8.3978,0.0402639,0.00413498
113,10,8.40956,0.0407864,0.00421049
114,10,8.45381,0.0412225,0.00426839
115,10,8.5878,0.0414461,0.00429262
116,10,8.92917,0.0422305,0.004452
117,10,8.60656,0.0423847,0.0044663
118,10,8.72647,0.0400456,0.00428702
119,10,8.80732,0.0386213,0.00403627
