generation,phase,mse_on_a,mae_on_a,mse_on_b,mae_on_b,best_validation_mse
733,pure_A,0.000890095,0.0156062,0.0089049,0.0630662,0.0102824
734,boundary,0.000890095,0.0156062,0.0089049,0.0630662,0.0102824
734,pure_A,0.000890095,0.0156062,0.0089049,0.0630662,0.0103684
739,mixed_AB,0.000879674,0.0147932,0.00721561,0.055305,0.011594
744,mixed_AB,0.000936384,0.0163587,0.00674291,0.0530839,0.0105233
749,mixed_AB,0.000936384,0.0163587,0.00674291,0.0530839,0.0108079
754,mixed_AB,0.000967463,0.0160273,0.00701694,0.0553356,0.00967764
759,mixed_AB,0.000967463,0.0160273,0.00701694,0.0553356,0.00974185
764,mixed_AB,0.000974337,0.0165626,0.00691765,0.0550528,0.00949
769,mixed_AB,0.00102294,0.0161872,0.006929,0.0548943,0.00877995
774,mixed_AB,0.00101125,0.0161693,0.00690739,0.0545048,0.00859574
779,mixed_AB,0.00103445,0.0159857,0.00695308,0.054636,0.00828401
784,mixed_AB,0.00107219,0.016503,0.00767812,0.0584494,0.00810501
789,mixed_AB,0.00112571,0.0166356,0.00715619,0.0562642,0.00707317
794,mixed_AB,0.00112571,0.0166356,0.00715619,0.0562642,0.00715802
799,mixed_AB,0.00107942,0.0163373,0.00685284,0.0548386,0.00659222
804,mixed_AB,0.00110189,0.0169837,0.0064545,0.0532926,0.00520087
809,mixed_AB,0.00110189,0.0169837,0.0064545,0.0532926,0.00462712
814,mixed_AB,0.00103919,0.0162793,0.00772992,0.0579917,0.00406259
819,mixed_AB,0.00103919,0.0162793,0.00772992,0.0579917,0.00408966
824,mixed_AB,0.00103919,0.0162793,0.00772992,0.0579917,0.00467444
829,mixed_AB,0.000986873,0.0154661,0.0057755,0.0500459,0.00446505
834,mixed_AB,0.0012427,0.0193479,0.00586937,0.0509143,0.00436477
839,mixed_AB,0.0012427,0.0193479,0.00586937,0.0509143,0.00404555
844,mixed_AB,0.0017673,0.0247985,0.00585647,0.0510007,0.00348319
849,mixed_AB,0.00275796,0.032444,0.00583107,0.0505682,0.00343568
854,mixed_AB,0.00358005,0.0368187,0.00582189,0.0510509,0.00340836
859,mixed_AB,0.00355553,0.0361839,0.00581108,0.0508209,0.00336006
864,mixed_AB,0.00405253,0.0363673,0.00558954,0.0494537,0.00347411
869,mixed_AB,0.00405253,0.0363673,0.00558954,0.0494537,0.00339695
874,mixed_AB,0.00970653,0.0467363,0.0056667,0.0501225,0.00312531
879,mixed_AB,0.00970653,0.0467363,0.0056667,0.0501225,0.00294995
884,mixed_AB,0.00970653,0.0467363,0.0056667,0.0501225,0.00329023
889,mixed_AB,0.00798306,0.0411596,0.00574115,0.0502005,0.00325114
894,mixed_AB,0.00798306,0.0411596,0.00574115,0.0502005,0.00309761
899,mixed_AB,0.00798306,0.0411596,0.00574115,0.0502005,0.00306708
904,mixed_AB,0.00798306,0.0411596,0.00574115,0.0502005,0.00296534
909,mixed_AB,0.00798306,0.0411596,0.00574115,0.0502005,0.00293001
914,mixed_AB,0.00798306,0.0411596,0.00574115,0.0502005,0.0029437
919,mixed_AB,0.0072674,0.0380315,0.00567535,0.0496997,0.0028897
924,mixed_AB,0.0072674,0.0380315,0.00567535,0.0496997,0.00247621
929,mixed_AB,0.0072674,0.0380315,0.00567535,0.0496997,0.00233018
934,mixed_AB,0.00454375,0.0318885,0.00551061,0.0493545,0.00243709
939,mixed_AB,0.00375709,0.0293152,0.00548745,0.0488078,0.00266547
944,mixed_AB,0.00375709,0.0293152,0.00548745,0.0488078,0.0031942
949,mixed_AB,0.00375709,0.0293152,0.00548745,0.0488078,0.00337444
954,mixed_AB,0.00448679,0.0328223,0.00542102,0.0483182,0.00334399
959,mixed_AB,0.00448679,0.0328223,0.00542102,0.0483182,0.00351468
964,mixed_AB,0.00448679,0.0328223,0.00542102,0.0483182,0.00363775
969,mixed_AB,0.0046711,0.0343128,0.00545318,0.0486805,0.00443362
974,mixed_AB,0.0046711,0.0343128,0.00545318,0.0486805,0.00500937
979,mixed_AB,0.00668257,0.0373057,0.00560905,0.0494998,0.00551099
984,mixed_AB,0.00668257,0.0373057,0.00560905,0.0494998,0.00556364
989,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.00567386
994,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.00615555
999,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.00659569
1004,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.00695119
1009,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.00719136
1014,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.00733429
1019,mixed_AB,0.00445347,0.0393373,0.00573709,0.0499222,0.0075645
1024,mixed_AB,0.00178806,0.024534,0.00553975,0.048469,0.00766444
1029,mixed_AB,0.00225554,0.0236376,0.00575854,0.0497429,0.00733711
1034,mixed_AB,0.00225554,0.0236376,0.00575854,0.0497429,0.0069101
1039,mixed_AB,0.00225554,0.0236376,0.00575854,0.0497429,0.00647683
1044,mixed_AB,0.00225554,0.0236376,0.00575854,0.0497429,0.00595853
1049,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.00570643
1054,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.0057125
1059,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.00554622
1064,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.00525979
1069,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.00481359
1074,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.00445915
1079,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.0042048
1084,mixed_AB,0.0021346,0.0242278,0.00568554,0.049678,0.00402973
1089,mixed_AB,0.00211935,0.0229993,0.00576678,0.0501796,0.00388316
1094,mixed_AB,0.00211935,0.0229993,0.00576678,0.0501796,0.00357821
1099,mixed_AB,0.00211935,0.0229993,0.00576678,0.0501796,0.00306309
1104,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00269819
1109,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.0027798
1114,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00317294
1119,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00334635
1124,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00313203
1129,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00318502
1134,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00326239
1139,mixed_AB,0.00195566,0.0239499,0.00553475,0.0487332,0.00326945
1144,mixed_AB,0.0023519,0.0275547,0.00541304,0.0482812,0.00352885
1149,mixed_AB,0.00142294,0.0221978,0.00556408,0.0497678,0.0036119
1154,mixed_AB,0.00128721,0.0209783,0.00568445,0.0520303,0.00362772
1159,mixed_AB,0.00128721,0.0209783,0.00568445,0.0520303,0.00359981
1164,mixed_AB,0.00115181,0.0186996,0.00547364,0.049821,0.00365373
1169,mixed_AB,0.00127402,0.0201526,0.00557844,0.0500748,0.00357889
1174,mixed_AB,0.00120095,0.0191012,0.00528252,0.0479172,0.00341154
1179,mixed_AB,0.00120095,0.0191012,0.00528252,0.0479172,0.00335202
1184,mixed_AB,0.00160743,0.0234402,0.00533162,0.0481003,0.00373733
1189,mixed_AB,0.00160743,0.0234402,0.00533162,0.0481003,0.00360261
1194,mixed_AB,0.00125684,0.0210708,0.0052286,0.0488855,0.00361035
1199,mixed_AB,0.00121427,0.0198173,0.00514728,0.0467733,0.00353907
1204,mixed_AB,0.00121427,0.0198173,0.00514728,0.0467733,0.00341533
1209,mixed_AB,0.00121427,0.0198173,0.00514728,0.0467733,0.00313327
1214,mixed_AB,0.00121427,0.0198173,0.00514728,0.0467733,0.00273781
1219,mixed_AB,0.0012278,0.0197194,0.00513848,0.0463585,0.00260194
1224,mixed_AB,0.0012278,0.0197194,0.00513848,0.0463585,0.00298855
1229,mixed_AB,0.0012278,0.0197194,0.00513848,0.0463585,0.00311701
1234,mixed_AB,0.0012278,0.0197194,0.00513848,0.0463585,0.00301529
1239,mixed_AB,0.0012278,0.0197194,0.00513848,0.0463585,0.00307945
1244,mixed_AB,0.0012278,0.0197194,0.00513848,0.0463585,0.00281959
1249,mixed_AB,0.000978941,0.0182581,0.0052372,0.0473041,0.00268963
