Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness
20,50,38,0.296053,0.130101,24,26,0,0.138961,0.142120,0.130101,0.143687
30,100,77,0.20294,0.0611335,24,26,0,0.061134,0.126238,0.084069,0.116081
40,150,120,0.147413,0.0401254,23,26,0,0.040125,0.071894,0.054513,0.081603
50,200,160,0.136198,0.0328665,25,26,0,0.032867,0.042195,0.035427,0.056873
60,250,197,0.136198,0.0331239,25,26,0,0.033124,0.033744,0.033986,0.056586
70,300,233,0.136198,0.0361989,25,26,0,0.036199,0.036557,0.036508,0.062058
80,350,267,0.144109,0.038513,24,26,0,0.038517,0.038517,0.038513,0.048576
90,400,304,0.144109,0.0382527,24,26,0,0.038724,0.038724,0.038253,0.043077
100,450,344,0.152518,0.0413601,24,26,0,0.046219,0.046219,0.041360,0.044443
110,500,380,0.143317,0.0393177,25,26,1,0.039318,0.057564,0.045607,0.048980
120,550,419,0.117502,0.0220444,24,26,1,0.022044,0.031229,0.022425,0.041702
130,600,461,0.117454,0.0160628,25,30,1,0.017296,0.028757,0.016063,0.041413
140,650,499,0.117454,0.0142526,25,30,1,0.015448,0.022329,0.014253,0.040723
150,700,539,0.117454,0.0169393,25,30,1,0.016968,0.027120,0.016939,0.033761
160,750,578,0.117454,0.0201409,25,30,1,0.020370,0.020370,0.020141,0.027873
170,800,613,0.0710728,0.00922905,25,25,1,0.009229,0.023396,0.019713,0.023175
180,850,653,0.0710728,0.00770627,25,25,1,0.007706,0.023109,0.011727,0.012956
190,900,691,0.0788111,0.00430597,24,23,0,0.006138,0.022940,0.004306,0.004306
200,950,726,0.0603414,0.004358,24,25,0,0.006540,0.016819,0.004358,0.004499
210,1000,764,0.0603414,0.00415509,24,25,0,0.008364,0.009584,0.004155,0.004609
220,1050,804,0.0518955,0.00347492,24,25,1,0.009495,0.010380,0.003475,0.004471
230,1100,852,0.0454267,0.00291648,24,25,2,0.011843,0.012739,0.002916,0.003743
240,1150,892,0.0454267,0.00272713,24,25,2,0.011586,0.011922,0.002727,0.003726
250,1200,933,0.0291051,0.0018355,24,26,2,0.008329,0.010488,0.001835,0.002854
260,1250,976,0.0291051,0.00168539,24,26,2,0.009885,0.010237,0.001685,0.002616
270,1300,1022,0.0298643,0.00157105,25,30,1,0.008340,0.008505,0.001571,0.002516
280,1350,1065,0.0298643,0.00175909,25,30,1,0.007744,0.007911,0.001759,0.001999
290,1400,1112,0.0298643,0.00193255,25,30,1,0.008103,0.008547,0.001933,0.002243
300,1450,1154,0.0298643,0.00245895,25,30,1,0.009306,0.009341,0.002459,0.002822
310,1500,1196,0.0298643,0.0130981,25,30,1,0.017676,0.018496,0.013098,0.013209
320,1550,1246,0.106317,0.016415,26,41,4,0.016415,0.021648,0.018140,0.019238
330,1600,1297,0.0927685,0.0132952,26,41,4,0.013295,0.020565,0.020407,0.022008
340,1650,1347,0.0927685,0.012719,26,41,4,0.012719,0.017806,0.020387,0.022139
350,1700,1394,0.0780094,0.00985454,26,41,5,0.009855,0.014838,0.020503,0.022221
360,1750,1438,0.0780094,0.00722802,26,41,5,0.007228,0.008812,0.021495,0.023688
370,1800,1498,0.0801756,0.00988668,26,41,6,0.009887,0.010239,0.034445,0.051638
380,1850,1539,0.0785475,0.00968797,26,41,7,0.009688,0.009874,0.034461,0.040637
390,1900,1585,0.0853453,0.0108013,26,41,7,0.010801,0.010977,0.032744,0.034912
400,1950,1637,0.0918147,0.0120965,26,41,7,0.012097,0.013615,0.031807,0.032571
410,2000,1690,0.075561,0.00937548,25,41,6,0.009375,0.012139,0.029887,0.030118
420,2050,1787,0.075561,0.00908809,25,41,6,0.009088,0.010545,0.030802,0.031029
430,2100,1830,0.075561,0.00925775,25,41,6,0.009258,0.010350,0.031776,0.032900
440,2150,1884,0.07279,0.0100096,25,41,7,0.010010,0.011600,0.030126,0.030543
450,2200,1936,0.07279,0.0101779,25,41,7,0.010178,0.010425,0.026455,0.027428
460,2250,2001,0.0753306,0.00994264,25,41,8,0.009943,0.009950,0.010515,0.025552
470,2300,2052,0.0567616,0.00554428,25,41,7,0.005544,0.006259,0.008190,0.018966
480,2350,2104,0.0567616,0.00471627,25,41,7,0.004716,0.005843,0.008733,0.021424
490,2400,2152,0.0567616,0.00433015,25,41,7,0.004330,0.004368,0.006838,0.014651
500,2450,2227,0.0544794,0.0063905,26,41,8,0.006390,0.007105,0.020304,0.039004
510,2500,2302,0.0544794,0.00779044,26,41,8,0.007790,0.008709,0.032100,0.032493
