#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.057371,0.0456256,-0.0981529
0.0491453,0.057371,-0.0932268
0.0653226,0.0491453,-0.124646
0.0387309,0.0653226,-0.0765695
0.0410192,0.0387309,-0.0788085
0.0673018,0.0410192,-0.0785649
0.0710757,0.0673018,-0.0658024
0.057032,0.0710757,-0.0692937
0.093375,0.057032,-0.0763533
0.0844613,0.093375,-0.0794919
0.0870935,0.0844613,-0.0787214
0.139095,0.0870935,-0.0631426
0.0754578,0.139095,-0.0819676
0.0260333,0.0754578,-0.056389
0.0339151,0.0260333,-0.0729329
0.0393042,0.0339151,-0.0493093
0.0564438,0.0393042,-0.0786543
0.0315321,0.0564438,-0.035619
0.0422057,0.0315321,-0.038181
0.0578895,0.0422057,-0.0582092
0.0413682,0.0578895,-0.0559027
0.0463934,0.0413682,-0.0645117
0.0328682,0.0463934,-0.0908489
0.0693707,0.0328682,-0.0847506
