genome_id,generation,training_indices
2,0,"4;0;2;1;9;8;3;6;5;7"
3,0,"0;2;3;6;8;7;5;1;4;9"
4,0,"2;6;0;5;8;4;3;7;9;1"
5,0,"2;4;8;6;5;7;9;1;3;0"
6,0,"7;5;9;6;2;1;3;0;8;4"
7,0,"3;0;8;2;9;5;1;7;4;6"
8,0,"6;0;9;2;8;4;7;5;1;3"
9,0,"5;2;8;0;7;4;1;9;6;3"
10,0,"6;5;2;8;3;9;0;1;4;7"
11,0,"5;2;7;6;4;8;1;0;9;3"
12,1,"2;1;8;9;6;3;7;5;4;10"
13,1,"6;9;10;7;3;4;2;1;8;5"
14,1,"8;9;7;3;6;2;5;4;1;10"
15,1,"4;2;7;9;10;6;3;8;5;1"
16,1,"2;8;7;1;5;10;9;3;4;6"
17,1,"8;1;3;5;9;6;4;7;2;10"
18,1,"10;2;6;8;7;3;9;4;5;1"
19,1,"10;6;5;8;9;7;1;3;4;2"
20,1,"7;5;4;1;8;10;9;2;6;3"
21,1,"9;7;2;8;3;10;6;4;1;5"
22,2,"6;3;2;11;4;7;10;5;9;8"
23,2,"2;9;6;7;3;8;11;5;10;4"
24,2,"4;10;2;9;5;6;7;3;11;8"
25,2,"11;7;3;10;5;8;6;4;9;2"
26,2,"4;7;8;6;3;5;9;2;11;10"
27,2,"9;7;6;11;2;3;10;8;4;5"
28,2,"7;10;2;9;6;11;5;3;4;8"
29,2,"10;9;7;2;5;6;8;4;11;3"
30,2,"4;6;11;10;9;7;3;2;8;5"
31,2,"10;8;5;9;2;6;4;11;7;3"
32,3,"9;5;3;11;6;4;8;7;10;12"
33,3,"8;11;5;10;12;3;7;9;4;6"
34,3,"3;4;7;8;10;11;9;6;12;5"
35,3,"3;5;7;8;9;4;6;12;10;11"
36,3,"12;4;3;7;5;10;9;11;6;8"
37,3,"4;11;6;7;12;10;3;9;5;8"
38,3,"8;10;12;11;5;9;7;6;4;3"
39,3,"5;6;4;8;10;3;12;7;9;11"
40,3,"3;5;12;10;4;6;9;11;8;7"
41,3,"3;5;10;8;9;6;4;11;12;7"
42,4,"6;8;4;5;11;12;10;9;7;13"
43,4,"11;4;6;7;5;8;9;13;12;10"
44,4,"8;9;11;5;4;10;6;13;12;7"
45,4,"9;7;8;13;11;6;10;12;4;5"
46,4,"5;12;7;8;6;9;13;10;4;11"
