Inserted Genomes, Total BP Epochs, Time, Best Val. MAE, Best Val. MSE, Enabled Nodes, Enabled Edges, Enabled Rec. Edges,Island_0_best_fitness,Island_0_worst_fitness,Island_1_best_fitness,Island_1_worst_fitness
20,50,34,0.200038,0.0645542,23,22,0,0.073731,0.077668,0.064554,0.074371
35,100,73,0.191435,0.062253,23,22,0,0.074475,0.079840,0.062253,0.074556
45,150,112,0.168761,0.0459309,23,21,0,0.045931,0.061973,0.057166,0.067918
55,200,148,0.128442,0.030555,23,22,0,0.030555,0.041972,0.045869,0.057419
65,250,189,0.128442,0.0353514,23,22,0,0.035351,0.045731,0.042875,0.050756
75,300,227,0.156722,0.036657,23,22,1,0.036657,0.044156,0.043138,0.044824
85,350,264,0.129819,0.029055,23,22,1,0.029055,0.040013,0.044120,0.045676
95,400,304,0.112621,0.0213226,23,22,1,0.021323,0.037544,0.044022,0.045338
105,450,350,0.112621,0.0231157,23,22,1,0.023116,0.034852,0.041623,0.042675
115,500,402,0.112621,0.0212273,23,22,1,0.021227,0.028409,0.029064,0.034030
125,550,449,0.086035,0.01258,25,32,1,0.014371,0.014526,0.012580,0.017192
135,600,490,0.086035,0.0095113,25,32,1,0.010423,0.012818,0.009511,0.010212
145,650,531,0.0804976,0.00910273,25,33,2,0.009238,0.013134,0.009103,0.010456
155,700,575,0.0751458,0.00967479,23,26,1,0.009675,0.011519,0.010093,0.011688
165,750,621,0.0691996,0.00770859,25,33,3,0.008753,0.009480,0.007709,0.008915
175,800,669,0.0679395,0.00709282,25,32,3,0.008432,0.008984,0.007093,0.007236
185,850,711,0.0573303,0.00542323,25,34,3,0.006897,0.007566,0.005423,0.005554
195,900,752,0.0455173,0.00291874,25,33,3,0.005373,0.006194,0.002919,0.004089
205,950,793,0.042035,0.00258065,25,34,3,0.003354,0.003723,0.002581,0.003206
215,1000,836,0.035734,0.00198271,25,34,3,0.003196,0.003369,0.001983,0.002649
225,1050,880,0.035734,0.00187512,25,34,3,0.002964,0.003202,0.001875,0.002360
235,1100,937,0.035734,0.00185408,25,34,3,0.002724,0.002799,0.001854,0.002163
245,1150,980,0.0351599,0.00204425,25,34,4,0.003684,0.003766,0.002044,0.002093
255,1200,1047,0.0351599,0.00219182,25,34,4,0.002690,0.003090,0.002192,0.002262
265,1250,1102,0.0376208,0.00226798,23,26,4,0.002268,0.002836,0.002348,0.002814
275,1300,1152,0.0376208,0.00227927,23,26,4,0.002279,0.002541,0.002432,0.002662
285,1350,1210,0.0332721,0.00207564,24,27,4,0.002076,0.002252,0.002370,0.002604
295,1400,1270,0.0335875,0.00209096,24,30,4,0.002091,0.002182,0.002190,0.002406
305,1450,1331,0.0335184,0.00194848,24,32,4,0.001948,0.002095,0.002285,0.002614
315,1500,1392,0.0559895,0.0070693,25,36,6,0.007873,0.008199,0.007069,0.008489
325,1550,1458,0.0582603,0.00582888,25,36,6,0.007894,0.008231,0.005829,0.008179
335,1600,1517,0.0488789,0.00401364,25,36,7,0.008217,0.008522,0.004014,0.006551
345,1650,1604,0.0488789,0.00427663,25,36,7,0.009022,0.009448,0.004277,0.005405
355,1700,1670,0.0533093,0.00465803,24,34,6,0.009994,0.010495,0.004658,0.004758
365,1750,1741,0.0394624,0.00314717,24,48,13,0.010680,0.011210,0.003147,0.004819
375,1800,1806,0.0394624,0.00638631,24,48,13,0.017391,0.017519,0.006386,0.008544
385,1850,1874,0.051178,0.00501757,24,48,13,0.017786,0.018817,0.005018,0.009623
395,1900,1935,0.051178,0.00533114,24,48,13,0.017061,0.018960,0.005331,0.009422
405,1950,1999,0.051178,0.00476956,24,48,13,0.016262,0.018389,0.004770,0.009333
415,2000,2073,0.051178,0.0046872,24,48,13,0.013081,0.014763,0.004687,0.004687
425,2050,2139,0.0506489,0.00482639,24,48,13,0.013558,0.014272,0.004826,0.004900
435,2100,2220,0.0506489,0.00482577,24,48,13,0.013976,0.014626,0.004826,0.005100
445,2150,2286,0.0530861,0.00512751,24,48,13,0.014130,0.014634,0.005128,0.005141
455,2200,2359,0.0506489,0.00526975,24,48,13,0.014041,0.014521,0.005270,0.005314
465,2250,2422,0.0534743,0.00497637,24,48,14,0.013472,0.014387,0.004976,0.005094
475,2300,2499,0.0536506,0.00417326,24,48,13,0.010465,0.010976,0.004173,0.004254
485,2350,2581,0.0482672,0.00376925,24,48,13,0.010782,0.011115,0.003769,0.004201
495,2400,2646,0.0398612,0.00286137,24,48,14,0.010320,0.010710,0.002861,0.003221
505,2450,2721,0.0394183,0.0026328,24,48,14,0.009788,0.010339,0.002633,0.003213
515,2500,2809,0.0394183,0.00237727,24,48,14,0.009956,0.010863,0.002377,0.003009
