#expected_P_avg,naive_P_avg,global_best_predicted_P_avg
0.0682689,0.102598,0.0530703
0.0878563,0.0682689,0.0164151
0.072317,0.0878563,0.0312318
0.0840076,0.072317,0.0161143
0.0708962,0.0840076,0.0232499
0.0875721,0.0708962,0.00837087
0.074376,0.0875721,0.0194097
0.0725314,0.074376,0.010185
0.0582485,0.0725314,0.00701862
0.0982058,0.0582485,-0.000902793
0.0864255,0.0982058,0.0380704
0.0716141,0.0864255,0.0318121
0.122544,0.0716141,0.0106595
0.0767938,0.122544,0.0628178
0.233477,0.0767938,0.0193508
0.191157,0.233477,0.176188
0.161769,0.191157,0.150122
0.211851,0.161769,0.121303
0.158468,0.211851,0.164179
0.203695,0.158468,0.117506
0.173015,0.203695,0.154664
0.0823325,0.173015,0.139168
0.0315172,0.0823325,0.0638615
0.0384916,0.0315172,-0.0269802
