genome_id,generation,training_indices
2,0,"8;2;1;3;6;5;9;0;4;7"
3,0,"6;9;2;8;7;0;3;5;1;4"
4,0,"4;8;1;6;3;2;5;9;0;7"
5,0,"2;4;0;8;7;1;9;6;5;3"
6,0,"3;6;2;7;9;8;0;5;1;4"
7,0,"7;3;4;6;2;8;9;5;0;1"
8,0,"7;2;1;0;9;4;6;5;8;3"
9,0,"4;6;2;1;5;9;8;7;0;3"
10,0,"5;2;7;0;1;4;6;3;9;8"
11,0,"9;7;1;4;6;8;0;5;2;3"
12,1,"3;0;1;9;8;6;2;7;10;5"
13,1,"8;4;1;0;9;7;2;5;3;6"
14,1,"3;2;7;5;8;9;1;4;0;6"
15,1,"8;6;9;7;0;1;5;4;10;3"
16,1,"9;6;4;2;10;5;1;0;7;8"
17,1,"5;6;8;10;4;1;9;0;7;3"
18,1,"7;6;9;1;5;8;3;2;0;10"
19,1,"2;4;9;1;6;0;5;7;8;10"
20,1,"8;5;7;10;1;4;9;2;6;0"
21,1,"9;0;8;4;10;6;3;7;1;2"
22,2,"10;3;7;6;9;0;4;2;1;5"
23,2,"10;9;1;7;11;0;2;6;3;4"
24,2,"4;8;7;0;1;3;11;9;10;2"
25,2,"0;7;1;5;6;4;3;9;10;8"
26,2,"1;11;6;0;9;4;7;8;5;10"
27,2,"10;9;2;3;5;11;4;8;1;6"
28,2,"0;10;6;2;1;8;7;3;9;11"
29,2,"8;2;11;10;0;7;1;6;9;5"
30,2,"3;0;10;5;8;7;2;6;9;4"
31,2,"4;8;10;3;0;2;9;7;5;1"
32,3,"6;1;12;2;9;10;8;11;3;0"
33,3,"11;6;12;2;4;1;7;9;0;10"
34,3,"1;4;3;10;0;5;12;11;7;2"
35,3,"2;6;1;4;3;12;0;11;7;10"
36,3,"11;10;3;4;1;6;2;5;8;9"
37,3,"0;3;4;12;2;9;1;8;7;6"
38,3,"5;3;12;10;11;8;1;9;0;2"
39,3,"10;7;12;4;2;0;6;3;5;1"
40,3,"9;12;10;7;5;8;11;0;2;6"
41,3,"12;5;7;3;2;8;6;1;10;9"
42,4,"11;1;2;12;13;8;9;0;7;6"
43,4,"5;1;6;2;10;0;4;11;12;13"
44,4,"3;5;1;8;9;12;0;4;7;13"
45,4,"3;7;12;13;11;4;1;9;10;5"
46,4,"0;7;1;8;10;12;5;9;6;3"
47,4,"4;13;2;8;0;10;3;9;11;12"
48,4,"6;13;11;4;3;5;12;1;2;8"
49,4,"11;7;3;6;0;4;10;9;8;5"
50,4,"11;10;9;3;13;6;2;1;12;5"
51,4,"9;12;11;5;3;2;4;6;0;7"
52,5,"9;11;8;2;12;13;6;5;3;14"
53,5,"11;4;6;8;13;12;1;0;7;2"
54,5,"9;12;14;10;6;3;1;5;7;8"
55,5,"6;13;12;14;1;10;7;5;11;3"
56,5,"9;14;12;8;13;1;4;5;10;11"
57,5,"5;3;7;11;8;13;4;12;2;10"
58,5,"14;10;3;13;1;5;4;6;9;0"
59,5,"0;6;14;7;1;2;4;9;13;12"
60,5,"13;8;11;1;9;0;4;5;10;6"
61,5,"12;3;1;13;8;9;4;10;0;5"
62,6,"6;3;10;4;13;8;5;1;15;14"
63,6,"9;10;4;15;6;14;11;5;7;3"
64,6,"15;12;13;4;2;7;10;3;5;6"
65,6,"8;12;13;3;11;7;15;4;0;14"
66,6,"13;2;10;0;4;11;15;1;7;8"
67,6,"1;8;6;9;14;2;10;0;13;12"
68,6,"5;13;3;6;7;0;10;14;8;9"
69,6,"0;13;15;3;11;14;5;2;6;12"
70,6,"12;3;7;6;11;0;5;14;4;10"
71,6,"9;4;3;6;11;10;8;15;1;5"
72,7,"11;0;10;8;12;1;15;14;16;4"
73,7,"7;14;0;3;11;15;13;8;12;5"
74,7,"0;12;2;14;16;3;13;6;9;4"
75,7,"4;2;13;1;0;11;15;9;3;10"
76,7,"16;8;3;2;14;15;6;13;4;5"
77,7,"15;12;13;3;4;2;14;5;8;9"
78,7,"1;8;16;9;13;14;15;0;2;10"
79,7,"6;4;10;3;5;2;13;14;12;15"
80,7,"5;1;13;9;7;3;0;16;15;8"
81,7,"12;13;3;15;14;1;16;8;0;10"
82,8,"3;13;6;2;17;15;16;8;4;10"
83,8,"10;12;15;0;17;11;5;16;4;9"
84,8,"14;15;11;4;6;17;5;0;16;1"
85,8,"1;14;3;10;6;17;7;0;9;13"
86,8,"3;1;17;4;7;12;5;11;9;10"
87,8,"7;3;2;12;6;14;15;8;9;17"
88,8,"1;8;15;6;0;13;17;9;14;7"
89,8,"5;2;6;1;9;16;17;10;15;4"
90,8,"13;17;2;7;10;15;8;16;12;0"
91,8,"4;6;14;7;16;2;1;15;3;0"
92,9,"1;9;0;6;12;8;4;16;5;17"
93,9,"18;17;14;12;3;0;11;8;4;10"
94,9,"7;12;11;10;18;4;3;1;0;16"
95,9,"6;18;8;1;9;5;0;4;16;7"
96,9,"2;5;3;15;17;0;16;12;18;1"
97,9,"5;4;16;12;10;15;0;3;6;13"
98,9,"11;13;12;0;18;8;1;7;10;3"
99,9,"3;13;4;2;12;7;8;6;11;0"
100,9,"10;4;16;8;13;12;0;18;15;17"
101,9,"16;5;0;2;17;3;7;13;4;12"
102,10,"2;1;5;18;17;6;14;11;0;12"
103,10,"9;3;16;0;5;17;14;1;8;7"
104,10,"14;13;9;10;18;11;6;3;7;2"
105,10,"13;17;15;3;18;2;0;14;7;10"
106,10,"2;10;8;6;0;16;3;15;9;13"
107,10,"14;13;15;5;12;17;10;6;18;8"
108,10,"19;4;12;9;7;0;8;13;10;17"
109,10,"9;3;1;6;7;2;13;8;10;14"
110,10,"17;9;4;0;12;8;16;11;7;3"
111,10,"13;16;4;19;0;7;17;14;5;2"
112,11,"1;16;20;5;4;14;9;15;18;13"
113,11,"16;18;17;19;8;15;1;4;20;5"
114,11,"0;11;1;19;14;16;9;6;17;3"
115,11,"6;9;12;7;1;17;5;18;0;2"
116,11,"6;16;2;17;8;3;5;7;0;13"
117,11,"17;15;19;8;1;11;20;16;13;9"
118,11,"6;13;14;20;18;3;4;7;12;5"
119,11,"9;12;3;14;0;1;15;17;6;10"
120,11,"4;10;20;15;7;14;18;9;6;3"
121,11,"5;10;15;11;12;3;1;18;2;8"
122,12,"3;4;0;2;6;7;13;15;5;8"
123,12,"18;16;14;10;1;13;9;6;11;0"
124,12,"19;4;16;1;10;17;0;11;7;9"
125,12,"1;14;12;13;20;21;0;15;10;19"
126,12,"9;16;12;0;10;5;3;2;17;20"
127,12,"13;12;4;14;20;8;3;5;10;0"
128,12,"20;14;21;5;11;17;6;19;7;8"
129,12,"13;10;3;1;12;21;17;0;2;16"
130,12,"6;12;13;14;18;9;8;7;10;21"
131,12,"8;17;9;3;20;6;1;12;7;2"
132,13,"20;19;6;22;5;13;12;3;2;8"
133,13,"19;10;12;15;11;18;7;9;13;22"
134,13,"12;13;21;4;19;14;9;8;0;10"
135,13,"11;18;6;16;17;19;4;10;8;14"
136,13,"5;19;20;1;6;21;11;22;18;7"
137,13,"0;19;14;5;6;22;16;13;1;7"
138,13,"9;0;19;10;13;21;8;1;22;4"
139,13,"1;7;0;17;4;21;11;10;19;15"
140,13,"7;1;21;15;20;13;5;2;0;9"
141,13,"10;14;1;18;11;9;15;7;0;16"
142,14,"6;10;15;5;21;13;2;22;4;12"
143,14,"9;21;23;12;5;7;1;3;6;10"
144,14,"3;14;19;8;7;0;17;10;1;23"
145,14,"20;19;17;7;9;3;18;23;22;12"
