set,ticker
set1,ADM
set1,ADSK
set1,AES
set1,ALB
set1,ALGN
set1,APA
set1,ARE
set1,AVB
set1,CHD
set1,CINF
set1,CNP
set1,COO
set1,CPB
set1,CSGP
set1,CTSH
set1,DECK
set1,DHI
set1,DRI
set1,EIX
set1,EL
set1,ES
set1,EVRG
set1,EXR
set1,FFIV
set1,FIS
set1,GIS
set1,GL
set1,HAL
set1,HRL
set1,INCY
set1,IRM
set1,JKHY
set1,KR
set1,MAA
set1,MCHP
set1,NDSN
set1,NUE
set1,POOL
set1,RF
set1,RMD
set1,ROL
set1,ROP
set1,SJM
set1,STZ
set1,TSN
set1,WAT
set1,WEC
set1,WSM
set1,WY
set1,WYNN
set2,A
set2,ATO
set2,AVY
set2,BAX
set2,CBRE
set2,CLX
set2,CTRA
set2,DGX
set2,DVA
set2,EQR
set2,EQT
set2,ERIE
set2,EXPD
set2,FISV
set2,FITB
set2,FRT
set2,GEN
set2,HUM
set2,IDXX
set2,IEX
set2,JBHT
set2,JBL
set2,KEY
set2,KIM
set2,LII
set2,LNT
set2,LUV
set2,LVS
set2,MAS
set2,MLM
set2,MOH
set2,MTD
set2,NTAP
set2,ON
set2,PAYX
set2,PEG
set2,PFG
set2,PHM
set2,PKG
set2,RL
set2,RVTY
set2,STLD
set2,SYY
set2,TPR
set2,TRMB
set2,TROW
set2,UHS
set2,WST
set2,WTW
set2,ZBRA
set3,AEE
set3,AXON
set3,BALL
set3,BBY
set3,BEN
set3,BXP
set3,CCL
set3,CMS
set3,CRL
set3,DLTR
set3,DOC
set3,DPZ
set3,DTE
set3,EFX
set3,ETR
set3,FDS
set3,FE
set3,FICO
set3,FIX
set3,HAS
set3,HIG
set3,HOLX
set3,HPQ
set3,HSIC
set3,HSY
set3,HUBB
set3,IFF
set3,IP
set3,L
set3,MGM
set3,MOS
set3,NI
set3,NRG
set3,NTRS
set3,ODFL
set3,OXY
set3,PNW
set3,PRU
set3,PTC
set3,RJF
set3,ROK
set3,SNA
set3,STT
set3,SWKS
set3,TECH
set3,TER
set3,TKO
set3,TTWO
set3,UDR
set3,ZBH
set4,ACGL
set4,AIZ
set4,AKAM
set4,AOS
set4,BG
set4,BIIB
set4,BRO
set4,CAG
set4,CHRW
set4,CNC
set4,CPRT
set4,CPT
set4,DOV
set4,DVN
set4,EBAY
set4,ED
set4,EG
set4,EME
set4,ESS
set4,EW
set4,EXC
set4,GPC
set4,GPN
set4,GRMN
set4,HBAN
set4,HST
set4,IT
set4,J
set4,KMB
set4,LH
set4,MTB
set4,NVR
set4,OMC
set4,PCG
set4,PPG
set4,PPL
set4,REG
set4,STE
set4,SWK
set4,TDY
set4,TSCO
set4,TXT
set4,TYL
set4,VMC
set4,VRSN
set4,VTR
set4,WAB
set4,WRB
set4,XEL
set4,YUM
