# architecture inherited from /tmp/bl_results/lstm/set1_clean/meta.json: {"cs_demean_y": true, "hidden": 8, "lr": 0.001, "seq_len": 5}
# periodic-lstm-monthly
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0197   +0.0293   +0.0539   +0.0385    -13.18    -0.52    32.55   0.2753     4.85
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  +0.0188   +0.0095   +0.0047   +0.0051    +21.11    +1.08    16.65   0.2190     2.62
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  -0.0006   -0.0059   +0.0100   +0.0044    +18.76    +1.04    12.13   0.3777     3.52
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  +0.0021   +0.0008   +0.0152   +0.0275    +10.95    +0.82     6.13   0.0545     0.37
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0268   +0.0246   +0.0197   +0.0107     +6.87    +0.45    10.29   0.0758     0.63
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  +0.0134   +0.0117   +0.0207   +0.0173    +44.50    +0.48    32.55   0.2006    11.99
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC +0.0134 (SE 0.0065, t +2.05); rank IC +0.0117 (SE 0.0059, t +1.99); rebalances 204, avg holding 6.1 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0117  h=2:+0.0158  h=3:+0.0205  h=4:+0.0221  h=5:+0.0207  h=6:+0.0179  h=7:+0.0173  h=8:+0.0179  h=9:+0.0186  h=10:+0.0173
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# periodic-lstm-monthly: run 171.3s, total 173.7s, wrote /tmp/bl_results/periodic_lstm_monthly/set1_clean
