# architecture inherited from /tmp/bl_results/lstm/set1_clean/meta.json: {"cs_demean_y": true, "hidden": 8, "lr": 0.001, "seq_len": 5}
# periodic-lstm-yearly
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0336   +0.0419   +0.0538   +0.0545     +8.36    +0.37    16.88   0.1517     3.01
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  -0.0069   -0.0078   +0.0045   +0.0012    -17.42    -0.90    24.54   0.0067     0.04
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  +0.0098   +0.0060   +0.0165   +0.0201    +30.61    +1.26    13.82   0.1749     1.68
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  +0.0217   +0.0258   +0.0280   +0.0376     +7.86    +0.54     8.28   0.0111     0.07
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0315   +0.0243   +0.0115   -0.0091    +11.79    +0.70    11.37   0.1947     1.71
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  +0.0180   +0.0181   +0.0229   +0.0211    +41.21    +0.42    30.67   0.1080     6.51
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC +0.0180 (SE 0.0066, t +2.70); rank IC +0.0181 (SE 0.0062, t +2.92); rebalances 107, avg holding 11.4 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0181  h=2:+0.0208  h=3:+0.0216  h=4:+0.0243  h=5:+0.0229  h=6:+0.0216  h=7:+0.0214  h=8:+0.0221  h=9:+0.0238  h=10:+0.0211
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# periodic-lstm-yearly: run 15.3s, total 17.7s, wrote /tmp/bl_results/periodic_lstm_yearly/set1_clean
