# periodic-ridge-quarterly
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0121   +0.0190   +0.0423   +0.0583     -2.27    -0.06    51.42   1.1288    14.33
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  +0.0278   +0.0224   +0.0088   +0.0168    +41.87    +2.08     8.95   0.8033     8.80
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  -0.0006   -0.0090   +0.0076   +0.0121    -21.86    -0.93    25.70   0.8759     7.55
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  +0.0225   +0.0228   +0.0251   +0.0279    +13.54    +0.81    12.83   0.8236     5.44
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0397   +0.0184   +0.0149   -0.0018    +10.66    +0.60    19.37   0.9577     7.52
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  +0.0203   +0.0147   +0.0198   +0.0229    +41.94    +0.35    51.42   0.9182    43.63
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC +0.0203 (SE 0.0073, t +2.79); rank IC +0.0147 (SE 0.0065, t +2.28); rebalances 972, avg holding 1.3 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0147  h=2:+0.0120  h=3:+0.0163  h=4:+0.0191  h=5:+0.0198  h=6:+0.0186  h=7:+0.0193  h=8:+0.0209  h=9:+0.0228  h=10:+0.0229
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# periodic-ridge-quarterly: run 0.3s, total 2.6s, wrote /tmp/bl_results/periodic_ridge_quarterly/set1_clean
