# trivial-str5
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0202   +0.0215   +0.0352   +0.0027    +16.42    +0.39    62.75   0.5670     6.85
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  +0.0075   +0.0054   +0.0152   +0.0142    -21.97    -0.92    30.92   0.6506     6.73
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  +0.0103   +0.0010   +0.0062   +0.0074     -5.08    -0.21    25.79   0.5313     4.48
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  +0.0182   +0.0206   +0.0236   +0.0244     +4.45    +0.25    10.88   0.5833     3.83
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0248   +0.0235   +0.0252   +0.0124    +21.18    +1.36     8.58   0.6350     5.16
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  +0.0162   +0.0144   +0.0211   +0.0122    +14.99    +0.11    62.75   0.5935    27.06
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC +0.0162 (SE 0.0074, t +2.18); rank IC +0.0144 (SE 0.0072, t +2.01); rebalances 959, avg holding 1.3 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0144  h=2:+0.0166  h=3:+0.0199  h=4:+0.0208  h=5:+0.0211  h=6:+0.0197  h=7:+0.0181  h=8:+0.0164  h=9:+0.0155  h=10:+0.0122
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# trivial-str5: run 0.0s, total 2.4s, wrote /tmp/bl_results/str5/set1_clean
