$ /Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/control1_random.py --panel /Users/jonathanchang/.claude/jobs/fc17658e/tmp/set1_core7 --seed 44 --out-dir /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control1/set1_core7_seed44 --exclude-features RET_CS,RET_CS_Z,RET_CS5
# realized: sidecar (RET_raw (sidecar)), trained on RET_CS; panel header (10) ['RET', 'RET_CS_IN', 'BA_SPREAD', 'ILLIQUIDITY', 'REV21_1', 'TURN_RATIO', 'VOL21', 'RET_CS', 'RET_CS_Z', 'RET_CS5']
# model inputs (7): ['RET', 'RET_CS_IN', 'BA_SPREAD', 'ILLIQUIDITY', 'REV21_1', 'TURN_RATIO', 'VOL21']  [excluded: RET_CS, RET_CS5, RET_CS_Z]
# member 0: {'cell': 'gru', 'hidden': 5, 'rec_density': 0.5, 'lr': 0.003, 'seed': 44000, 'n_params': 216}
# member 1: {'cell': 'rnn', 'hidden': 12, 'rec_density': 0.75, 'lr': 0.003, 'seed': 44001, 'n_params': 265}
# member 2: {'cell': 'rnn', 'hidden': 16, 'rec_density': 0.75, 'lr': 0.003, 'seed': 44002, 'n_params': 417}
# member 3: {'cell': 'rnn', 'hidden': 16, 'rec_density': 0.5, 'lr': 0.003, 'seed': 44003, 'n_params': 417}
# member 4: {'cell': 'rnn', 'hidden': 6, 'rec_density': 1.0, 'lr': 0.003, 'seed': 44004, 'n_params': 97}
# member 5: {'cell': 'rnn', 'hidden': 9, 'rec_density': 0.5, 'lr': 0.003, 'seed': 44005, 'n_params': 172}
# member 6: {'cell': 'gru', 'hidden': 12, 'rec_density': 0.75, 'lr': 0.003, 'seed': 44006, 'n_params': 769}
# member 7: {'cell': 'gru', 'hidden': 8, 'rec_density': 0.75, 'lr': 0.003, 'seed': 44007, 'n_params': 417}
# warmup wake 1/1026 (2004-08-16)  0s
# warmup wake 101/1026 (2006-08-09)  114s
# warmup wake 201/1026 (2008-08-05)  254s
# warmup wake 301/1026 (2010-07-30)  392s
# warmup wake 401/1026 (2012-07-24)  541s
# warmup wake 501/1026 (2014-07-22)  659s
# warmup wake 601/1026 (2016-07-15)  777s
# warmup wake 701/1026 (2018-07-11)  898s
# scored wake 781/1026 (2020-02-12) champion=m1  988s
# scored wake 801/1026 (2020-07-07) champion=m1  1017s
# scored wake 821/1026 (2020-11-25) champion=m1  1046s
# scored wake 841/1026 (2021-04-22) champion=m4  1074s
# scored wake 861/1026 (2021-09-14) champion=m4  1099s
# scored wake 881/1026 (2022-02-04) champion=m1  1127s
# scored wake 901/1026 (2022-06-30) champion=m1  1155s
# scored wake 921/1026 (2022-11-21) champion=m5  1184s
# scored wake 941/1026 (2023-04-18) champion=m5  1215s
# scored wake 961/1026 (2023-09-11) champion=m3  1243s
# scored wake 981/1026 (2024-02-02) champion=m1  1272s
# scored wake 1001/1026 (2024-06-27) champion=m6  1303s
# scored wake 1021/1026 (2024-11-18) champion=m1  1329s
# control1_random_arch/single
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0029   +0.0045   -0.0026   +0.0083    -16.92    -0.83    33.07   1.2054    15.84
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  -0.0123   -0.0066   -0.0027   +0.0179    -23.29    -1.39    41.27   1.1049    11.52
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  +0.0023   +0.0095   +0.0144   -0.0053     +6.50    +0.38    12.52   1.1966    10.45
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  -0.0120   -0.0130   -0.0003   +0.0061    -16.80    -1.25    17.35   1.2249     8.65
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0158   +0.0213   +0.0043   -0.0270     +7.05    +0.46    10.31   1.2469    10.47
2024      naive    252  -0.0453   -0.0328   -0.0234   -0.0149    -31.98    -1.65    38.13   1.2810    10.19
overall   model   1258  -0.0006   +0.0032   +0.0026   +0.0002    -43.46    -0.52    57.39   1.1957    56.93
overall   naive   1258  -0.0172   -0.0175   -0.0165   -0.0157    -96.04    -0.81    98.93   1.1664    52.32
# model overall: pearson IC -0.0006 (SE 0.0054, t -0.12); rank IC +0.0032 (SE 0.0051, t +0.63); rebalances 1198, avg holding 1.1 days
# naive overall: pearson IC -0.0172 (SE 0.0075, t -2.28); rank IC -0.0175 (SE 0.0072, t -2.44); rebalances 939, avg holding 1.3 days
# rank IC by horizon (model): h=1:+0.0032  h=2:+0.0111  h=3:+0.0057  h=4:+0.0052  h=5:+0.0026  h=6:-0.0003  h=7:-0.0002  h=8:-0.0006  h=9:+0.0002  h=10:+0.0002
# rank IC by horizon (naive): h=1:-0.0175  h=2:-0.0104  h=3:-0.0135  h=4:-0.0152  h=5:-0.0165  h=6:-0.0129  h=7:-0.0158  h=8:-0.0165  h=9:-0.0174  h=10:-0.0157
# control1_random_arch/ensemble
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  -0.0036   -0.0049   +0.0161   +0.0194    -29.89    -1.09    33.82   1.0673    13.93
2020      naive    253  -0.0029   -0.0082   -0.0170   -0.0165     -7.89    -0.25    34.21   1.0411    12.43
2021      model    252  +0.0082   +0.0120   +0.0274   +0.0369    -18.53    -1.15    25.98   1.0422    10.98
2021      naive    252  -0.0203   -0.0272   -0.0121   -0.0209    -21.88    -0.92    36.66   1.3312    13.43
2022      model    251  +0.0063   +0.0079   +0.0149   +0.0055     +6.01    +0.34    14.81   1.0744     9.54
2022      naive    251  +0.0032   +0.0017   -0.0131   -0.0086    -22.44    -0.98    27.85   1.0082     8.46
2023      model    250  +0.0090   +0.0078   +0.0123   +0.0110     +1.28    +0.09     7.07   1.1104     7.66
2023      naive    250  -0.0206   -0.0210   -0.0171   -0.0176    -11.85    -0.65    18.04   1.1705     7.81
2024      model    252  +0.0229   +0.0209   +0.0258   +0.0087    +14.88    +1.03     9.89   1.1706     9.67
