$ /Applications/Xcode.app/Contents/Developer/usr/bin/python3 /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/control2_fixed_ensemble.py --panel /Users/jonathanchang/.claude/jobs/fc17658e/tmp/set2_core7 --seed 42 --out-dir /Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/controls/results_controls/control2/set2_core7_seed42 --exclude-features RET_CS,RET_CS_Z,RET_CS5
# realized: sidecar (RET_raw (sidecar)), trained on RET_CS; panel header (10) ['RET', 'RET_CS_IN', 'BA_SPREAD', 'ILLIQUIDITY', 'REV21_1', 'TURN_RATIO', 'VOL21', 'RET_CS', 'RET_CS_Z', 'RET_CS5']
# model inputs (7): ['RET', 'RET_CS_IN', 'BA_SPREAD', 'ILLIQUIDITY', 'REV21_1', 'TURN_RATIO', 'VOL21']  [excluded: RET_CS, RET_CS5, RET_CS_Z]
# tuning on 2016-01-04..2019-12-31 (1006 days), 8 configs, objective = mean daily rank IC, tune seed 7
#   {"cell": "rnn", "hidden": 8, "lr": 0.001}  val rank IC +0.02368  (45.7s)
#   {"cell": "rnn", "hidden": 8, "lr": 0.003}  val rank IC +0.01532  (45.4s)
#   {"cell": "rnn", "hidden": 16, "lr": 0.001}  val rank IC +0.01453  (65.6s)
#   {"cell": "rnn", "hidden": 16, "lr": 0.003}  val rank IC +0.01059  (66.7s)
#   {"cell": "gru", "hidden": 8, "lr": 0.001}  val rank IC +0.02060  (100.2s)
#   {"cell": "gru", "hidden": 8, "lr": 0.003}  val rank IC +0.01896  (112.9s)
#   {"cell": "gru", "hidden": 16, "lr": 0.001}  val rank IC +0.01518  (153.7s)
#   {"cell": "gru", "hidden": 16, "lr": 0.003}  val rank IC +0.00983  (150.8s)
# chosen: {"cell": "rnn", "hidden": 8, "lr": 0.001}  (val rank IC +0.02368)
# 8 identical members, arch {"cell": "rnn", "hidden": 8, "lr": 0.001, "rec_density": 1.0}, seeds [42000, 42001, 42002, 42003, 42004, 42005, 42006, 42007]
# warmup wake 1/1009 (2004-12-17)  0s
# warmup wake 101/1009 (2006-12-12)  38s
# warmup wake 201/1009 (2008-12-08)  79s
# warmup wake 301/1009 (2010-12-02)  125s
# warmup wake 401/1009 (2012-11-28)  169s
# warmup wake 501/1009 (2014-11-21)  214s
# warmup wake 601/1009 (2016-11-16)  258s
# warmup wake 701/1009 (2018-11-12)  303s
# scored wake 761/1009 (2020-01-24) champion=m5  331s
# scored wake 781/1009 (2020-06-17) champion=m4  343s
# scored wake 801/1009 (2020-11-06) champion=m3  354s
# scored wake 821/1009 (2021-04-05) champion=m7  365s
# scored wake 841/1009 (2021-08-25) champion=m4  376s
# scored wake 861/1009 (2022-01-18) champion=m1  387s
# scored wake 881/1009 (2022-06-10) champion=m6  397s
# scored wake 901/1009 (2022-11-02) champion=m7  408s
# scored wake 921/1009 (2023-03-29) champion=m6  419s
# scored wake 941/1009 (2023-08-22) champion=m3  429s
# scored wake 961/1009 (2024-01-16) champion=m5  440s
# scored wake 981/1009 (2024-06-07) champion=m2  450s
# scored wake 1001/1009 (2024-10-30) champion=m3  461s
# control2_fixed_ensemble/single
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0293   +0.0321   +0.0224   +0.0312     +4.82    +0.21    24.34   1.4762    18.83
2020      naive    253  -0.0196   -0.0245   -0.0332   -0.0410    -87.00    -2.36    89.53   1.0771    13.49
2021      model    252  +0.0193   +0.0194   +0.0115   +0.0177     -0.26    -0.02    16.62   1.4706    16.50
2021      naive    252  -0.0320   -0.0428   -0.0149   -0.0194    -29.20    -1.48    35.51   1.2437    13.98
2022      model    251  +0.0131   +0.0113   +0.0300   +0.0234    -14.50    -0.86    28.98   1.4498    14.22
2022      naive    251  -0.0114   -0.0147   -0.0220   -0.0262     -9.21    -0.42    28.75   0.8953     8.52
2023      model    250  -0.0019   +0.0025   -0.0002   -0.0008     -5.51    -0.45    12.93   1.3932    11.20
2023      naive    250  -0.0197   -0.0168   -0.0191   -0.0127    -17.36    -1.02    20.12   1.1120     8.86
2024      model    252  +0.0272   +0.0189   +0.0180   +0.0202    +20.57    +1.72     4.07   1.4477    13.72
2024      naive    252  -0.0355   -0.0294   -0.0121   -0.0210    -54.57    -3.45    57.70   1.1845    10.45
overall   model   1258  +0.0174   +0.0169   +0.0164   +0.0184     +5.13    +0.06    28.90   1.4476    74.47
overall   naive   1258  -0.0237   -0.0256   -0.0203   -0.0241   -197.34    -1.68   179.63   1.1026    55.30
# model overall: pearson IC +0.0174 (SE 0.0056, t +3.09); rank IC +0.0169 (SE 0.0052, t +3.22); rebalances 1234, avg holding 1.0 days
# naive overall: pearson IC -0.0237 (SE 0.0073, t -3.24); rank IC -0.0256 (SE 0.0069, t -3.73); rebalances 876, avg holding 1.4 days
# rank IC by horizon (model): h=1:+0.0169  h=2:+0.0155  h=3:+0.0164  h=4:+0.0132  h=5:+0.0164  h=6:+0.0169  h=7:+0.0185  h=8:+0.0181  h=9:+0.0194  h=10:+0.0184
# rank IC by horizon (naive): h=1:-0.0256  h=2:-0.0201  h=3:-0.0195  h=4:-0.0208  h=5:-0.0203  h=6:-0.0254  h=7:-0.0232  h=8:-0.0237  h=9:-0.0243  h=10:-0.0241
# control2_fixed_ensemble/ensemble
period    who     days  pearsonIC  rankIC@1  rankIC@5  rankIC@10      net%   sharpe     MDD% turnover    cost%
2020      model    253  +0.0298   +0.0304   +0.0372   +0.0371    +13.05    +0.40    34.74   1.5207    20.11
2020      naive    253  -0.0196   -0.0245   -0.0332   -0.0410    -87.00    -2.36    89.53   1.0771    13.49
2021      model    252  +0.0243   +0.0245   +0.0230   +0.0275    +10.26    +0.61    20.61   1.4721    16.56
2021      naive    252  -0.0320   -0.0428   -0.0149   -0.0194    -29.20    -1.48    35.51   1.2437    13.98
2022      model    251  +0.0140   +0.0161   +0.0262   +0.0321     -9.63    -0.54    31.34   1.5098    14.60
2022      naive    251  -0.0114   -0.0147   -0.0220   -0.0262     -9.21    -0.42    28.75   0.8953     8.52
2023      model    250  +0.0125   +0.0099   +0.0170   +0.0168     -0.64    -0.04    12.11   1.4358    11.41
2023      naive    250  -0.0197   -0.0168   -0.0191   -0.0127    -17.36    -1.02    20.12   1.1120     8.86
2024      model    252  +0.0298   +0.0308   +0.0256   +0.0451    +17.74    +1.24     7.51   1.3277    12.31
2024      naive    252  -0.0355   -0.0294   -0.0121   -0.0210    -54.57    -3.45    57.70   1.1845    10.45
