control,run,variant,net_pct,sharpe,mdd_pct,turnover,cost_pct
control1,set1_core7_seed42,single,-6.0481,-0.1373,23.3707,0.1518,7.0666
control1,set1_core7_seed42,ensemble,39.1745,0.5957,28.6463,0.1308,6.0474
control1,set1_core7_seed43,single,12.9805,0.3042,10.1901,0.1512,7.0818
control1,set1_core7_seed43,ensemble,13.5131,0.2157,30.844,0.131,6.0525
control1,set1_core7_seed44,single,-16.8949,-0.3955,22.0422,0.1485,7.0709
control1,set1_core7_seed44,ensemble,5.3312,0.0907,24.4619,0.1282,5.9911
control1,set1_v2_seed42,single,9.5439,0.2803,8.6758,0.1547,7.3976
control1,set1_v2_seed42,ensemble,35.0109,0.7205,27.0692,0.1461,6.8263
control1,set1_v2_seed43,single,30.474,0.8221,8.7505,0.1543,7.3098
control1,set1_v2_seed43,ensemble,39.5456,0.8483,15.959,0.1475,6.8909
control1,set1_v2_seed44,single,10.514,0.301,14.7368,0.1559,7.337
control1,set1_v2_seed44,ensemble,44.1938,0.9738,20.9607,0.1456,6.8471
control1,set2_core7_seed42,single,15.9932,0.4567,10.6469,0.1537,7.7785
control1,set2_core7_seed42,ensemble,49.5653,1.0863,17.857,0.1489,7.5844
control1,set2_core7_seed43,single,26.2494,0.7159,19.1075,0.1545,7.9643
control1,set2_core7_seed43,ensemble,46.1086,0.9881,19.2615,0.1483,7.5781
control1,set2_core7_seed44,single,22.2437,0.6197,10.4113,0.1545,7.7991
control1,set2_core7_seed44,ensemble,52.5456,1.1039,18.8053,0.1482,7.3778
control1,set2_v2_seed42,single,45.4722,1.2174,14.1067,0.1555,8.2438
control1,set2_v2_seed42,ensemble,67.6905,1.476,17.3239,0.1539,8.0508
control1,set2_v2_seed43,single,30.2511,0.9132,6.1292,0.1555,8.301
control1,set2_v2_seed43,ensemble,68.8653,1.6277,9.4078,0.1544,8.0015
control1,set2_v2_seed44,single,37.2344,1.1597,7.5649,0.1564,8.3249
control1,set2_v2_seed44,ensemble,57.3511,1.5641,9.5468,0.1556,8.0131
control1,set3_core7_seed42,single,4.0671,0.0887,13.9715,0.1469,6.9649
control1,set3_core7_seed42,ensemble,30.9272,0.5064,18.6088,0.131,6.0655
control1,set3_core7_seed43,single,14.7994,0.3113,13.4652,0.1477,6.9479
control1,set3_core7_seed43,ensemble,33.7319,0.5664,13.48,0.1307,6.033
control1,set3_core7_seed44,single,26.5862,0.5805,9.4397,0.1466,7.0668
control1,set3_core7_seed44,ensemble,49.8032,0.7648,17.5391,0.1274,5.8443
control1,set3_v2_seed42,single,20.8207,0.5528,10.2652,0.1532,7.3892
control1,set3_v2_seed42,ensemble,36.2852,0.7439,17.0789,0.1446,6.7679
control1,set3_v2_seed43,single,-1.4397,-0.0392,11.7721,0.1535,7.3623
control1,set3_v2_seed43,ensemble,34.7509,0.763,14.1419,0.1457,6.8778
control1,set3_v2_seed44,single,13.296,0.3529,9.959,0.1517,7.2518
control1,set3_v2_seed44,ensemble,55.3702,1.0754,18.4974,0.1445,6.6931
control1,set4_core7_seed42,single,9.8838,0.2902,23.793,0.152,6.9928
control1,set4_core7_seed42,ensemble,42.5976,0.8152,18.0081,0.1386,6.439
control1,set4_core7_seed43,single,34.8482,0.9501,9.9798,0.1505,6.9935
control1,set4_core7_seed43,ensemble,41.9611,0.7566,24.0942,0.1387,6.4349
control1,set4_core7_seed44,single,27.0418,0.7484,13.7532,0.1519,7.0738
control1,set4_core7_seed44,ensemble,37.7085,0.7,21.8872,0.1411,6.7176
control1,set4_v2_seed42,single,13.8261,0.4492,11.1639,0.1555,7.4523
control1,set4_v2_seed42,ensemble,38.2124,0.941,13.062,0.152,7.2868
control1,set4_v2_seed43,single,24.471,0.7173,13.2316,0.1559,7.294
control1,set4_v2_seed43,ensemble,40.7157,0.9776,16.6471,0.1524,7.0594
control1,set4_v2_seed44,single,17.3283,0.5989,11.123,0.1547,7.3953
control1,set4_v2_seed44,ensemble,33.0778,0.7657,18.4244,0.1513,7.1837
control2,set1_core7_seed42,single,-14.229,-0.3421,20.1637,0.1473,6.9162
control2,set1_core7_seed42,ensemble,12.1468,0.18,35.7425,0.1273,5.9841
control2,set1_core7_seed43,single,3.369,0.0721,21.932,0.147,6.9602
control2,set1_core7_seed43,ensemble,27.2499,0.3964,36.973,0.1285,5.8958
control2,set1_core7_seed44,single,-1.314,-0.0314,17.942,0.1481,7.0305
control2,set1_core7_seed44,ensemble,46.1991,0.7224,27.2152,0.1289,6.0492
control2,set1_v2_seed42,single,15.8156,0.4146,14.721,0.1534,7.2415
control2,set1_v2_seed42,ensemble,46.4794,0.8789,30.0553,0.1439,6.5591
control2,set1_v2_seed43,single,29.0196,0.8451,7.1268,0.1543,7.2217
control2,set1_v2_seed43,ensemble,37.9492,0.8215,19.276,0.1463,6.7188
control2,set1_v2_seed44,single,23.8397,0.6706,17.7368,0.1552,7.3461
control2,set1_v2_seed44,ensemble,31.5125,0.6474,25.1315,0.1464,6.7744
control2,set2_core7_seed42,single,28.9289,0.7326,19.819,0.1514,7.7844
control2,set2_core7_seed42,ensemble,50.8234,1.1087,19.664,0.1495,7.6474
control2,set2_core7_seed43,single,33.8739,0.8755,12.6392,0.153,7.8879
control2,set2_core7_seed43,ensemble,55.1291,1.251,18.0687,0.1495,7.6005
control2,set2_core7_seed44,single,23.0823,0.7033,13.3339,0.1541,7.9145
control2,set2_core7_seed44,ensemble,46.4924,1.0144,21.7196,0.1511,7.7266
control2,set2_v2_seed42,single,39.4658,1.3649,7.3376,0.1563,8.3724
control2,set2_v2_seed42,ensemble,65.5235,1.748,16.0582,0.1554,8.0504
control2,set2_v2_seed43,single,29.5036,0.9598,11.5197,0.157,8.2198
control2,set2_v2_seed43,ensemble,64.3757,1.6058,16.5238,0.1556,8.1098
control2,set2_v2_seed44,single,30.0503,0.9558,6.8123,0.1582,8.2776
control2,set2_v2_seed44,ensemble,51.9815,1.361,15.139,0.1563,8.0807
control2,set3_core7_seed42,single,-20.5901,-0.5242,26.3191,0.1453,7.1036
control2,set3_core7_seed42,ensemble,11.4984,0.2046,17.7293,0.133,6.1226
control2,set3_core7_seed43,single,10.8852,0.3054,10.9059,0.1488,7.2161
control2,set3_core7_seed43,ensemble,30.4136,0.5463,15.1035,0.1343,6.2158
control2,set3_core7_seed44,single,4.5636,0.1262,14.1564,0.1442,7.092
control2,set3_core7_seed44,ensemble,12.5448,0.2345,15.8668,0.1351,6.2423
control2,set3_v2_seed42,single,9.1525,0.1968,12.0475,0.1512,7.2275
control2,set3_v2_seed42,ensemble,41.1228,0.8169,10.644,0.1431,6.6848
control2,set3_v2_seed43,single,7.7222,0.1774,18.0426,0.1519,7.3322
control2,set3_v2_seed43,ensemble,40.8631,0.8176,14.0111,0.1463,6.9096
control2,set3_v2_seed44,single,16.4395,0.4282,8.4507,0.1518,7.3022
control2,set3_v2_seed44,ensemble,52.4749,1.1649,10.2778,0.1463,6.8668
control2,set4_core7_seed42,single,20.901,0.584,12.5808,0.15,6.9011
control2,set4_core7_seed42,ensemble,33.0968,0.6639,19.8095,0.1411,6.4663
control2,set4_core7_seed43,single,25.2905,0.7138,12.7205,0.1493,6.9193
control2,set4_core7_seed43,ensemble,46.7607,0.9408,18.0453,0.141,6.3798
control2,set4_core7_seed44,single,14.8259,0.4272,11.3403,0.151,6.9755
control2,set4_core7_seed44,ensemble,29.0888,0.6084,17.2019,0.1401,6.4686
control2,set4_v2_seed42,single,24.9181,0.7953,8.1215,0.1556,7.4324
control2,set4_v2_seed42,ensemble,43.9014,1.1044,16.8362,0.1528,7.1612
control2,set4_v2_seed43,single,24.4072,0.7569,8.3151,0.1574,7.4369
control2,set4_v2_seed43,ensemble,34.0529,0.8761,10.6789,0.155,7.1852
control2,set4_v2_seed44,single,15.9057,0.5438,7.3893,0.1553,7.4815
control2,set4_v2_seed44,ensemble,39.9799,1.0262,12.7646,0.1531,7.1718
