control,run,variant,pearson_ic,rank_ic_1,rank_ic_t,rank_ic_5,net_pct,sharpe,n_days
control1,set1_core7_seed42,single,0.007097589573599436,0.004745514654419099,0.9444199343722389,0.006634998497006451,-47.21196698570641,-0.5396434997726245,1258
control1,set1_core7_seed42,ensemble,0.00698103099981295,0.005820386478206097,1.0710243511202608,0.01777242776401651,-31.827166986406336,-0.31104227899856063,1258
control1,set1_core7_seed43,single,0.005821055368827464,0.006725583783750341,1.331769837949424,0.006486575491440605,-38.244169586266324,-0.4381164523490666,1258
control1,set1_core7_seed43,ensemble,0.007414357947977739,0.007147211231233192,1.2925814430510227,0.01577003496747357,-31.735355826388922,-0.3386381316483445,1258
control1,set1_core7_seed44,single,-0.0006354218899199207,0.0031851413053275938,0.6261909778467184,0.002597249563081113,-43.456039190480695,-0.5171584056879154,1258
control1,set1_core7_seed44,ensemble,0.008548071986936525,0.00873558792316893,1.6367487721082932,0.019297494979175406,-26.252144594347627,-0.2828149712605598,1258
control1,set1_v2_seed42,single,0.0011006706586051027,-0.002266550206995075,-0.44980819656887805,0.009753796255344251,-51.58608707557373,-0.6051835496814104,1258
control1,set1_v2_seed42,ensemble,0.011717083769741347,0.009430590523955198,1.7852984998350359,0.02260657436734189,-22.974849879083855,-0.25676324167339765,1258
control1,set1_v2_seed43,single,0.006294341087035523,0.008500709844677995,1.7121713776015608,0.016172746610605946,-19.931351244068598,-0.2298657990874833,1258
control1,set1_v2_seed43,ensemble,0.016802012273450042,0.017156088284363148,3.1221105398262248,0.024613409981158452,1.9520304756840796,0.019426020899500736,1258
control1,set1_v2_seed44,single,0.008448023776192132,0.00817736972157231,1.5654777360240535,0.009501599682935367,-40.76521109555022,-0.46400424317013095,1258
control1,set1_v2_seed44,ensemble,0.014383083546207574,0.013272012707852356,2.398474301144861,0.021450730221348163,-14.59816404751764,-0.14758636232542116,1258
control1,set2_core7_seed42,single,0.014841570139864325,0.014643694344437136,2.739088659394891,0.01424194558206057,12.11248725644229,0.1462145109458858,1258
control1,set2_core7_seed42,ensemble,0.02317143213739738,0.023566930587107827,3.8298725481963234,0.02710201346015826,53.70609642229147,0.5248335539895378,1258
control1,set2_core7_seed43,single,0.014754547441669336,0.015009559853748786,2.88782220124318,0.01214334537642808,39.052351430477316,0.41040894580417475,1258
control1,set2_core7_seed43,ensemble,0.023836878601051298,0.0237656367174787,3.944823199200553,0.028541152395147856,2.013884516083294,0.020414511733403567,1258
control1,set2_core7_seed44,single,0.0065451643529507685,0.008610041276336232,1.5998797950226198,0.006351937904348344,-1.2514647126548848,-0.014060678696997335,1258
control1,set2_core7_seed44,ensemble,0.02363190155611827,0.023303633094205658,3.812848721219281,0.02480407284917922,45.42197010172996,0.44590313227122097,1258
control1,set2_v2_seed42,single,0.017592121374345914,0.017582399803169595,3.297895391292652,0.020024239360816133,17.71474048549743,0.18976007692007166,1258
control1,set2_v2_seed42,ensemble,0.02659227909707839,0.026075514504811142,4.2488061102879735,0.029719798878758898,58.40556758243039,0.5887988372601413,1258
control1,set2_v2_seed43,single,0.021852661112942515,0.019290047564388492,3.6212924430595317,0.020151907653013362,44.60630067652318,0.5173709792959217,1258
control1,set2_v2_seed43,ensemble,0.0255203758799207,0.024757939540136057,4.078728068855245,0.03128913229627634,57.45477670185093,0.5911911058252233,1258
control1,set2_v2_seed44,single,0.012319975944981498,0.013695656854655534,2.584401802948511,0.01623056878253696,32.752041393956176,0.3918791158525734,1258
control1,set2_v2_seed44,ensemble,0.026012328010977782,0.024600481235728187,4.062593872111571,0.027513730081392993,32.119351220435874,0.33293576870210306,1258
control1,set3_core7_seed42,single,0.007909833780871971,0.007060519666413166,1.3319758853093129,0.008566871724766455,-3.522578100276836,-0.041489657921860906,1258
