8-ISLAND BOOK SWEEP, 10 seeds x 4 panels (registered config = top_k 10, H 10)
 top_k   H      net   ±SE   Sharpe   ±SE   turn
     5   5     45.5   4.3     0.73  0.06  0.282
     5  10     38.5   3.8     0.68  0.06  0.151
     5  20     39.3   4.5     0.77  0.08  0.082
    10   5     38.1   2.5     0.75  0.04  0.232
    10  10     32.8   3.0     0.71  0.05  0.127 <-- registered
    10  20     32.0   3.5     0.76  0.07  0.070
    15   5     33.9   2.3     0.80  0.05  0.195
    15  10     27.6   2.8     0.71  0.06  0.108
    15  20     26.7   3.0     0.75  0.07  0.061
    20   5     29.3   2.0     0.81  0.05  0.165
    20  10     23.1   2.3     0.70  0.06  0.091
    20  20     21.9   2.5     0.73  0.07  0.052
    25   5     24.5   1.6     0.81  0.05  0.138
    25  10     19.7   2.0     0.72  0.06  0.077
    25  20     18.0   2.1     0.72  0.07  0.044
WROTE results_econ/booksweep_8isl.json
