date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2020-01-02,0.00118898,100.1189,1,0.003490,20.000000,-0.00119986,99.8800,1,0.002687,20.000000
2020-01-03,0.00103993,100.2229,1,0.002686,20.000000,0.00055209,99.9352,1,0.002905,20.000000
2020-01-06,-0.00078721,100.1442,1,0.003440,20.000000,0.00138238,100.0735,1,0.004831,20.000000
2020-01-07,0.00016287,100.1605,1,0.003072,20.000000,0.00062820,100.1363,1,0.003019,20.000000
2020-01-08,0.00203655,100.3641,1,0.003399,20.000000,-0.00219633,99.9166,1,0.003990,20.000000
2020-01-09,-0.00022417,100.3417,1,0.003015,20.000000,0.00286474,100.2031,1,0.002694,20.000000
2020-01-10,0.00153771,100.4955,1,0.002823,20.000000,0.00052722,100.2558,1,0.002855,20.000000
2020-01-13,0.00159652,100.6551,1,0.002816,20.000000,-0.00050627,100.2052,1,0.002523,20.000000
2020-01-14,-0.00116994,100.5381,1,0.002685,20.000000,-0.00269955,99.9353,1,0.002834,20.000000
2020-01-15,-0.00498728,100.0394,1,0.002185,20.000000,0.00280036,100.2153,1,0.002558,20.000000
2020-01-16,0.00133628,100.1730,1,0.004045,28.440612,-0.00182467,100.0328,1,0.004786,36.304230
2020-01-17,0.00287389,100.4604,1,0.003385,22.491535,-0.00503449,99.5294,1,0.003741,26.573185
2020-01-21,-0.00239893,100.2205,1,0.003839,26.397487,0.00322736,99.8521,1,0.005138,36.552909
2020-01-22,-0.00089537,100.1310,1,0.003335,24.512263,-0.00129058,99.7231,1,0.004612,26.583514
2020-01-23,-0.00297002,99.8340,1,0.002658,22.513083,0.00013774,99.7368,1,0.004592,32.618638
2020-01-24,-0.00441704,99.3923,1,0.002498,14.950060,0.00514131,100.2510,1,0.005270,34.471104
2020-01-27,-0.00658971,98.7333,1,0.003816,24.801178,0.00209833,100.4608,1,0.004843,28.845609
2020-01-28,-0.00304977,98.4283,1,0.002039,18.819141,0.00302640,100.7634,1,0.003821,28.264992
2020-01-29,-0.00726910,97.7014,1,0.003523,18.621524,0.00325196,101.0886,1,0.003518,26.938572
2020-01-30,0.00208582,97.9100,1,0.003634,22.383847,-0.00029089,101.0595,1,0.003902,30.054954
2020-01-31,-0.00789878,97.1201,1,0.002912,18.414080,0.00308354,101.3679,1,0.005078,30.334929
2020-02-03,-0.01512326,95.6078,1,0.004051,27.890788,0.00904757,102.2727,1,0.004372,31.835514
2020-02-04,0.01017331,96.6251,1,0.002112,20.910438,-0.00798592,101.4741,1,0.003178,28.667338
2020-02-05,0.02259017,98.8841,1,0.002598,18.644055,-0.01282308,100.1918,1,0.004632,36.140636
2020-02-06,-0.00774852,98.1093,1,0.003035,24.366707,-0.00018287,100.1735,1,0.004298,34.606960
