date,n_members,dispersion,ensemble_rank_ic,mean_member_rank_ic
2020-01-02,64,0.814417,0.193277,0.181655
2020-01-03,64,0.750607,0.149676,0.146626
2020-01-06,64,0.754266,0.109820,0.108193
2020-01-07,64,0.738821,-0.287642,-0.247414
2020-01-08,64,0.774839,0.172533,0.166152
2020-01-09,64,0.719756,-0.144733,-0.125127
2020-01-10,64,0.685183,0.075150,0.061409
2020-01-13,64,0.680339,-0.003890,-0.009695
2020-01-14,64,0.674774,0.115729,0.095504
2020-01-15,64,0.660647,-0.385834,-0.320003
2020-01-16,64,0.664903,0.145934,0.139751
2020-01-17,64,0.595807,0.185743,0.135643
2020-01-21,64,0.588259,-0.251861,-0.197637
2020-01-22,64,0.631641,-0.070348,-0.056499
2020-01-23,64,0.636319,-0.112989,-0.080635
2020-01-24,64,0.634894,-0.324946,-0.253133
2020-01-27,64,0.654046,-0.215366,-0.171666
2020-01-28,64,0.664233,0.044418,0.032389
2020-01-29,64,0.603463,-0.303249,-0.250602
2020-01-30,64,0.666600,-0.011477,-0.007485
2020-01-31,64,0.624333,-0.174070,-0.129142
2020-02-03,64,0.730352,-0.179256,-0.155720
2020-02-04,64,0.655193,0.175126,0.143252
2020-02-05,64,0.620787,0.604096,0.484352
2020-02-06,64,0.574361,-0.272605,-0.197458
2020-02-07,64,0.738474,-0.286435,-0.231586
2020-02-10,64,0.766755,-0.158511,-0.142679
2020-02-11,64,0.754887,0.310156,0.280017
2020-02-12,64,0.668477,0.392903,0.330600
2020-02-13,64,0.667176,-0.225552,-0.190095
2020-02-14,64,0.738024,-0.312365,-0.275182
2020-02-18,64,0.721223,-0.083601,-0.066882
2020-02-19,64,0.696817,0.098583,0.058130
2020-02-20,64,0.678159,0.202881,0.179269
2020-02-21,64,0.627934,-0.420696,-0.300183
2020-02-24,64,0.730165,-0.259736,-0.232762
2020-02-25,64,0.632986,-0.520576,-0.405306
2020-02-26,64,0.635906,-0.502617,-0.406531
2020-02-27,64,0.657936,0.291044,0.228444
2020-02-28,64,0.536981,0.557036,0.413644
