date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2020-01-02,0.00088617,100.0886,1,0.004313,20.000000,-0.00228509,99.7715,1,0.003485,20.000000
2020-01-03,0.00129172,100.2178,1,0.003602,20.000000,-0.00047261,99.7242,1,0.003478,20.000000
2020-01-06,0.00060870,100.2787,1,0.003356,20.000000,0.00124717,99.8489,1,0.003812,20.000000
2020-01-07,-0.00034217,100.2444,1,0.002889,20.000000,-0.00012585,99.8364,1,0.003703,20.000000
2020-01-08,-0.00271437,99.9730,1,0.003266,20.000000,-0.00121877,99.7145,1,0.003207,20.000000
2020-01-09,-0.00128244,99.8448,1,0.003758,20.000000,-0.00179637,99.5348,1,0.004446,20.000000
2020-01-10,-0.00324724,99.5200,1,0.003162,20.000000,0.00156286,99.6911,1,0.003104,20.000000
2020-01-13,-0.00144528,99.3755,1,0.003623,20.000000,0.00021506,99.7126,1,0.003951,20.000000
2020-01-14,0.00234982,99.6105,1,0.003340,20.000000,0.00090260,99.8029,1,0.002632,20.000000
2020-01-15,-0.00139328,99.4712,1,0.002758,20.000000,0.00188840,99.9917,1,0.002740,20.000000
2020-01-16,0.00008070,99.4792,1,0.003592,26.513843,-0.00144567,99.8472,1,0.004432,32.204987
2020-01-17,-0.00074281,99.4050,1,0.003113,22.712693,-0.00080980,99.7662,1,0.005182,36.559228
2020-01-21,-0.01005473,98.3995,1,0.005413,30.582274,0.00401857,100.1680,1,0.005943,36.516538
2020-01-22,-0.00282758,98.1167,1,0.005139,32.358098,0.00265021,100.4331,1,0.004878,28.086742
2020-01-23,-0.00109930,98.0068,1,0.004202,26.588952,0.00253492,100.6866,1,0.004606,32.677715
2020-01-24,-0.01452790,96.5540,1,0.003311,24.654313,0.00783201,101.4698,1,0.005874,34.629100
2020-01-27,-0.00404006,96.1500,1,0.004168,28.561891,0.00282657,101.7524,1,0.005247,28.509237
2020-01-28,0.00234466,96.3845,1,0.004331,28.299251,-0.00040791,101.7116,1,0.004995,25.745833
2020-01-29,-0.01389535,94.9949,1,0.003618,32.317361,0.00468281,102.1799,1,0.004860,31.591041
2020-01-30,-0.00030302,94.9646,1,0.004466,26.455917,-0.00106242,102.0737,1,0.006927,33.494531
2020-01-31,-0.00457402,94.5072,1,0.005016,25.967619,0.00223854,102.2975,1,0.005762,29.395139
2020-02-03,-0.00137232,94.3700,1,0.003056,22.494085,0.00058256,102.3558,1,0.004483,35.348689
2020-02-04,0.00298575,94.6686,1,0.003210,28.156023,-0.00628273,101.7275,1,0.003961,29.606697
2020-02-05,0.01791184,96.4597,1,0.005288,26.420630,-0.00882222,100.8453,1,0.006181,33.938798
2020-02-06,-0.00868954,95.5908,1,0.005069,27.865866,0.00255748,101.1010,1,0.006478,32.082094
2020-02-07,-0.01234016,94.3568,1,0.003775,26.107813,0.00608776,101.7098,1,0.003691,28.070048
2020-02-10,-0.00841390,93.5154,1,0.005411,31.730581,0.00285658,101.9955,1,0.004056,28.182128
2020-02-11,0.00933202,94.4486,1,0.007028,34.369094,-0.00707436,101.2880,1,0.007869,38.349074
2020-02-12,0.00526374,94.9750,1,0.005669,36.029053,0.00094422,101.3825,1,0.004451,32.418449
2020-02-13,-0.00175772,94.7992,1,0.006605,32.307430,-0.00907705,100.4747,1,0.005666,30.398528
2020-02-14,-0.00401489,94.3977,1,0.006728,32.665394,-0.00071047,100.4037,1,0.006207,30.770770
2020-02-18,0.00475027,94.8727,1,0.005298,29.085754,-0.00408744,99.9950,1,0.006752,34.873940
2020-02-19,0.00191196,95.0639,1,0.007278,34.759259,0.00063396,100.0584,1,0.006090,34.608160
2020-02-20,0.00293674,95.3576,1,0.005469,32.622216,-0.00307980,99.7504,1,0.006535,30.521839
2020-02-21,-0.00172036,95.1856,1,0.007207,35.780992,-0.00147579,99.6028,1,0.007525,28.212037
2020-02-24,-0.00124799,95.0608,1,0.005103,32.155372,-0.00122178,99.4806,1,0.005198,32.147775
2020-02-25,-0.00264588,94.7962,1,0.004670,34.019220,0.00237592,99.7182,1,0.004187,31.748367
2020-02-26,-0.00015130,94.7810,1,0.006587,29.119342,0.00281178,99.9994,1,0.006142,29.238514
2020-02-27,0.00249690,95.0307,1,0.005271,30.988408,-0.00112324,99.8871,1,0.005798,29.383850
2020-02-28,0.00609636,95.6404,1,0.005869,30.352740,-0.01001037,98.8860,1,0.006385,28.736467
2020-03-02,-0.00254452,95.3859,1,0.011601,28.540311,0.00166940,99.0530,1,0.011361,28.511612
2020-03-03,-0.00387995,94.9979,1,0.006398,29.372656,0.00451668,99.5046,1,0.005998,29.580581
2020-03-04,-0.00010166,94.9878,1,0.008204,29.102097,-0.00032843,99.4718,1,0.010045,28.887753
2020-03-05,-0.00566967,94.4208,1,0.005455,27.422261,0.00783153,100.2549,1,0.007017,32.988187
2020-03-06,0.00218686,94.6395,1,0.004685,29.333928,0.00521931,100.7769,1,0.005680,30.395656
2020-03-09,-0.01884098,92.7554,1,0.008046,30.805904,0.03595841,104.3727,1,0.007223,31.069754
2020-03-10,0.01810044,94.5654,1,0.005939,24.328699,-0.02262053,102.1107,1,0.006647,23.926751
2020-03-11,0.00181224,94.7466,1,0.007064,34.916206,0.00572225,102.6829,1,0.007533,35.204585
2020-03-12,0.00555361,95.3020,1,0.006316,28.722674,0.02551172,105.2341,1,0.007810,24.579463
2020-03-13,0.02546676,97.8487,1,0.009111,28.632988,0.00697338,105.9314,1,0.007930,30.159412
2020-03-16,-0.01733125,96.1156,1,0.011637,30.964195,0.03316816,109.2482,1,0.015318,31.716186
2020-03-17,0.01002722,97.1183,1,0.004986,20.028508,0.03409827,112.6580,1,0.007550,25.518851
2020-03-18,0.00301335,97.4196,1,0.016873,28.490131,0.02974675,115.6327,1,0.013824,30.365118
2020-03-19,-0.00131189,97.2884,1,0.020455,30.790083,-0.07093888,108.5388,1,0.016424,29.716632
2020-03-20,0.01825862,99.1143,1,0.010753,28.168078,-0.01483860,107.0550,1,0.018135,33.245591
2020-03-23,-0.01341359,97.7729,1,0.012311,32.355667,-0.00385604,106.6694,1,0.009028,28.579301
2020-03-24,0.01432631,99.2056,1,0.014210,25.942158,-0.03090946,103.5784,1,0.012859,28.265959
2020-03-25,0.00556830,99.7624,1,0.010452,31.456012,-0.01634518,101.9439,1,0.011484,30.004434
2020-03-26,-0.00377861,99.3845,1,0.018070,32.100189,-0.00686070,101.2578,1,0.016201,34.034688
2020-03-27,0.00547247,99.9318,1,0.026192,35.557438,-0.00652364,100.6055,1,0.022341,35.339210
2020-03-30,0.00160048,100.0918,1,0.020939,31.133440,-0.00341132,100.2643,1,0.024701,36.562463
2020-03-31,-0.00912203,99.1796,1,0.011963,35.632887,0.00389986,100.6543,1,0.003560,17.903717
2020-04-01,0.00772519,99.9521,1,0.015766,28.580896,-0.00017285,100.6370,1,0.014656,32.851701
2020-04-02,-0.00029355,99.9228,1,0.012103,33.286306,0.00276638,100.9137,1,0.011988,31.454884
2020-04-03,0.00679495,100.6023,1,0.013336,30.813248,0.00170347,101.0840,1,0.018697,37.216565
2020-04-06,-0.00547804,100.0545,1,0.012515,33.494778,-0.00790412,100.2936,1,0.011762,37.410790
2020-04-07,-0.00762543,99.2919,1,0.022478,38.059301,-0.00893839,99.3998,1,0.012519,35.551412
2020-04-08,-0.00024932,99.2670,1,0.014752,33.723976,-0.00467624,98.9321,1,0.007675,31.931382
2020-04-09,-0.00526162,98.7408,1,0.009988,34.392122,-0.01363017,97.5691,1,0.007549,30.712418
2020-04-13,0.00023391,98.7642,1,0.007314,29.936450,0.01103738,98.6729,1,0.014106,31.618778
2020-04-14,-0.00189248,98.5750,1,0.012889,31.552625,0.00218849,98.8917,1,0.010333,29.603614
2020-04-15,0.00829830,99.4048,1,0.006690,27.884581,0.00520974,99.4127,1,0.008348,29.425071
2020-04-16,0.01138994,100.5438,1,0.014970,33.055794,0.00697884,100.1106,1,0.009331,25.636079
2020-04-17,-0.00834473,99.7093,1,0.005658,32.795094,-0.00705011,99.4056,1,0.003578,24.704644
2020-04-20,-0.00978226,98.7311,1,0.009376,36.685562,0.00104314,99.5099,1,0.010155,39.358086
2020-04-21,-0.00292266,98.4388,1,0.006863,35.788245,0.00185901,99.6958,1,0.008275,32.147289
2020-04-22,-0.00303006,98.1358,1,0.013100,38.878994,-0.00315598,99.3802,1,0.010639,34.792043
2020-04-23,0.00101594,98.2374,1,0.011222,32.938325,-0.00955166,98.4250,1,0.015713,38.741535
2020-04-24,-0.00327677,97.9098,1,0.008248,34.409970,0.00787966,99.2130,1,0.007136,28.396916
2020-04-27,0.00600885,98.5106,1,0.007727,33.855390,-0.00872799,98.3402,1,0.009188,37.295994
2020-04-28,0.01204520,99.7152,1,0.009346,38.788629,-0.01216708,97.1235,1,0.009083,39.191706
2020-04-29,0.01241692,100.9569,1,0.008594,30.687211,-0.00265388,96.8581,1,0.008383,37.138904
2020-04-30,0.00230416,101.1873,1,0.006363,29.733663,-0.01084441,95.7736,1,0.009745,42.729195
2020-05-01,-0.00082227,101.1050,1,0.008579,34.324224,-0.00462681,95.3110,1,0.010690,31.872778
2020-05-04,0.00290802,101.3958,1,0.005438,28.894350,0.00068839,95.3798,1,0.007187,36.363433
2020-05-05,-0.01238554,100.1573,1,0.005793,25.067834,-0.00068362,95.3114,1,0.007725,30.375656
2020-05-06,-0.00754230,99.4031,1,0.008508,37.513118,0.00899368,96.2108,1,0.008532,37.188204
2020-05-07,0.00719189,100.1222,1,0.005809,29.175657,-0.00460316,95.7505,1,0.004801,19.319991
2020-05-08,0.01278419,101.4007,1,0.007254,33.065741,-0.00685517,95.0650,1,0.011011,35.047721
2020-05-11,-0.01733817,99.6668,1,0.007783,31.707135,-0.00230124,94.8348,1,0.010644,35.508504
2020-05-12,-0.00944136,98.7227,1,0.005154,28.709345,0.00332674,95.1675,1,0.009434,39.985205
2020-05-13,-0.01482019,97.2407,1,0.009934,37.410205,0.00651552,95.8191,1,0.009914,35.673375
2020-05-14,0.00455053,97.6957,1,0.005949,29.549060,-0.00434822,95.3842,1,0.007699,38.253859
2020-05-15,-0.00651297,97.0445,1,0.006398,35.598643,0.00447071,95.8313,1,0.008075,35.206974
2020-05-18,0.03857591,100.9020,1,0.009946,35.931164,-0.02011536,93.8198,1,0.005023,28.097453
2020-05-19,-0.00447988,100.4541,1,0.004938,28.587645,0.00236911,94.0567,1,0.009753,36.610797
2020-05-20,0.01592905,102.0470,1,0.007399,28.270535,-0.00774636,93.2821,1,0.007070,30.446809
2020-05-21,0.01570598,103.6176,1,0.008075,38.913633,-0.00285133,92.9969,1,0.008775,38.690439
2020-05-22,-0.00615744,103.0018,1,0.007383,32.559654,-0.00050639,92.9463,1,0.006199,30.228292
2020-05-26,0.02734730,105.7365,1,0.007621,32.090355,-0.00649958,92.2963,1,0.007303,38.165223
2020-05-27,0.01307728,107.0443,1,0.007929,35.569113,0.00135015,92.4313,1,0.010148,40.799009
2020-05-28,-0.02504452,104.5398,1,0.006254,32.276653,-0.01646465,90.7849,1,0.008325,36.486810
2020-05-29,-0.00478492,104.0613,1,0.009359,37.115372,-0.01321911,89.4630,1,0.008994,28.605336
2020-06-01,-0.00215126,103.8462,1,0.008892,34.545976,0.00227317,89.6903,1,0.010591,38.160047
2020-06-02,0.00158334,104.0045,1,0.005279,22.551184,0.00284366,89.9747,1,0.007353,32.154453
2020-06-03,0.00906127,104.9107,1,0.005219,29.785011,0.00835155,90.8098,1,0.006814,33.899981
2020-06-04,0.00305171,105.2158,1,0.007041,34.750158,0.01214105,92.0239,1,0.007057,38.754559
2020-06-05,0.01277003,106.4928,1,0.004624,23.783588,0.00922086,92.9460,1,0.004496,22.304850
2020-06-08,0.01116969,107.6098,1,0.010394,36.727217,0.01005898,93.9519,1,0.007802,33.137093
2020-06-09,0.00149418,107.7592,1,0.007047,39.387912,-0.01548588,92.4033,1,0.006420,35.947652
2020-06-10,0.00077243,107.8365,1,0.008864,33.878285,-0.01317765,91.0855,1,0.007616,39.794434
2020-06-11,0.01392576,109.2290,1,0.007620,32.722660,-0.00233757,90.8518,1,0.007718,34.993091
2020-06-12,-0.01253338,107.9757,1,0.007863,32.104910,0.00200286,91.0521,1,0.004814,18.512784
2020-06-15,-0.00871323,107.1044,1,0.008030,32.349484,-0.00080128,90.9719,1,0.010825,38.281725
2020-06-16,-0.00595529,106.5089,1,0.005616,33.990734,0.00078658,91.0506,1,0.007134,30.482152
2020-06-17,0.00538735,107.0476,1,0.009761,28.408703,-0.00274462,90.7761,1,0.011164,28.418014
2020-06-18,-0.00136365,106.9112,1,0.004679,24.028297,0.00026265,90.8024,1,0.011647,39.467510
2020-06-19,0.01081670,107.9929,1,0.007054,26.068456,0.00555185,91.3576,1,0.010121,33.519193
2020-06-22,-0.00194746,107.7981,1,0.008742,34.953533,0.00079339,91.4369,1,0.007943,33.556298
2020-06-23,-0.00233859,107.5643,1,0.007777,34.598773,-0.00137050,91.2999,1,0.008554,32.858193
2020-06-24,0.00335779,107.9001,1,0.006548,35.404308,0.00241929,91.5418,1,0.008149,37.175766
2020-06-25,-0.00602006,107.2981,1,0.005447,25.669946,0.00547111,92.0889,1,0.006876,23.789890
2020-06-26,0.00441373,107.7394,1,0.009308,24.266887,0.00093170,92.1821,1,0.009834,29.929738
2020-06-29,-0.00761644,106.9778,1,0.010545,33.414169,-0.01029055,91.1530,1,0.010343,37.698673
2020-06-30,0.00312726,107.2905,1,0.009971,33.789757,-0.00289336,90.8637,1,0.009399,31.522842
2020-07-01,-0.00096052,107.1945,1,0.009482,32.157504,0.00329701,91.1934,1,0.010546,37.473670
2020-07-02,0.00568883,107.7633,1,0.003974,22.038006,-0.00498185,90.6952,1,0.007305,30.319572
2020-07-06,0.00336180,108.0995,1,0.007822,30.179879,-0.00258064,90.4372,1,0.009468,27.975308
2020-07-07,0.00280185,108.3797,1,0.008624,30.485836,0.00417709,90.8549,1,0.008534,34.154854
2020-07-08,-0.00228192,108.1515,1,0.006774,26.218241,-0.00057790,90.7971,1,0.010144,30.176868
2020-07-09,0.00142883,108.2944,1,0.011182,34.005974,0.00751867,91.5489,1,0.007791,30.149146
2020-07-10,0.00188046,108.4824,1,0.007843,36.130455,-0.00965102,90.5838,1,0.005496,20.721127
2020-07-13,-0.00424946,108.0575,1,0.008160,34.515641,-0.00182483,90.4014,1,0.006126,30.818140
2020-07-14,0.00148406,108.2059,1,0.008903,34.699438,0.00391902,90.7933,1,0.007173,30.864336
2020-07-15,0.00863090,109.0690,1,0.004634,30.354369,-0.00889463,89.9038,1,0.006221,36.622317
2020-07-16,-0.00207513,108.8615,1,0.003905,22.547102,0.00327596,90.2314,1,0.006065,34.822626
2020-07-17,-0.01293372,107.5681,1,0.005906,26.851699,0.00019795,90.2512,1,0.008006,38.927870
2020-07-20,-0.00585828,106.9823,1,0.005565,32.956538,0.00703690,90.9549,1,0.008171,34.880398
2020-07-21,0.01205495,108.1878,1,0.006484,26.474839,-0.00358362,90.5965,1,0.004396,24.819035
2020-07-22,-0.00124062,108.0637,1,0.007080,27.357282,0.00147361,90.7439,1,0.006144,31.105550
2020-07-23,0.01182593,109.2463,1,0.008343,32.887412,0.00118805,90.8627,1,0.006185,31.158331
2020-07-24,-0.00236109,109.0102,1,0.008449,21.509311,0.00545358,91.4080,1,0.008176,37.652845
2020-07-27,-0.01545399,107.4648,1,0.006352,29.055905,0.00618780,92.0268,1,0.010927,31.365447
2020-07-28,0.01339035,108.8038,1,0.004018,15.662607,-0.01194672,90.8321,1,0.007086,33.085525
2020-07-29,0.00544505,109.3483,1,0.008444,24.985045,0.00462361,91.2945,1,0.010849,38.412642
2020-07-30,-0.00851262,108.4971,1,0.005001,22.806938,-0.00038028,91.2565,1,0.008940,32.258402
2020-07-31,-0.00529136,107.9679,1,0.007169,26.630415,0.00154598,91.4111,1,0.013477,30.265069
2020-08-03,0.00220391,108.1883,1,0.004527,22.586465,0.00544079,91.9552,1,0.005923,28.685672
2020-08-04,0.00763978,108.9523,1,0.006466,24.831662,-0.00080077,91.8751,1,0.005487,22.459233
2020-08-05,0.01268403,110.2207,1,0.008373,26.735777,-0.00302129,91.5729,1,0.005711,32.593025
2020-08-06,0.00013008,110.2337,1,0.007559,26.849563,-0.00075852,91.4971,1,0.008977,36.639378
2020-08-07,0.01908526,112.1423,1,0.007558,34.527558,0.00264116,91.7612,1,0.007047,30.725379
2020-08-10,0.01397617,113.5399,1,0.008488,35.097738,-0.00386309,91.3749,1,0.009216,33.043644
2020-08-11,0.01248572,114.7884,1,0.005745,25.145225,-0.00501170,90.8737,1,0.007345,35.238281
2020-08-12,-0.00332303,114.4561,1,0.008041,41.064945,-0.00223471,90.6503,1,0.006201,31.297504
2020-08-13,-0.00299583,114.1566,1,0.009346,33.020848,-0.00598790,90.0515,1,0.006463,26.593474
2020-08-14,0.00266054,114.4226,1,0.005779,31.029011,0.00284837,90.3363,1,0.007087,34.792415
2020-08-17,0.00132198,114.5548,1,0.004973,28.771976,-0.00265011,90.0713,1,0.006291,34.706708
2020-08-18,-0.00424502,114.1303,1,0.009237,30.981200,-0.00272813,89.7985,1,0.008505,34.495242
2020-08-19,0.00207343,114.3376,1,0.006523,30.485016,-0.00291488,89.5070,1,0.007816,34.573371
2020-08-20,0.00256468,114.5941,1,0.006982,26.432818,-0.00008515,89.4985,1,0.007914,34.384340
2020-08-21,-0.00631648,113.9625,1,0.007185,34.184305,0.00082878,89.5814,1,0.006905,36.061591
2020-08-24,-0.00354067,113.6084,1,0.006787,30.204832,-0.00426354,89.1550,1,0.006527,28.065823
2020-08-25,0.00078445,113.6868,1,0.005336,24.419178,0.00114678,89.2697,1,0.006263,22.245489
2020-08-26,0.00363848,114.0507,1,0.004018,22.244119,0.00437359,89.7070,1,0.005033,28.193039
2020-08-27,-0.00219738,113.8310,1,0.006155,32.022293,-0.00494645,89.2124,1,0.006633,28.007308
2020-08-28,-0.00182533,113.6484,1,0.006349,28.273898,-0.00031755,89.1806,1,0.010435,38.157527
2020-08-31,0.01353016,115.0014,1,0.006328,30.137903,-0.00010395,89.1702,1,0.006648,31.882466
2020-09-01,-0.00555127,114.4463,1,0.010091,36.007618,0.00232736,89.4030,1,0.007083,26.147610
2020-09-02,0.00308169,114.7545,1,0.008011,28.565991,0.00192388,89.5954,1,0.008186,32.333617
2020-09-03,-0.00824821,113.9297,1,0.004885,26.669258,-0.00140710,89.4547,1,0.005617,28.763484
2020-09-04,-0.01285471,112.6442,1,0.004225,24.684636,0.00269643,89.7243,1,0.006819,28.305484
2020-09-08,0.00211254,112.8554,1,0.004911,26.120506,-0.00156722,89.5676,1,0.006871,32.178114
2020-09-09,0.00795371,113.6508,1,0.006581,22.204261,-0.00435340,89.1322,1,0.010888,32.160861
2020-09-10,-0.00462722,113.1881,1,0.006603,26.240745,0.00077933,89.2102,1,0.006678,30.201496
2020-09-11,-0.00207593,112.9805,1,0.008946,31.907398,0.00006423,89.2166,1,0.010134,34.086780
2020-09-14,-0.00710789,112.2697,1,0.009517,31.762655,0.00288811,89.5054,1,0.011529,37.731403
2020-09-15,0.00310801,112.5805,1,0.006142,32.043810,-0.00195745,89.3097,1,0.004295,30.344850
2020-09-16,-0.00548017,112.0325,1,0.006289,32.210109,0.00259729,89.5694,1,0.008259,30.323606
2020-09-17,0.01072352,113.1048,1,0.005542,20.882974,-0.00202705,89.3667,1,0.006617,26.287299
2020-09-18,-0.00277649,112.8272,1,0.004520,22.193763,-0.00507876,88.8588,1,0.005649,31.902472
2020-09-21,0.00070734,112.8979,1,0.007029,32.290432,-0.00331177,88.5276,1,0.008398,37.986593
2020-09-22,-0.00597604,112.3003,1,0.005967,24.198301,-0.00019815,88.5078,1,0.008742,39.144011
2020-09-23,0.00588815,112.8891,1,0.004848,28.411715,-0.00186163,88.3217,1,0.005963,26.601125
2020-09-24,0.00731103,113.6202,1,0.004239,18.335905,0.00011209,88.3329,1,0.006585,29.666963
2020-09-25,-0.00437379,113.1829,1,0.003721,18.392249,-0.00508666,87.8242,1,0.005725,35.486046
2020-09-28,0.00137634,113.3205,1,0.005007,22.293167,-0.00233805,87.5904,1,0.007521,37.826691
2020-09-29,-0.00728769,112.5917,1,0.006008,26.282242,0.00396409,87.9868,1,0.009563,33.730492
2020-09-30,-0.00057148,112.5346,1,0.004718,30.036774,0.00090323,88.0771,1,0.009338,31.795355
2020-10-01,0.00528090,113.0627,1,0.008482,27.873930,-0.00277978,87.7991,1,0.006327,23.701644
2020-10-02,0.00913236,113.9759,1,0.004650,25.969868,-0.00433833,87.3653,1,0.005078,33.647220
2020-10-05,0.01314001,115.2899,1,0.004900,20.509309,-0.00296788,87.0685,1,0.007381,35.822134
2020-10-06,-0.00341545,114.9484,1,0.006124,23.204003,-0.00161194,86.9073,1,0.005355,26.925548
2020-10-07,0.00634144,115.5825,1,0.007432,26.938956,0.00059752,86.9671,1,0.010100,32.976174
2020-10-08,0.00554518,116.1370,1,0.004154,25.439147,0.00230256,87.1973,1,0.005630,31.294453
2020-10-09,-0.01057708,115.0793,1,0.005819,23.893477,-0.00502337,86.6950,1,0.007287,31.932221
2020-10-12,0.00898808,115.9781,1,0.005209,29.343761,-0.00012177,86.6828,1,0.006227,33.617420
2020-10-13,-0.00243582,115.7345,1,0.005878,29.195986,-0.00087896,86.5949,1,0.006989,29.415436
2020-10-14,0.00143396,115.8779,1,0.006119,29.735290,-0.00054804,86.5401,1,0.006827,29.703058
2020-10-15,0.00411370,116.2893,1,0.006875,27.303839,0.00228069,86.7682,1,0.008048,33.242696
2020-10-16,-0.01060022,115.2293,1,0.004687,25.221143,-0.00086224,86.6820,1,0.007595,35.645634
2020-10-19,0.00182676,115.4120,1,0.003356,19.288526,0.00403043,87.0850,1,0.006311,34.901320
2020-10-20,-0.00071584,115.3404,1,0.008143,30.844451,-0.00338346,86.7467,1,0.006234,32.287976
2020-10-21,0.00610888,115.9513,1,0.006619,26.730191,0.00037421,86.7841,1,0.009909,34.647425
2020-10-22,0.00303126,116.2544,1,0.010495,34.199213,0.00453811,87.2379,1,0.011050,37.979232
2020-10-23,0.00049233,116.3036,1,0.004743,20.570205,-0.00316706,86.9212,1,0.007850,28.301669
2020-10-26,0.00767687,117.0713,1,0.008313,32.470645,0.00218428,87.1396,1,0.007591,36.309449
2020-10-27,-0.00004886,117.0664,1,0.010672,33.946866,0.00474291,87.6139,1,0.008712,32.143275
2020-10-28,-0.00135796,116.9306,1,0.008743,28.280805,0.00032061,87.6460,1,0.004494,24.060504
2020-10-29,-0.00714553,116.2161,1,0.012427,31.836225,-0.00441277,87.2047,1,0.012291,31.482550
2020-10-30,-0.00305688,115.9104,1,0.007757,31.554899,-0.00103721,87.1010,1,0.010020,37.265821
2020-11-02,0.00186659,116.0971,1,0.005183,23.770733,-0.00049259,87.0517,1,0.009227,29.563666
2020-11-03,0.00457242,116.5543,1,0.007893,26.195930,-0.00067817,86.9839,1,0.006632,33.979307
2020-11-04,-0.00256885,116.2974,1,0.010504,30.440721,-0.00693657,86.2902,1,0.010737,34.507351
2020-11-05,-0.00727572,115.5698,1,0.010584,26.556539,0.00108154,86.3984,1,0.012529,32.208781
