date,n_members,dispersion,ensemble_rank_ic,mean_member_rank_ic
2020-01-02,8,0.105665,0.020989,-0.027917
2020-01-03,8,0.067505,-0.472939,-0.195749
2020-01-06,8,0.060929,0.309734,0.159142
2020-01-07,8,0.075655,0.174448,0.054499
2020-01-08,8,0.066427,-0.024493,-0.016770
2020-01-09,8,0.121986,-0.220883,-0.094682
2020-01-10,8,0.126150,-0.288747,-0.133685
2020-01-13,8,0.081170,-0.135049,-0.030024
2020-01-14,8,0.189388,0.138242,0.092233
2020-01-15,8,0.115740,0.171301,0.079100
2020-01-16,8,0.151008,0.317094,0.127343
2020-01-17,8,0.196372,-0.253530,-0.134288
2020-01-21,8,0.072628,0.062535,-0.005665
2020-01-22,8,0.170726,0.281385,0.206826
2020-01-23,8,0.095314,0.207180,0.078280
2020-01-24,8,0.102103,-0.159670,-0.077227
2020-01-27,8,0.096580,-0.175204,-0.086759
2020-01-28,8,0.119883,0.132414,0.071357
2020-01-29,8,0.287165,0.010037,0.010252
2020-01-30,8,0.164212,-0.174567,-0.074250
2020-01-31,8,0.003748,-0.346454,-0.145272
2020-02-03,8,0.001276,0.118659,0.056650
2020-02-04,8,0.062683,0.474642,0.222446
2020-02-05,8,0.053759,0.221577,0.065483
2020-02-06,8,-0.006745,-0.198286,-0.085563
2020-02-07,8,0.058487,-0.258543,-0.111248
2020-02-10,8,0.035877,-0.021564,-0.002329
2020-02-11,8,0.123523,0.373385,0.167131
2020-02-12,8,0.100628,0.295683,0.131176
2020-02-13,8,0.018141,-0.390655,-0.152425
2020-02-14,8,0.014600,-0.215238,-0.089867
2020-02-18,8,0.007539,-0.020941,0.010991
2020-02-19,8,0.057935,0.300041,0.125534
2020-02-20,8,0.081334,-0.143262,-0.069196
2020-02-21,8,0.010451,-0.165258,-0.051285
2020-02-24,8,0.042906,-0.481416,-0.179811
2020-02-25,8,-0.015806,-0.085292,-0.044640
2020-02-26,8,0.018937,-0.149302,-0.061453
2020-02-27,8,0.027527,0.060803,0.015975
2020-02-28,8,0.030809,0.435891,0.167597
2020-03-02,8,0.065958,-0.025596,0.001769
2020-03-03,8,0.061815,-0.227804,-0.108138
2020-03-04,8,0.094006,-0.044564,-0.030183
2020-03-05,8,0.098945,-0.001777,-0.020200
2020-03-06,8,0.110299,0.008164,-0.009687
2020-03-09,8,0.095637,-0.294702,-0.047779
2020-03-10,8,0.583571,-0.520950,-0.473633
2020-03-11,8,-0.026658,-0.308202,-0.100072
2020-03-12,8,0.107477,0.096048,0.021261
2020-03-13,8,0.699695,-0.320703,-0.291097
2020-03-16,8,0.070837,-0.204533,-0.106141
2020-03-17,8,0.259508,-0.084184,-0.036379
2020-03-18,8,0.186197,-0.118334,-0.059909
2020-03-19,8,0.330204,-0.303873,-0.201739
2020-03-20,8,0.039215,0.339944,0.126777
2020-03-23,8,0.071748,-0.022283,0.000180
2020-03-24,8,-0.019300,0.093326,0.040228
2020-03-25,8,0.070368,-0.209490,-0.092455
2020-03-26,8,0.003653,0.175911,0.064238
2020-03-27,8,0.119434,-0.111370,-0.064526
2020-03-30,8,-0.032729,0.105192,0.027575
2020-03-31,8,-0.037081,0.091918,0.028391
2020-04-01,8,0.036030,-0.138960,-0.053061
2020-04-02,8,-0.028467,0.032901,0.007095
2020-04-03,8,0.027304,-0.059746,-0.031050
2020-04-06,8,0.067474,0.105281,0.048098
2020-04-07,8,-0.004561,0.088095,0.032126
2020-04-08,8,0.066825,0.006052,-0.034503
2020-04-09,8,-0.015079,0.128882,0.040529
2020-04-13,8,0.035872,0.129875,0.073782
2020-04-14,8,-0.004365,0.028532,0.006826
2020-04-15,8,0.032294,-0.268232,-0.122044
2020-04-16,8,-0.016137,-0.371199,-0.142171
2020-04-17,8,0.070289,0.453426,0.210180
