date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2020-01-02,0.00092892,100.0929,1,0.003101,20.000000,-0.00119986,99.8800,1,0.002687,20.000000
2020-01-03,0.00008981,100.1019,1,0.002622,20.000000,0.00055209,99.9352,1,0.002905,20.000000
2020-01-06,-0.00089775,100.0121,1,0.003621,20.000000,0.00138238,100.0735,1,0.004831,20.000000
2020-01-07,0.00192694,100.2048,1,0.003172,20.000000,0.00062820,100.1363,1,0.003019,20.000000
2020-01-08,0.00318945,100.5237,1,0.003689,20.000000,-0.00219633,99.9166,1,0.003990,20.000000
2020-01-09,-0.00104560,100.4192,1,0.002902,20.000000,0.00286474,100.2031,1,0.002694,20.000000
2020-01-10,0.00218238,100.6374,1,0.002632,20.000000,0.00052722,100.2558,1,0.002855,20.000000
2020-01-13,0.00167852,100.8053,1,0.003163,20.000000,-0.00050627,100.2052,1,0.002523,20.000000
2020-01-14,0.00112515,100.9178,1,0.003084,20.000000,-0.00269955,99.9353,1,0.002834,20.000000
2020-01-15,-0.00437867,100.4799,1,0.002106,20.000000,0.00280036,100.2153,1,0.002558,20.000000
2020-01-16,-0.00083784,100.3961,1,0.004698,30.165029,-0.00182467,100.0328,1,0.004786,36.304230
2020-01-17,0.00388889,100.7850,1,0.004024,26.574837,-0.00503449,99.5294,1,0.003741,26.573185
2020-01-21,-0.00455575,100.3294,1,0.004298,30.308728,0.00322736,99.8521,1,0.005138,36.552909
2020-01-22,0.00088073,100.4175,1,0.003320,26.430611,-0.00129058,99.7231,1,0.004612,26.583514
2020-01-23,-0.00218684,100.1988,1,0.002611,22.466654,0.00013774,99.7368,1,0.004592,32.618638
2020-01-24,-0.00567700,99.6311,1,0.003070,18.522417,0.00514131,100.2510,1,0.005270,34.471104
2020-01-27,-0.00711862,98.9193,1,0.003721,22.868043,0.00209833,100.4608,1,0.004843,28.845609
2020-01-28,-0.00375718,98.5436,1,0.001960,18.661830,0.00302640,100.7634,1,0.003821,28.264992
2020-01-29,-0.00670646,97.8729,1,0.002169,16.439696,0.00325196,101.0886,1,0.003518,26.938572
2020-01-30,0.00293635,98.1665,1,0.003191,22.277646,-0.00029089,101.0595,1,0.003902,30.054954
2020-01-31,-0.00805291,97.3613,1,0.003051,18.165006,0.00308354,101.3679,1,0.005078,30.334929
2020-02-03,-0.01556499,95.8048,1,0.003544,28.201554,0.00904757,102.2727,1,0.004372,31.835514
2020-02-04,0.00818293,96.6230,1,0.002427,22.687137,-0.00798592,101.4741,1,0.003178,28.667338
2020-02-05,0.02166364,98.7894,1,0.002840,20.680804,-0.01282308,100.1918,1,0.004632,36.140636
2020-02-06,-0.00789309,98.0001,1,0.003420,26.426491,-0.00018287,100.1735,1,0.004298,34.606960
2020-02-07,-0.00531234,97.4689,1,0.003419,20.426267,0.00336961,100.5104,1,0.005893,38.571401
2020-02-10,-0.00665972,96.8029,1,0.002825,18.617842,0.00108214,100.6186,1,0.004899,30.864207
2020-02-11,0.00576736,97.3796,1,0.002338,18.662993,-0.00202828,100.4158,1,0.005263,34.575581
2020-02-12,0.01223577,98.6032,1,0.002807,18.781015,-0.00497841,99.9180,1,0.004965,30.793933
2020-02-13,-0.00692994,97.9102,1,0.001893,16.610681,0.00270631,100.1886,1,0.004383,36.771373
2020-02-14,-0.00708477,97.2017,1,0.004120,18.563970,-0.00010382,100.1782,1,0.006558,26.741640
2020-02-18,-0.00358383,96.8434,1,0.003456,20.826210,-0.00037547,100.1407,1,0.004433,23.140819
2020-02-19,0.00482127,97.3255,1,0.003425,20.546848,-0.00212003,99.9287,1,0.004994,36.570072
2020-02-20,0.00556437,97.8819,1,0.002898,22.696603,-0.00217135,99.7115,1,0.005202,32.647954
2020-02-21,-0.01077102,96.8048,1,0.004376,24.198941,0.00404465,100.1160,1,0.006278,30.185472
2020-02-24,-0.01308859,95.4960,1,0.002971,26.112777,0.00614162,100.7302,1,0.003268,26.214141
2020-02-25,-0.01694227,93.8017,1,0.003127,21.866181,0.00468848,101.1990,1,0.004244,25.992259
2020-02-26,-0.01414748,92.3870,1,0.003255,19.951295,0.00646972,101.8460,1,0.004789,27.982028
2020-02-27,0.01200041,93.5870,1,0.003963,25.885375,-0.00521780,101.3242,1,0.004534,31.491980
2020-02-28,0.02484641,96.0717,1,0.005088,23.478308,-0.01525986,99.7982,1,0.005938,34.104519
