date,n_members,dispersion,ensemble_rank_ic,mean_member_rank_ic
2020-01-02,8,0.678587,0.225119,0.192521
2020-01-03,8,0.566754,0.212516,0.168319
2020-01-06,8,0.563605,0.057823,0.053914
2020-01-07,8,0.572663,-0.261965,-0.196319
2020-01-08,8,0.616683,0.135811,0.119532
2020-01-09,8,0.544891,-0.119729,-0.080288
2020-01-10,8,0.646712,0.011429,0.030840
2020-01-13,8,0.656851,0.016663,-0.006675
2020-01-14,8,0.626863,0.092686,0.103313
2020-01-15,8,0.623893,-0.335806,-0.279448
2020-01-16,8,0.606949,0.173798,0.145838
2020-01-17,8,0.576114,0.135962,0.109006
2020-01-21,8,0.529556,-0.255055,-0.184154
2020-01-22,8,0.600093,-0.049613,-0.040672
2020-01-23,8,0.588088,-0.036016,-0.023193
2020-01-24,8,0.646074,-0.312155,-0.253625
2020-01-27,8,0.475771,-0.203323,-0.127395
2020-01-28,8,0.461108,0.089519,0.079004
2020-01-29,8,0.559383,-0.260158,-0.202064
2020-01-30,8,0.474224,-0.063774,-0.037239
2020-01-31,8,0.543564,-0.146380,-0.118379
2020-02-03,8,0.742000,-0.184926,-0.177971
2020-02-04,8,0.715044,0.192475,0.160012
2020-02-05,8,0.764977,0.499256,0.458764
2020-02-06,8,0.825402,-0.317948,-0.285594
2020-02-07,8,0.815236,-0.291305,-0.268271
2020-02-10,8,0.802819,-0.116172,-0.109388
2020-02-11,8,0.765560,0.304401,0.286303
2020-02-12,8,0.773771,0.415616,0.387071
2020-02-13,8,0.796851,-0.231091,-0.209064
2020-02-14,8,0.784953,-0.296108,-0.275954
2020-02-18,8,0.683218,-0.071315,-0.056824
2020-02-19,8,0.667803,0.088115,0.048632
2020-02-20,8,0.587170,0.241783,0.204578
2020-02-21,8,0.502159,-0.397167,-0.262723
2020-02-24,8,0.708676,-0.230023,-0.214827
2020-02-25,8,0.330481,-0.426383,-0.275229
2020-02-26,8,0.314175,-0.489495,-0.310606
2020-02-27,8,0.325255,0.265434,0.156098
2020-02-28,8,0.372070,0.568389,0.370280
2020-03-02,8,0.361534,-0.252839,-0.175673
2020-03-03,8,0.073384,-0.228210,-0.100432
2020-03-04,8,0.087659,-0.305937,-0.154898
2020-03-05,8,0.143289,-0.218294,-0.108920
2020-03-06,8,0.141283,-0.182840,-0.100588
2020-03-09,8,0.132289,-0.487861,-0.265810
2020-03-10,8,0.234183,0.285213,0.178920
2020-03-11,8,0.215709,-0.344226,-0.211609
2020-03-12,8,0.258391,-0.490176,-0.301333
