date,n_members,dispersion,ensemble_rank_ic,mean_member_rank_ic
2020-01-02,16,0.220872,-0.154485,-0.087280
2020-01-03,16,0.201557,-0.100322,-0.084748
2020-01-06,16,0.151442,0.089608,0.049524
2020-01-07,16,0.193454,-0.121056,-0.063397
2020-01-08,16,0.166375,-0.092249,-0.055537
2020-01-09,16,0.175430,-0.388003,-0.181440
2020-01-10,16,0.201444,-0.186996,-0.093283
2020-01-13,16,0.194196,0.105599,0.047279
2020-01-14,16,0.218576,0.214325,0.123673
2020-01-15,16,0.191713,0.107139,0.060594
2020-01-16,16,0.163174,0.393507,0.184997
2020-01-17,16,0.197872,-0.296869,-0.150807
2020-01-21,16,0.207423,-0.122359,-0.046560
2020-01-22,16,0.233385,0.182866,0.117095
2020-01-23,16,0.193460,0.009988,-0.009289
2020-01-24,16,0.064926,-0.219490,-0.094048
2020-01-27,16,0.059660,-0.288500,-0.087063
2020-01-28,16,0.031298,0.344349,0.113522
2020-01-29,16,0.040935,0.053788,0.017143
2020-01-30,16,0.034728,-0.037794,-0.017881
2020-01-31,16,0.061964,-0.223903,-0.094379
2020-02-03,16,0.056996,0.022763,0.006883
2020-02-04,16,0.116596,0.458239,0.195114
2020-02-05,16,0.065429,0.335534,0.115564
2020-02-06,16,0.053175,-0.219223,-0.076537
2020-02-07,16,0.097035,-0.460090,-0.181329
2020-02-10,16,0.096365,0.098307,0.026104
2020-02-11,16,0.066612,0.458062,0.162812
2020-02-12,16,0.113716,0.170384,0.080633
2020-02-13,16,0.044478,-0.359275,-0.126512
2020-02-14,16,0.134887,-0.383029,-0.165523
2020-02-18,16,0.095101,-0.162757,-0.064263
2020-02-19,16,0.106064,0.429285,0.174142
2020-02-20,16,0.046918,-0.042503,-0.016537
2020-02-21,16,0.119806,-0.145941,-0.067707
2020-02-24,16,0.119673,-0.513098,-0.214298
2020-02-25,16,0.063409,-0.234585,-0.070486
2020-02-26,16,0.112098,-0.014310,-0.012608
2020-02-27,16,0.108495,0.057487,0.020096
2020-02-28,16,0.109952,0.179697,0.062118
2020-03-02,16,0.064027,0.159727,0.055238
2020-03-03,16,0.328977,-0.320223,-0.194223
2020-03-04,16,0.112927,-0.045193,-0.025004
2020-03-05,16,0.297117,-0.334478,-0.184076
2020-03-06,16,0.124629,0.009557,-0.003769
2020-03-09,16,0.151778,0.353936,0.172628
2020-03-10,16,0.227011,-0.523182,-0.272719
2020-03-11,16,0.336154,0.126594,0.078054
2020-03-12,16,0.122782,-0.169992,-0.068643
2020-03-13,16,0.108679,-0.195932,-0.063414
2020-03-16,16,0.385968,-0.016088,0.022391
2020-03-17,16,0.042696,-0.104889,-0.036030
2020-03-18,16,0.388901,-0.168988,-0.118446
2020-03-19,16,0.070212,0.115252,0.032584
2020-03-20,16,0.285519,-0.252689,-0.142482
2020-03-23,16,0.145163,0.010085,-0.010550
2020-03-24,16,0.055550,0.246410,0.081598
2020-03-25,16,0.126497,0.051241,-0.007983
2020-03-26,16,0.108394,0.076740,0.030018
2020-03-27,16,0.068693,-0.099990,-0.032830
2020-03-30,16,0.120652,-0.216486,-0.091207
2020-03-31,16,0.090586,0.323329,0.099591
2020-04-01,16,0.161904,-0.271370,-0.113196
2020-04-02,16,0.178839,-0.061994,-0.013217
2020-04-03,16,0.125190,-0.088030,-0.022926
2020-04-06,16,0.143665,0.439973,0.201818
2020-04-07,16,0.111080,0.087591,0.040826
2020-04-08,16,0.122954,0.015897,-0.009496
2020-04-09,16,0.099882,0.250811,0.112383
2020-04-13,16,0.112968,-0.378380,-0.140972
2020-04-14,16,0.156816,0.158139,0.082354
2020-04-15,16,0.224581,-0.117896,-0.053104
2020-04-16,16,0.155201,-0.093075,-0.035920
2020-04-17,16,0.168894,0.140171,0.071321
2020-04-20,16,0.214883,-0.191370,-0.088406
2020-04-21,16,0.067587,-0.010757,-0.007558
2020-04-22,16,0.118522,-0.094756,-0.035685
2020-04-23,16,0.079887,-0.145667,-0.054819
2020-04-24,16,0.132384,0.058876,0.035512
2020-04-27,16,0.124518,0.288438,0.113870
2020-04-28,16,0.069717,0.171005,0.068670
2020-04-29,16,0.166333,0.069252,0.042430
2020-04-30,16,0.074374,-0.051000,-0.015183
2020-05-01,16,0.053399,0.142195,0.051614
2020-05-04,16,0.069510,-0.302151,-0.102275
2020-05-05,16,0.128838,-0.077076,-0.039502
2020-05-06,16,0.105489,-0.185962,-0.070390
2020-05-07,16,0.132300,0.108107,0.051375
2020-05-08,16,0.153879,0.305273,0.147359
2020-05-11,16,0.180956,-0.296732,-0.143175
2020-05-12,16,0.118435,-0.445053,-0.179886
2020-05-13,16,0.122096,-0.419814,-0.178980
2020-05-14,16,0.203453,0.459566,0.212179
2020-05-15,16,0.215770,-0.254862,-0.128703
2020-05-18,16,0.131250,0.385997,0.170258
2020-05-19,16,0.102945,-0.131207,-0.042215
2020-05-20,16,0.156505,0.209773,0.118950
2020-05-21,16,0.169649,0.425471,0.215558
2020-05-22,16,0.156539,-0.331012,-0.153115
2020-05-26,16,0.117818,0.271706,0.116747
2020-05-27,16,0.141748,0.294914,0.125702
2020-05-28,16,0.122592,0.029967,0.008998
2020-05-29,16,0.081265,-0.282771,-0.097113
2020-06-01,16,0.207389,0.730377,0.364694
2020-06-02,16,0.187266,0.197805,0.102593
2020-06-03,16,0.250331,0.552234,0.291435
2020-06-04,16,0.186942,0.240749,0.094526
2020-06-05,16,0.209411,0.100324,0.065828
2020-06-08,16,0.150114,-0.107277,-0.050036
2020-06-09,16,0.119204,0.206536,0.074160
2020-06-10,16,0.220112,0.395179,0.222239
2020-06-11,16,0.233866,0.381234,0.205348
2020-06-12,16,0.164366,-0.345323,-0.148842
2020-06-15,16,0.140873,0.087403,0.048157
2020-06-16,16,0.167477,-0.278038,-0.142695
2020-06-17,16,0.163891,0.338360,0.167353
2020-06-18,16,0.121032,-0.091529,-0.042913
2020-06-19,16,0.174938,0.184652,0.079971
2020-06-22,16,0.207468,-0.225370,-0.099467
2020-06-23,16,0.188281,0.070880,0.056813
2020-06-24,16,0.119138,-0.394141,-0.166459
2020-06-25,16,0.102600,-0.147141,-0.055988
2020-06-26,16,0.150278,-0.054023,-0.018758
2020-06-29,16,0.100471,0.541410,0.201692
2020-06-30,16,0.152658,-0.231565,-0.112227
2020-07-01,16,0.156141,-0.123658,-0.046741
2020-07-02,16,0.186712,-0.025119,-0.032479
2020-07-06,16,0.246963,0.213451,0.123079
2020-07-07,16,0.291313,-0.541779,-0.312971
2020-07-08,16,0.266199,0.079426,0.038334
2020-07-09,16,0.386552,-0.616467,-0.401621
2020-07-10,16,0.405103,0.528621,0.362575
2020-07-13,16,0.347427,-0.000912,-0.011759
2020-07-14,16,0.303269,-0.069197,-0.043661
2020-07-15,16,0.336267,0.528957,0.322089
2020-07-16,16,0.294704,-0.276500,-0.156396
2020-07-17,16,0.285438,-0.362052,-0.218798
2020-07-20,16,0.272279,-0.306769,-0.172616
2020-07-21,16,0.339657,0.428362,0.262002
2020-07-22,16,0.269839,-0.339608,-0.182777
2020-07-23,16,0.293152,0.001969,0.001771
2020-07-24,16,0.309164,-0.056616,-0.044328
2020-07-27,16,0.278912,0.049320,0.024742
2020-07-28,16,0.289946,0.089222,0.079964
2020-07-29,16,0.260103,0.376825,0.198313
2020-07-30,16,0.269392,-0.235401,-0.128896
2020-07-31,16,0.307661,-0.173065,-0.108061
2020-08-03,16,0.303240,-0.078997,-0.051387
2020-08-04,16,0.255332,0.225167,0.122935
2020-08-05,16,0.246397,0.309890,0.183217
2020-08-06,16,0.337633,-0.105893,-0.055606
2020-08-07,16,0.241195,0.058727,0.015158
2020-08-10,16,0.292746,-0.150647,-0.092386
2020-08-11,16,0.306736,0.146908,0.099550
2020-08-12,16,0.242839,-0.202123,-0.076226
2020-08-13,16,0.260255,-0.319439,-0.176206
2020-08-14,16,0.333458,-0.177147,-0.130828
2020-08-17,16,0.310331,-0.258932,-0.136279
2020-08-18,16,0.269830,-0.052197,-0.022587
2020-08-19,16,0.321203,0.018440,0.011267
2020-08-20,16,0.263837,-0.133983,-0.090240
2020-08-21,16,0.293652,-0.362226,-0.209532
2020-08-24,16,0.358690,0.323849,0.186303
2020-08-25,16,0.253267,0.125192,0.066453
2020-08-26,16,0.249021,-0.182246,-0.082677
2020-08-27,16,0.169998,0.337367,0.178379
2020-08-28,16,0.223384,-0.288335,-0.155600
2020-08-31,16,0.245141,0.094028,0.086488
2020-09-01,16,0.204768,-0.123664,-0.075714
2020-09-02,16,0.213254,0.119090,0.065252
2020-09-03,16,0.257744,0.156210,0.061444
2020-09-04,16,0.290558,-0.190453,-0.110576
2020-09-08,16,0.346047,-0.054455,-0.054094
2020-09-09,16,0.327290,-0.018583,-0.022851
2020-09-10,16,0.294064,0.063869,0.029310
2020-09-11,16,0.256296,-0.223487,-0.126748
2020-09-14,16,0.271881,0.196072,0.090926
2020-09-15,16,0.274984,-0.155849,-0.094102
2020-09-16,16,0.252329,0.169132,0.093000
2020-09-17,16,0.229992,0.297973,0.169959
2020-09-18,16,0.110559,0.065548,0.037473
2020-09-21,16,0.063273,-0.128701,-0.042287
2020-09-22,16,0.119847,-0.068624,-0.019160
2020-09-23,16,0.100321,-0.134034,-0.041753
2020-09-24,16,0.094963,-0.011381,-0.001212
2020-09-25,16,0.076644,0.064062,0.017188
2020-09-28,16,0.129609,0.328035,0.137716
2020-09-29,16,0.095391,-0.047687,-0.022259
2020-09-30,16,0.130791,0.017865,0.004357
2020-10-01,16,0.064121,-0.113526,-0.031792
2020-10-02,16,0.156782,0.192383,0.091906
2020-10-05,16,0.136063,0.089708,0.040762
2020-10-06,16,0.148859,0.017865,0.020491
2020-10-07,16,0.176095,0.185630,0.099368
2020-10-08,16,0.138932,0.109300,0.053324
2020-10-09,16,0.102382,0.096237,0.035546
2020-10-12,16,0.124804,-0.119139,-0.059292
2020-10-13,16,0.152689,-0.246044,-0.095072
2020-10-14,16,0.177298,0.074295,0.010822
2020-10-15,16,0.135948,-0.046004,-0.019034
2020-10-16,16,0.170979,-0.112856,-0.053313
2020-10-19,16,0.204262,-0.226192,-0.123271
2020-10-20,16,0.161475,0.329580,0.157413
2020-10-21,16,0.110601,-0.144881,-0.041867
2020-10-22,16,0.193285,0.163121,0.082539
2020-10-23,16,0.189715,-0.250030,-0.112011
2020-10-26,16,0.185277,-0.187620,-0.085672
2020-10-27,16,0.199429,-0.269318,-0.132233
2020-10-28,16,0.240427,-0.196307,-0.090918
2020-10-29,16,0.217471,0.246963,0.138157
2020-10-30,16,0.114897,0.138830,0.057185
2020-11-02,16,0.091262,0.131051,0.038647
2020-11-03,16,0.070695,0.248181,0.094314
2020-11-04,16,0.096668,-0.055223,-0.031339
2020-11-05,16,0.083894,0.037599,0.006834
2020-11-06,16,0.161323,-0.154482,-0.076583
2020-11-09,16,0.181371,0.602862,0.284157
2020-11-10,16,0.095534,0.205287,0.095886
2020-11-11,16,0.107236,0.374088,0.146723
2020-11-12,16,0.122455,0.008548,0.019931
2020-11-13,16,0.155441,0.117661,0.043319
2020-11-16,16,0.235253,-0.207799,-0.131675
2020-11-17,16,0.254699,-0.117178,-0.105228
2020-11-18,16,0.216725,-0.009317,0.029628
2020-11-19,16,0.212352,-0.220045,-0.116885
2020-11-20,16,0.294199,0.034287,0.038175
2020-11-23,16,0.235263,0.065213,0.057754
2020-11-24,16,0.227294,-0.093878,-0.059227
2020-11-25,16,0.310782,0.011909,-0.014050
2020-11-27,16,0.253979,0.086773,0.042567
2020-11-30,16,0.180007,0.239771,0.137460
2020-12-01,16,0.182693,0.027997,-0.023306
2020-12-02,16,0.197761,0.091719,0.030274
2020-12-03,16,0.272850,-0.271952,-0.190268
2020-12-04,16,0.286698,-0.261759,-0.161069
2020-12-07,16,0.249089,0.310585,0.168127
2020-12-08,16,0.195255,-0.172781,-0.059550
2020-12-09,16,0.253337,-0.015559,0.002935
2020-12-10,16,0.282674,-0.031262,-0.032789
2020-12-11,16,0.315317,0.093788,0.064416
2020-12-14,16,0.190551,-0.059694,-0.035090
2020-12-15,16,0.254230,-0.152465,-0.073397
2020-12-16,16,0.181149,-0.315709,-0.163139
2020-12-17,16,0.206728,0.090717,0.056170
2020-12-18,16,0.203064,-0.161312,-0.105534
2020-12-21,16,0.139352,-0.233283,-0.095299
2020-12-22,16,0.160118,0.156306,0.071812
2020-12-23,16,0.156125,0.113187,0.053516
2020-12-24,16,0.133910,0.205868,0.083526
2020-12-28,16,0.139914,0.226187,0.114791
2020-12-29,16,0.205635,0.022379,0.037227
2020-12-30,16,0.210170,0.032319,0.010594
2020-12-31,16,0.229317,0.094600,0.048902
2021-01-04,16,0.247176,-0.015031,-0.002563
2021-01-05,16,0.255590,-0.249382,-0.140342
2021-01-06,16,0.222515,0.213744,0.105012
2021-01-07,16,0.203273,-0.313300,-0.177155
2021-01-08,16,0.236471,-0.136336,-0.076375
2021-01-11,16,0.268928,-0.343538,-0.190462
2021-01-12,16,0.244347,0.114819,0.056777
2021-01-13,16,0.264380,0.376612,0.199262
2021-01-14,16,0.323030,0.123896,0.079609
2021-01-15,16,0.295017,0.395899,0.231252
2021-01-19,16,0.257323,-0.077558,-0.034928
2021-01-20,16,0.250616,0.145450,0.072728
2021-01-21,16,0.276824,-0.210526,-0.119652
2021-01-22,16,0.300662,0.384854,0.220330
2021-01-25,16,0.269342,0.075492,0.062791
2021-01-26,16,0.238442,0.186861,0.069676
2021-01-27,16,0.272297,0.099018,0.057731
2021-01-28,16,0.238955,0.068141,0.034059
