date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2020-01-02,0.00077670,100.0777,1,0.003258,20.000000,-0.00119986,99.8800,1,0.002687,20.000000
2020-01-03,0.00022928,100.1006,1,0.002622,20.000000,0.00055209,99.9352,1,0.002905,20.000000
2020-01-06,-0.00065249,100.0353,1,0.003336,20.000000,0.00138238,100.0735,1,0.004831,20.000000
2020-01-07,0.00196922,100.2323,1,0.003199,20.000000,0.00062820,100.1363,1,0.003019,20.000000
2020-01-08,0.00315590,100.5479,1,0.003534,20.000000,-0.00219633,99.9166,1,0.003990,20.000000
2020-01-09,-0.00064430,100.4834,1,0.002642,20.000000,0.00286474,100.2031,1,0.002694,20.000000
2020-01-10,0.00179819,100.6632,1,0.002823,20.000000,0.00052722,100.2558,1,0.002855,20.000000
2020-01-13,0.00266317,100.9296,1,0.002892,20.000000,-0.00050627,100.2052,1,0.002523,20.000000
2020-01-14,0.00077210,101.0068,1,0.002647,20.000000,-0.00269955,99.9353,1,0.002834,20.000000
2020-01-15,-0.00368941,100.6378,1,0.001894,20.000000,0.00280036,100.2153,1,0.002558,20.000000
2020-01-16,0.00032074,100.6699,1,0.004673,30.190283,-0.00182467,100.0328,1,0.004786,36.304230
2020-01-17,0.00303470,100.9734,1,0.004412,26.574837,-0.00503449,99.5294,1,0.003741,26.573185
2020-01-21,-0.00267732,100.7056,1,0.004538,28.391561,0.00322736,99.8521,1,0.005138,36.552909
2020-01-22,0.00027848,100.7335,1,0.002511,20.438002,-0.00129058,99.7231,1,0.004612,26.583514
2020-01-23,-0.00354090,100.3794,1,0.002934,22.467692,0.00013774,99.7368,1,0.004592,32.618638
2020-01-24,-0.00529560,99.8498,1,0.002987,18.607029,0.00514131,100.2510,1,0.005270,34.471104
2020-01-27,-0.00500699,99.3491,1,0.003816,24.801178,0.00209833,100.4608,1,0.004843,28.845609
2020-01-28,-0.00416577,98.9326,1,0.001600,18.783052,0.00302640,100.7634,1,0.003821,28.264992
2020-01-29,-0.00679183,98.2534,1,0.003162,16.524538,0.00325196,101.0886,1,0.003518,26.938572
2020-01-30,0.00283089,98.5365,1,0.003557,22.350435,-0.00029089,101.0595,1,0.003902,30.054954
2020-01-31,-0.00778668,97.7578,1,0.003117,18.165006,0.00308354,101.3679,1,0.005078,30.334929
2020-02-03,-0.01467793,96.2900,1,0.004041,29.876416,0.00904757,102.2727,1,0.004372,31.835514
2020-02-04,0.00979977,97.2700,1,0.002111,20.825983,-0.00798592,101.4741,1,0.003178,28.667338
2020-02-05,0.02387909,99.6579,1,0.003256,22.542932,-0.01282308,100.1918,1,0.004632,36.140636
2020-02-06,-0.00905205,98.7527,1,0.002985,22.470199,-0.00018287,100.1735,1,0.004298,34.606960
2020-02-07,-0.00476378,98.2763,1,0.002931,18.535970,0.00336961,100.5104,1,0.005893,38.571401
2020-02-10,-0.00662197,97.6141,1,0.002564,18.549764,0.00108214,100.6186,1,0.004899,30.864207
2020-02-11,0.00486196,98.1003,1,0.002182,18.717388,-0.00202828,100.4158,1,0.005263,34.575581
2020-02-12,0.01213435,99.3137,1,0.002866,18.781015,-0.00497841,99.9180,1,0.004965,30.793933
2020-02-13,-0.00683717,98.6300,1,0.002622,18.567998,0.00270631,100.1886,1,0.004383,36.771373
2020-02-14,-0.00741798,97.8882,1,0.004804,20.758073,-0.00010382,100.1782,1,0.006558,26.741640
2020-02-18,-0.00576023,97.3122,1,0.003951,20.766165,-0.00037547,100.1407,1,0.004433,23.140819
2020-02-19,0.00539285,97.8515,1,0.003032,16.731459,-0.00212003,99.9287,1,0.004994,36.570072
2020-02-20,0.00643881,98.4954,1,0.003610,24.693027,-0.00217135,99.7115,1,0.005202,32.647954
2020-02-21,-0.01046832,97.4485,1,0.003665,22.295293,0.00404465,100.1160,1,0.006278,30.185472
2020-02-24,-0.01393279,96.0553,1,0.001962,22.280674,0.00614162,100.7302,1,0.003268,26.214141
2020-02-25,-0.01698172,94.3571,1,0.003334,23.903489,0.00468848,101.1990,1,0.004244,25.992259
2020-02-26,-0.01440838,92.9163,1,0.003145,21.902107,0.00646972,101.8460,1,0.004789,27.982028
2020-02-27,0.01217302,94.1336,1,0.003604,25.780425,-0.00521780,101.3242,1,0.004534,31.491980
