date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2020-01-02,0.00194796,100.1948,1,0.004428,20.000000,-0.00228509,99.7715,1,0.003485,20.000000
2020-01-03,0.00055033,100.2498,1,0.003641,20.000000,-0.00047261,99.7242,1,0.003478,20.000000
2020-01-06,-0.00062876,100.1870,1,0.003393,20.000000,0.00124717,99.8489,1,0.003812,20.000000
2020-01-07,0.00011462,100.1984,1,0.002585,20.000000,-0.00012585,99.8364,1,0.003703,20.000000
2020-01-08,0.00400946,100.5994,1,0.003723,20.000000,-0.00121877,99.7145,1,0.003207,20.000000
2020-01-09,0.00078230,100.6776,1,0.003847,20.000000,-0.00179637,99.5348,1,0.004446,20.000000
2020-01-10,-0.00302691,100.3749,1,0.003215,20.000000,0.00156286,99.6911,1,0.003104,20.000000
2020-01-13,0.00151352,100.5263,1,0.003942,20.000000,0.00021506,99.7126,1,0.003951,20.000000
2020-01-14,-0.00310588,100.2157,1,0.002967,20.000000,0.00090260,99.8029,1,0.002632,20.000000
2020-01-15,-0.00070336,100.1453,1,0.003387,20.000000,0.00188840,99.9917,1,0.002740,20.000000
2020-01-16,0.00096798,100.2421,1,0.004197,30.118207,-0.00144567,99.8472,1,0.004432,32.204987
2020-01-17,0.00381774,100.6239,1,0.002935,22.703859,-0.00080980,99.7662,1,0.005182,36.559228
2020-01-21,-0.00169207,100.4547,1,0.005507,34.548358,0.00401857,100.1680,1,0.005943,36.516538
2020-01-22,-0.00070504,100.3842,1,0.003588,22.124493,0.00265021,100.4331,1,0.004878,28.086742
2020-01-23,0.00017762,100.4020,1,0.005135,32.202892,0.00253492,100.6866,1,0.004606,32.677715
2020-01-24,-0.00787583,99.6144,1,0.004658,30.373220,0.00783201,101.4698,1,0.005874,34.629100
2020-01-27,-0.00235695,99.3787,1,0.004512,30.113035,0.00282657,101.7524,1,0.005247,28.509237
2020-01-28,-0.00094169,99.2845,1,0.004577,25.970975,-0.00040791,101.7116,1,0.004995,25.745833
2020-01-29,-0.00465362,98.8191,1,0.004503,35.668053,0.00468281,102.1799,1,0.004860,31.591041
2020-01-30,-0.00418367,98.4008,1,0.005280,27.626589,-0.00106242,102.0737,1,0.006927,33.494531
2020-01-31,-0.00294788,98.1060,1,0.005734,29.493973,0.00223854,102.2975,1,0.005762,29.395139
2020-02-03,-0.00094382,98.0116,1,0.005592,35.218849,0.00058256,102.3558,1,0.004483,35.348689
2020-02-04,0.00715462,98.7271,1,0.003645,29.828774,-0.00628273,101.7275,1,0.003961,29.606697
2020-02-05,0.01278347,100.0054,1,0.006361,33.886658,-0.00882222,100.8453,1,0.006181,33.938798
2020-02-06,-0.00437089,99.5683,1,0.006276,29.886061,0.00255748,101.1010,1,0.006478,32.082094
2020-02-07,-0.00876808,98.6915,1,0.004086,23.724681,0.00608776,101.7098,1,0.003691,28.070048
2020-02-10,-0.00618876,98.0726,1,0.004430,29.983024,0.00285658,101.9955,1,0.004056,28.182128
2020-02-11,0.00806905,98.8795,1,0.006477,34.534616,-0.00707436,101.2880,1,0.007869,38.349074
2020-02-12,0.00411513,99.2911,1,0.003704,32.231663,0.00094422,101.3825,1,0.004451,32.418449
2020-02-13,-0.00191139,99.0999,1,0.004884,30.544061,-0.00907705,100.4747,1,0.005666,30.398528
2020-02-14,-0.00588832,98.5111,1,0.005849,26.632591,-0.00071047,100.4037,1,0.006207,30.770770
2020-02-18,0.00567345,99.0784,1,0.004536,24.841168,-0.00408744,99.9950,1,0.006752,34.873940
2020-02-19,0.00201414,99.2799,1,0.006332,34.616811,0.00063396,100.0584,1,0.006090,34.608160
2020-02-20,0.00344557,99.6244,1,0.007193,36.557949,-0.00307980,99.7504,1,0.006535,30.521839
2020-02-21,0.00169825,99.7942,1,0.006075,27.915057,-0.00147579,99.6028,1,0.007525,28.212037
2020-02-24,-0.00169519,99.6247,1,0.005096,32.393409,-0.00122178,99.4806,1,0.005198,32.147775
2020-02-25,-0.00081319,99.5434,1,0.004539,29.886605,0.00237592,99.7182,1,0.004187,31.748367
2020-02-26,-0.00212002,99.3314,1,0.005569,25.553219,0.00281178,99.9994,1,0.006142,29.238514
2020-02-27,0.00101743,99.4331,1,0.005473,27.401465,-0.00112324,99.8871,1,0.005798,29.383850
2020-02-28,0.00964262,100.3974,1,0.006425,30.608127,-0.01001037,98.8860,1,0.006385,28.736467
2020-03-02,-0.00449842,99.9476,1,0.010995,32.285171,0.00166940,99.0530,1,0.011361,28.511612
