date,n_members,dispersion,ensemble_rank_ic,mean_member_rank_ic
2020-01-02,16,0.338135,0.317463,0.186811
2020-01-03,16,0.268681,0.191423,0.143978
2020-01-06,16,0.266849,-0.113088,-0.076347
2020-01-07,16,0.319318,-0.127428,-0.082505
2020-01-08,16,0.365691,0.010612,0.019659
2020-01-09,16,0.295825,-0.003170,-0.014255
2020-01-10,16,0.424599,0.070782,0.054496
2020-01-13,16,0.363556,0.010613,-0.001807
2020-01-14,16,0.342439,0.108000,0.071255
2020-01-15,16,0.340341,-0.340312,-0.184184
2020-01-16,16,0.346109,0.242034,0.145439
2020-01-17,16,0.290311,0.101136,0.055506
2020-01-21,16,0.274988,-0.207640,-0.108950
2020-01-22,16,0.356981,-0.021369,-0.016657
2020-01-23,16,0.306807,-0.024827,-0.012821
2020-01-24,16,0.361960,-0.348916,-0.221627
2020-01-27,16,0.462669,-0.200346,-0.130894
2020-01-28,16,0.351191,0.025451,0.010894
2020-01-29,16,0.432548,-0.284884,-0.207877
2020-01-30,16,0.414055,0.065024,0.029070
2020-01-31,16,0.364388,-0.095416,-0.059220
2020-02-03,16,0.332909,-0.131147,-0.092419
2020-02-04,16,0.315897,0.123130,0.076771
2020-02-05,16,0.269216,0.563087,0.319040
2020-02-06,16,0.211762,-0.086873,-0.042647
2020-02-07,16,0.350923,-0.331837,-0.201008
2020-02-10,16,0.387567,-0.085764,-0.043448
2020-02-11,16,0.370869,0.334174,0.228380
2020-02-12,16,0.323191,0.379388,0.229977
2020-02-13,16,0.281716,-0.101323,-0.049265
2020-02-14,16,0.378594,-0.220936,-0.159721
2020-02-18,16,0.270607,-0.067574,-0.048373
2020-02-19,16,0.199831,0.078853,0.038655
2020-02-20,16,0.180853,0.421005,0.212455
2020-02-21,16,0.147384,-0.455000,-0.191098
2020-02-24,16,0.221078,-0.123415,-0.041315
2020-02-25,16,0.203920,-0.507372,-0.260252
2020-02-26,16,0.220722,-0.536304,-0.266747
2020-02-27,16,0.194666,0.245125,0.124754
2020-02-28,16,0.143219,0.289834,0.116954
2020-03-02,16,0.164729,-0.094122,-0.035426
2020-03-03,16,0.058679,-0.183862,-0.075270
2020-03-04,16,0.131500,-0.284294,-0.131981
2020-03-05,16,0.090390,-0.155601,-0.056261
2020-03-06,16,0.192423,-0.097051,-0.049394
2020-03-09,16,0.161333,-0.522967,-0.237269
2020-03-10,16,0.105286,0.288424,0.099639
2020-03-11,16,0.065612,-0.294400,-0.108571
2020-03-12,16,0.084421,-0.389205,-0.157815
2020-03-13,16,0.091624,-0.036304,-0.010814
2020-03-16,16,0.038230,-0.203419,-0.058240
2020-03-17,16,0.041379,-0.027661,-0.013649
2020-03-18,16,0.001948,-0.411690,-0.110174
2020-03-19,16,0.074232,0.477908,0.183493
2020-03-20,16,0.045681,0.055998,0.015636
2020-03-23,16,0.038075,-0.014551,-0.018145
2020-03-24,16,0.069485,0.376756,0.142635
2020-03-25,16,0.023819,-0.108347,-0.030258
2020-03-26,16,0.023947,0.283677,0.074052
2020-03-27,16,0.024629,0.183137,0.052335
2020-03-30,16,0.045576,0.121998,0.021188
2020-03-31,16,-0.013900,-0.085395,-0.034454
2020-04-01,16,0.013921,-0.128128,-0.036236
2020-04-02,16,0.009048,-0.148504,-0.025630
2020-04-03,16,-0.003599,-0.127407,-0.030558
2020-04-06,16,-0.011364,0.079345,0.022089
2020-04-07,16,-0.001357,0.297652,0.072827
2020-04-08,16,0.053143,-0.249946,-0.095180
2020-04-09,16,0.020567,0.152572,0.041026
2020-04-13,16,0.056658,0.276761,0.090396
2020-04-14,16,0.065614,0.095478,0.050810
2020-04-15,16,0.114069,-0.217697,-0.075587
2020-04-16,16,0.111841,-0.007539,-0.000797
2020-04-17,16,0.105747,0.014167,-0.006038
2020-04-20,16,0.130277,0.178872,0.074629
2020-04-21,16,0.118151,0.044996,0.000237
2020-04-22,16,0.270551,-0.314940,-0.190726
2020-04-23,16,0.270859,-0.135664,-0.083109
2020-04-24,16,0.168028,-0.102010,-0.019988
2020-04-27,16,0.179894,-0.035825,-0.042203
2020-04-28,16,0.175858,0.011862,0.028745
2020-04-29,16,0.113312,-0.259844,-0.106170
2020-04-30,16,0.176848,0.193181,0.096903
2020-05-01,16,0.219312,0.352919,0.204412
2020-05-04,16,0.130773,0.156173,0.052281
2020-05-05,16,0.166017,0.198478,0.075468
2020-05-06,16,0.189518,-0.084710,-0.041759
2020-05-07,16,0.134641,0.050423,0.024754
2020-05-08,16,0.121531,-0.079962,-0.041519
2020-05-11,16,0.070529,-0.097969,-0.019292
2020-05-12,16,0.067322,-0.148582,-0.070204
2020-05-13,16,0.143891,-0.112848,-0.027023
2020-05-14,16,0.137972,-0.039523,-0.020888
2020-05-15,16,0.155505,0.012821,-0.019880
2020-05-18,16,0.182507,0.018683,0.017323
2020-05-19,16,0.070137,-0.187489,-0.058379
2020-05-20,16,0.341922,0.084084,0.051303
2020-05-21,16,0.307923,0.092204,0.065996
2020-05-22,16,0.448192,0.189397,0.146729
2020-05-26,16,0.360776,-0.007635,-0.020600
2020-05-27,16,0.378417,0.056088,0.032959
2020-05-28,16,0.307521,0.398800,0.254370
2020-05-29,16,0.307906,0.331036,0.217107
2020-06-01,16,0.226161,0.151271,0.086026
2020-06-02,16,0.249459,-0.170489,-0.107875
2020-06-03,16,0.289310,-0.135242,-0.085246
2020-06-04,16,0.305407,-0.382933,-0.243607
2020-06-05,16,0.439762,-0.386411,-0.292419
2020-06-08,16,0.456069,-0.223108,-0.176963
2020-06-09,16,0.529299,0.570804,0.425450
2020-06-10,16,0.542253,0.772349,0.598727
2020-06-11,16,0.372439,0.525282,0.331615
2020-06-12,16,0.292017,-0.444258,-0.261705
2020-06-15,16,0.318980,-0.052680,-0.020630
2020-06-16,16,0.246461,-0.318054,-0.160282
2020-06-17,16,0.343397,0.428053,0.285126
2020-06-18,16,0.307269,-0.205936,-0.128266
2020-06-19,16,0.376756,-0.192422,-0.139893
2020-06-22,16,0.373980,0.167795,0.114097
2020-06-23,16,0.376483,-0.083319,-0.045833
2020-06-24,16,0.376616,0.169664,0.098129
2020-06-25,16,0.340900,-0.044469,-0.032552
2020-06-26,16,0.323919,-0.051526,-0.026873
2020-06-29,16,0.339305,0.095805,0.069700
2020-06-30,16,0.410439,0.189685,0.136399
2020-07-01,16,0.403220,0.394382,0.252269
2020-07-02,16,0.209267,-0.132443,-0.099682
2020-07-06,16,0.269505,0.277955,0.149130
2020-07-07,16,0.222081,-0.609138,-0.312197
2020-07-08,16,0.274382,-0.000480,-0.004262
2020-07-09,16,0.267283,-0.641295,-0.358703
2020-07-10,16,0.414793,0.636189,0.431987
2020-07-13,16,0.216938,0.005907,0.015060
2020-07-14,16,0.283253,-0.358162,-0.212617
2020-07-15,16,0.367700,0.236212,0.155336
2020-07-16,16,0.282825,-0.218978,-0.142557
2020-07-17,16,0.288997,-0.038801,-0.021435
2020-07-20,16,0.266303,-0.263933,-0.149400
2020-07-21,16,0.309183,0.377017,0.213241
2020-07-22,16,0.252986,0.118427,0.080600
2020-07-23,16,0.216736,0.211596,0.118367
2020-07-24,16,0.257367,-0.552007,-0.308163
2020-07-27,16,0.303243,-0.237077,-0.151651
2020-07-28,16,0.290754,0.557076,0.325222
2020-07-29,16,0.151569,-0.059308,-0.031507
2020-07-30,16,0.219750,0.291717,0.142815
2020-07-31,16,0.286150,0.156938,0.102695
2020-08-03,16,0.260315,-0.109825,-0.089064
2020-08-04,16,0.344324,0.156206,0.082422
2020-08-05,16,0.284921,0.156362,0.092809
2020-08-06,16,0.306675,0.070641,0.033196
2020-08-07,16,0.220966,-0.147659,-0.065719
2020-08-10,16,0.306295,-0.459204,-0.258093
2020-08-11,16,0.350946,-0.137482,-0.095449
2020-08-12,16,0.298994,0.338119,0.192118
2020-08-13,16,0.215075,-0.004418,-0.005616
2020-08-14,16,0.301232,0.205830,0.126528
2020-08-17,16,0.355368,-0.100845,-0.088926
2020-08-18,16,0.389518,-0.003938,0.004568
2020-08-19,16,0.307959,-0.256556,-0.134490
2020-08-20,16,0.406146,-0.052246,-0.039022
2020-08-21,16,0.337236,-0.246638,-0.160828
2020-08-24,16,0.416820,0.171441,0.097887
2020-08-25,16,0.335132,0.452325,0.303349
2020-08-26,16,0.219382,-0.091957,-0.048649
2020-08-27,16,0.334445,0.174562,0.104676
2020-08-28,16,0.124834,0.023626,-0.012076
2020-08-31,16,0.220186,0.419746,0.214987
2020-09-01,16,0.114812,-0.396898,-0.158146
2020-09-02,16,0.241625,0.212164,0.135457
2020-09-03,16,0.155037,0.189493,0.074058
2020-09-04,16,0.207705,-0.115737,-0.046999
2020-09-08,16,0.292610,-0.388513,-0.194838
2020-09-09,16,0.314192,0.029821,0.002371
2020-09-10,16,0.281880,-0.213066,-0.123896
2020-09-11,16,0.304003,-0.049222,-0.041194
2020-09-14,16,0.283575,-0.151364,-0.087785
2020-09-15,16,0.351563,-0.118130,-0.061804
2020-09-16,16,0.335551,0.197993,0.118493
2020-09-17,16,0.295422,0.002113,0.018452
2020-09-18,16,0.328326,-0.068765,-0.057072
2020-09-21,16,0.324918,0.268104,0.164532
2020-09-22,16,0.258468,-0.112274,-0.070492
2020-09-23,16,0.287311,0.034864,0.038457
2020-09-24,16,0.295163,0.085961,0.050432
2020-09-25,16,0.290788,-0.045622,-0.036291
2020-09-28,16,0.386269,0.410786,0.255426
2020-09-29,16,0.263574,-0.120000,-0.069418
2020-09-30,16,0.379047,0.037218,0.011963
2020-10-01,16,0.307651,-0.196360,-0.099436
2020-10-02,16,0.373910,0.203457,0.132239
2020-10-05,16,0.361670,0.054650,0.046579
2020-10-06,16,0.400903,-0.251687,-0.166357
2020-10-07,16,0.442796,-0.153340,-0.111687
2020-10-08,16,0.463247,0.074673,0.054166
2020-10-09,16,0.472238,0.022187,0.008391
2020-10-12,16,0.398690,-0.085528,-0.009580
2020-10-13,16,0.373428,-0.098058,-0.061675
2020-10-14,16,0.396029,-0.121780,-0.075990
2020-10-15,16,0.393651,0.088222,0.035726
2020-10-16,16,0.351842,-0.330060,-0.220438
2020-10-19,16,0.354903,-0.254364,-0.187389
2020-10-20,16,0.345991,0.339256,0.217523
2020-10-21,16,0.306583,0.341849,0.209073
2020-10-22,16,0.282510,-0.037311,-0.026929
2020-10-23,16,0.367101,-0.007059,0.000826
2020-10-26,16,0.366147,0.195203,0.129292
2020-10-27,16,0.251188,0.053257,0.033388
2020-10-28,16,0.248723,-0.160584,-0.096825
2020-10-29,16,0.291390,0.027853,0.000120
2020-10-30,16,0.342196,-0.013014,-0.013481
2020-11-02,16,0.196709,-0.610564,-0.283345
2020-11-03,16,0.311218,-0.145166,-0.107902
2020-11-04,16,0.233763,0.445869,0.265303
2020-11-05,16,0.129366,-0.330340,-0.148405
2020-11-09,16,0.295806,-0.029773,-0.038240
2020-11-10,16,0.198808,-0.017672,0.001489
2020-11-11,16,0.340476,0.586343,0.353109
2020-11-12,16,0.167194,0.513266,0.238355
2020-11-13,16,0.192890,-0.441078,-0.217233
2020-11-16,16,0.404589,-0.528944,-0.360234
2020-11-17,16,0.413263,0.016039,0.025690
2020-11-18,16,0.207871,0.159867,0.070414
2020-11-19,16,0.173333,0.054123,0.012461
2020-11-20,16,0.207202,0.080624,0.032467
2020-11-23,16,0.231682,-0.262210,-0.134208
2020-11-24,16,0.333607,-0.508524,-0.317815
2020-11-25,16,0.330439,0.366828,0.247485
2020-11-27,16,0.136187,0.126444,0.053631
2020-11-30,16,0.099158,0.133692,0.051300
2020-12-01,16,0.136459,0.000528,0.009490
2020-12-02,16,0.167938,-0.360842,-0.179448
2020-12-03,16,0.180439,-0.053689,-0.024772
2020-12-04,16,0.206578,-0.423128,-0.208325
2020-12-07,16,0.276330,0.412381,0.254316
2020-12-08,16,0.161923,0.157603,0.094160
2020-12-09,16,0.230796,0.058397,0.059982
2020-12-10,16,0.228723,0.064209,0.036999
2020-12-11,16,0.250483,0.151848,0.080690
2020-12-14,16,0.186484,0.140367,0.079892
2020-12-15,16,0.123593,0.165202,0.062329
2020-12-16,16,0.202399,-0.012054,0.013601
2020-12-17,16,0.297208,-0.004274,0.002563
2020-12-18,16,0.213473,-0.279457,-0.136104
2020-12-21,16,0.251873,0.098778,0.048263
2020-12-22,16,0.198056,0.073521,0.040276
2020-12-23,16,0.205294,0.346283,0.178218
2020-12-24,16,0.170938,0.345997,0.145433
2020-12-28,16,0.207035,-0.013014,-0.016131
2020-12-29,16,0.183031,-0.017960,-0.011099
2020-12-30,16,0.254430,0.566174,0.288688
2020-12-31,16,0.137411,-0.160156,-0.067736
2021-01-04,16,0.173263,-0.036642,-0.008000
2021-01-05,16,0.192372,0.030879,0.003525
2021-01-06,16,0.255739,0.105802,0.069567
2021-01-07,16,0.232285,-0.071454,-0.025492
2021-01-08,16,0.291725,0.117271,0.068456
2021-01-11,16,0.236530,-0.175663,-0.082161
2021-01-12,16,0.338047,0.014599,0.034988
