date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2020-01-02,0.00058106,100.0581,1,0.004564,20.000000,-0.00228509,99.7715,1,0.003485,20.000000
2020-01-03,0.00164595,100.2227,1,0.003960,20.000000,-0.00047261,99.7242,1,0.003478,20.000000
2020-01-06,-0.00027033,100.1957,1,0.004018,20.000000,0.00124717,99.8489,1,0.003812,20.000000
2020-01-07,0.00103052,100.2987,1,0.002884,20.000000,-0.00012585,99.8364,1,0.003703,20.000000
2020-01-08,0.00147260,100.4460,1,0.003763,20.000000,-0.00121877,99.7145,1,0.003207,20.000000
2020-01-09,0.00121364,100.5673,1,0.004234,20.000000,-0.00179637,99.5348,1,0.004446,20.000000
2020-01-10,-0.00274259,100.2931,1,0.004161,20.000000,0.00156286,99.6911,1,0.003104,20.000000
2020-01-13,-0.00002686,100.2904,1,0.004176,20.000000,0.00021506,99.7126,1,0.003951,20.000000
2020-01-14,-0.00145655,100.1447,1,0.003590,20.000000,0.00090260,99.8029,1,0.002632,20.000000
2020-01-15,-0.00176681,99.9681,1,0.003528,20.000000,0.00188840,99.9917,1,0.002740,20.000000
2020-01-16,0.00179063,100.1471,1,0.005090,34.306336,-0.00144567,99.8472,1,0.004432,32.204987
2020-01-17,-0.00127788,100.0193,1,0.004828,30.600000,-0.00080980,99.7662,1,0.005182,36.559228
2020-01-21,-0.00424383,99.5950,1,0.005928,36.568945,0.00401857,100.1680,1,0.005943,36.516538
2020-01-22,-0.00314492,99.2805,1,0.004282,26.562175,0.00265021,100.4331,1,0.004878,28.086742
2020-01-23,-0.00179639,99.1008,1,0.004566,32.558985,0.00253492,100.6866,1,0.004606,32.677715
2020-01-24,-0.00958819,98.1420,1,0.004254,26.462421,0.00783201,101.4698,1,0.005874,34.629100
2020-01-27,0.00007090,98.1491,1,0.006363,33.734402,0.00282657,101.7524,1,0.005247,28.509237
2020-01-28,0.00026648,98.1757,1,0.005438,27.756972,-0.00040791,101.7116,1,0.004995,25.745833
2020-01-29,-0.00824834,97.3509,1,0.005077,29.876537,0.00468281,102.1799,1,0.004860,31.591041
2020-01-30,-0.00068067,97.2828,1,0.005394,25.749814,-0.00106242,102.0737,1,0.006927,33.494531
2020-01-31,-0.00120514,97.1623,1,0.005778,29.769193,0.00223854,102.2975,1,0.005762,29.395139
2020-02-03,-0.00214720,96.9476,1,0.005339,35.413912,0.00058256,102.3558,1,0.004483,35.348689
2020-02-04,0.00699884,97.6475,1,0.003100,24.433718,-0.00628273,101.7275,1,0.003961,29.606697
2020-02-05,0.01190009,98.8375,1,0.006291,32.014273,-0.00882222,100.8453,1,0.006181,33.938798
2020-02-06,-0.00670130,98.1674,1,0.005781,29.942397,0.00255748,101.1010,1,0.006478,32.082094
2020-02-07,-0.00841422,97.3259,1,0.004194,23.663624,0.00608776,101.7098,1,0.003691,28.070048
2020-02-10,-0.00651367,96.6746,1,0.004448,28.176702,0.00285658,101.9955,1,0.004056,28.182128
2020-02-11,0.00519125,97.1937,1,0.007093,32.473796,-0.00707436,101.2880,1,0.007869,38.349074
2020-02-12,0.00510775,97.7045,1,0.003810,22.580346,0.00094422,101.3825,1,0.004451,32.418449
2020-02-13,-0.00047101,97.6574,1,0.004581,28.791011,-0.00907705,100.4747,1,0.005666,30.398528
2020-02-14,-0.00642672,97.0147,1,0.006820,30.665541,-0.00071047,100.4037,1,0.006207,30.770770
2020-02-18,0.00816053,97.8308,1,0.005459,28.908734,-0.00408744,99.9950,1,0.006752,34.873940
2020-02-19,0.00457800,98.2886,1,0.007676,34.727827,0.00063396,100.0584,1,0.006090,34.608160
2020-02-20,0.00323937,98.6125,1,0.005934,32.633368,-0.00307980,99.7504,1,0.006535,30.521839
2020-02-21,-0.00054480,98.5580,1,0.006504,29.992558,-0.00147579,99.6028,1,0.007525,28.212037
2020-02-24,-0.00261764,98.2963,1,0.005059,28.297015,-0.00122178,99.4806,1,0.005198,32.147775
2020-02-25,-0.00188817,98.1074,1,0.004137,29.695300,0.00237592,99.7182,1,0.004187,31.748367
2020-02-26,-0.00147024,97.9604,1,0.006015,25.453230,0.00281178,99.9994,1,0.006142,29.238514
2020-02-27,-0.00175491,97.7849,1,0.004989,29.038226,-0.00112324,99.8871,1,0.005798,29.383850
2020-02-28,0.00767600,98.5525,1,0.007538,34.144317,-0.01001037,98.8860,1,0.006385,28.736467
2020-03-02,-0.00212957,98.3396,1,0.011169,30.609661,0.00166940,99.0530,1,0.011361,28.511612
2020-03-03,-0.00436009,97.9036,1,0.006381,29.410006,0.00451668,99.5046,1,0.005998,29.580581
2020-03-04,-0.00598564,97.3050,1,0.011114,28.764802,-0.00032843,99.4718,1,0.010045,28.887753
2020-03-05,-0.01601359,95.7036,1,0.005261,27.561672,0.00783153,100.2549,1,0.007017,32.988187
2020-03-06,-0.01021605,94.6820,1,0.005571,30.905374,0.00521931,100.7769,1,0.005680,30.395656
2020-03-09,-0.04530552,90.1515,1,0.006146,27.350796,0.03595841,104.3727,1,0.007223,31.069754
2020-03-10,0.03134906,93.2864,1,0.006153,20.703230,-0.02262053,102.1107,1,0.006647,23.926751
2020-03-11,-0.01229285,92.0571,1,0.008495,35.092822,0.00572225,102.6829,1,0.007533,35.204585
2020-03-12,-0.02885444,89.1717,1,0.011991,26.847647,0.02551172,105.2341,1,0.007810,24.579463
2020-03-13,-0.01109387,88.0623,1,0.009012,25.441147,0.00697338,105.9314,1,0.007930,30.159412
2020-03-16,-0.03662147,84.4001,1,0.010095,30.820896,0.03316816,109.2482,1,0.015318,31.716186
2020-03-17,-0.03144958,81.2552,1,0.008346,28.131275,0.03409827,112.6580,1,0.007550,25.518851
2020-03-18,-0.02739985,78.5152,1,0.017712,29.794424,0.02974675,115.6327,1,0.013824,30.365118
2020-03-19,0.07678135,86.1933,1,0.015908,27.067251,-0.07093888,108.5388,1,0.016424,29.716632
2020-03-20,0.02633569,88.8269,1,0.019886,32.665862,-0.01483860,107.0550,1,0.018135,33.245591
2020-03-23,0.00355041,89.1819,1,0.009337,25.960685,-0.00385604,106.6694,1,0.009028,28.579301
2020-03-24,0.03531575,92.7135,1,0.018823,26.009773,-0.03090946,103.5784,1,0.012859,28.265959
2020-03-25,0.00593283,93.3068,1,0.010434,30.548240,-0.01634518,101.9439,1,0.011484,30.004434
2020-03-26,0.00013700,93.3205,1,0.024219,34.949788,-0.00686070,101.2578,1,0.016201,34.034688
2020-03-27,0.00253086,93.5736,1,0.022499,30.798050,-0.00652364,100.6055,1,0.022341,35.339210
2020-03-30,0.01578111,95.1517,1,0.026539,36.323847,-0.00341132,100.2643,1,0.024701,36.562463
2020-03-31,0.00383453,95.5351,1,0.012561,35.527116,0.00389986,100.6543,1,0.003560,17.903717
2020-04-01,0.00046973,95.5821,1,0.018743,37.119197,-0.00017285,100.6370,1,0.014656,32.851701
2020-04-02,0.00333184,95.9153,1,0.013372,31.365098,0.00276638,100.9137,1,0.011988,31.454884
2020-04-03,0.00865437,96.7807,1,0.012621,37.088881,0.00170347,101.0840,1,0.018697,37.216565
2020-04-06,0.00771481,97.5522,1,0.013444,34.593201,-0.00790412,100.2936,1,0.011762,37.410790
2020-04-07,0.00582529,98.1347,1,0.013986,32.105944,-0.00893839,99.3998,1,0.012519,35.551412
2020-04-08,-0.00363216,97.7715,1,0.011084,30.210275,-0.00467624,98.9321,1,0.007675,31.931382
2020-04-09,0.01416303,99.1878,1,0.014373,30.579751,-0.01363017,97.5691,1,0.007549,30.712418
2020-04-13,-0.01707747,97.4801,1,0.009434,23.393545,0.01103738,98.6729,1,0.014106,31.618778
2020-04-14,-0.00915618,96.5645,1,0.010967,32.199441,0.00218849,98.8917,1,0.010333,29.603614
2020-04-15,-0.01912092,94.6524,1,0.006185,27.631615,0.00520974,99.4127,1,0.008348,29.425071
2020-04-16,-0.02001291,92.6511,1,0.012937,34.004123,0.00697884,100.1106,1,0.009331,25.636079
2020-04-17,0.01609636,94.2607,1,0.004944,27.266770,-0.00705011,99.4056,1,0.003578,24.704644
2020-04-20,-0.00038929,94.2218,1,0.008346,27.814131,0.00104314,99.5099,1,0.010155,39.358086
2020-04-21,-0.00260701,93.9611,1,0.007266,29.867275,0.00185901,99.6958,1,0.008275,32.147289
2020-04-22,0.00832935,94.7940,1,0.009492,27.117401,-0.00315598,99.3802,1,0.010639,34.792043
2020-04-23,0.00105925,94.8999,1,0.009653,30.384369,-0.00955166,98.4250,1,0.015713,38.741535
2020-04-24,-0.00057282,94.8427,1,0.006792,24.521644,0.00787966,99.2130,1,0.007136,28.396916
2020-04-27,0.01201751,96.0444,1,0.007403,31.850972,-0.00872799,98.3402,1,0.009188,37.295994
2020-04-28,0.01222907,97.2673,1,0.007863,31.548294,-0.01216708,97.1235,1,0.009083,39.191706
2020-04-29,0.01463508,98.7308,1,0.007655,24.753054,-0.00265388,96.8581,1,0.008383,37.138904
2020-04-30,-0.00663694,98.0671,1,0.005348,30.333467,-0.01084441,95.7736,1,0.009745,42.729195
2020-05-01,-0.00469882,97.5972,1,0.007388,25.670025,-0.00462681,95.3110,1,0.010690,31.872778
2020-05-04,-0.00580950,97.0163,1,0.005696,24.351679,0.00068839,95.3798,1,0.007187,36.363433
2020-05-05,0.00198541,97.2148,1,0.009687,27.213954,-0.00068362,95.3114,1,0.007725,30.375656
2020-05-06,-0.00800473,96.4144,1,0.007166,25.388843,0.00899368,96.2108,1,0.008532,37.188204
2020-05-07,0.02038517,98.4529,1,0.008186,23.255008,-0.00460316,95.7505,1,0.004801,19.319991
2020-05-08,0.00748453,99.2013,1,0.005596,27.575242,-0.00685517,95.0650,1,0.011011,35.047721
2020-05-11,-0.01402470,97.7989,1,0.009619,33.196297,-0.00230124,94.8348,1,0.010644,35.508504
2020-05-12,-0.01029869,96.7690,1,0.007064,32.372154,0.00332674,95.1675,1,0.009434,39.985205
2020-05-13,-0.01751446,95.0176,1,0.006152,31.844794,0.00651552,95.8191,1,0.009914,35.673375
2020-05-14,0.00418202,95.4358,1,0.005044,21.571993,-0.00434822,95.3842,1,0.007699,38.253859
2020-05-15,-0.01369045,94.0667,1,0.007849,23.442644,0.00447071,95.8313,1,0.008075,35.206974
2020-05-18,0.03851047,97.9178,1,0.005592,22.632015,-0.02011536,93.8198,1,0.005023,28.097453
2020-05-19,-0.00243644,97.6741,1,0.005805,24.439091,0.00236911,94.0567,1,0.009753,36.610797
2020-05-20,0.01104289,98.7784,1,0.005340,24.290021,-0.00774636,93.2821,1,0.007070,30.446809
2020-05-21,0.00287465,99.0659,1,0.006136,23.123947,-0.00285133,92.9969,1,0.008775,38.690439
2020-05-22,0.00416933,99.4828,1,0.007062,30.322146,-0.00050639,92.9463,1,0.006199,30.228292
2020-05-26,0.02152475,101.6353,1,0.005281,28.050502,-0.00649958,92.2963,1,0.007303,38.165223
2020-05-27,0.00217221,101.8525,1,0.010109,33.073489,0.00135015,92.4313,1,0.010148,40.799009
2020-05-28,-0.00787694,101.0648,1,0.006743,32.504097,-0.01646465,90.7849,1,0.008325,36.486810
2020-05-29,0.00758419,101.8232,1,0.010176,30.645543,-0.01321911,89.4630,1,0.008994,28.605336
2020-06-01,-0.01506394,100.3168,1,0.005571,20.224079,0.00227317,89.6903,1,0.010591,38.160047
2020-06-02,-0.00104194,100.2126,1,0.004494,23.932982,0.00284366,89.9747,1,0.007353,32.154453
2020-06-03,-0.00212887,99.9997,1,0.004213,19.643821,0.00835155,90.8098,1,0.006814,33.899981
2020-06-04,0.00257867,100.2576,1,0.005249,26.043938,0.01214105,92.0239,1,0.007057,38.754559
2020-06-05,0.00676179,100.9338,1,0.006674,25.603277,0.00922086,92.9460,1,0.004496,22.304850
2020-06-08,0.00694160,101.6280,1,0.008998,32.255894,0.01005898,93.9519,1,0.007802,33.137093
2020-06-09,0.00872006,102.5000,1,0.006880,34.441898,-0.01548588,92.4033,1,0.006420,35.947652
2020-06-10,0.00640346,103.1403,1,0.006046,29.613954,-0.01317765,91.0855,1,0.007616,39.794434
2020-06-11,0.00053261,103.1936,1,0.004931,20.854448,-0.00233757,90.8518,1,0.007718,34.993091
2020-06-12,-0.00576765,102.6168,1,0.006172,28.018904,0.00200286,91.0521,1,0.004814,18.512784
2020-06-15,-0.00239764,102.3770,1,0.008857,29.961303,-0.00080128,90.9719,1,0.010825,38.281725
2020-06-16,-0.00473313,101.9037,1,0.006152,28.349370,0.00078658,91.0506,1,0.007134,30.482152
2020-06-17,0.01006370,102.9101,1,0.009173,24.415243,-0.00274462,90.7761,1,0.011164,28.418014
2020-06-18,-0.00241527,102.6686,1,0.010096,33.840882,0.00026265,90.8024,1,0.011647,39.467510
2020-06-19,0.01108343,103.7769,1,0.006905,27.582295,0.00555185,91.3576,1,0.010121,33.519193
2020-06-22,-0.00030869,103.7460,1,0.006710,33.098533,0.00079339,91.4369,1,0.007943,33.556298
2020-06-23,-0.00075399,103.6706,1,0.005994,30.351380,-0.00137050,91.2999,1,0.008554,32.858193
2020-06-24,0.00414271,104.0849,1,0.006305,27.937476,0.00241929,91.5418,1,0.008149,37.175766
2020-06-25,0.00090913,104.1758,1,0.006307,29.084606,0.00547111,92.0889,1,0.006876,23.789890
2020-06-26,0.00204135,104.3800,1,0.011139,34.286242,0.00093170,92.1821,1,0.009834,29.929738
2020-06-29,0.00020691,104.4007,1,0.012805,37.737306,-0.01029055,91.1530,1,0.010343,37.698673
2020-06-30,0.00477809,104.8785,1,0.007930,27.783151,-0.00289336,90.8637,1,0.009399,31.522842
2020-07-01,-0.00619289,104.2592,1,0.008603,29.926918,0.00329701,91.1934,1,0.010546,37.473670
2020-07-02,0.00804512,105.0637,1,0.007569,30.332779,-0.00498185,90.6952,1,0.007305,30.319572
2020-07-06,0.00826357,105.8900,1,0.006572,24.311139,-0.00258064,90.4372,1,0.009468,27.975308
2020-07-07,-0.00420639,105.4694,1,0.010028,32.668549,0.00417709,90.8549,1,0.008534,34.154854
2020-07-08,-0.00197413,105.2720,1,0.008648,26.352250,-0.00057790,90.7971,1,0.010144,30.176868
2020-07-09,-0.01388840,103.8831,1,0.008153,28.090626,0.00751867,91.5489,1,0.007791,30.149146
2020-07-10,0.01380055,105.2632,1,0.006068,22.742247,-0.00965102,90.5838,1,0.005496,20.721127
2020-07-13,0.00167312,105.4305,1,0.005503,26.535174,-0.00182483,90.4014,1,0.006126,30.818140
2020-07-14,-0.01313414,104.1171,1,0.008464,28.763449,0.00391902,90.7933,1,0.007173,30.864336
2020-07-15,0.01661985,105.7791,1,0.006622,36.731968,-0.00889463,89.9038,1,0.006221,36.622317
2020-07-16,-0.00670887,105.1082,1,0.004380,26.686681,0.00327596,90.2314,1,0.006065,34.822626
2020-07-17,-0.01310322,103.7979,1,0.007759,26.761150,0.00019795,90.2512,1,0.008006,38.927870
2020-07-20,-0.01211709,102.5862,1,0.004984,25.156302,0.00703690,90.9549,1,0.008171,34.880398
2020-07-21,0.01623274,104.2094,1,0.007878,24.781910,-0.00358362,90.5965,1,0.004396,24.819035
2020-07-22,-0.00588541,103.6209,1,0.008073,31.040156,0.00147361,90.7439,1,0.006144,31.105550
2020-07-23,0.01133289,104.7542,1,0.007345,26.998214,0.00118805,90.8627,1,0.006185,31.158331
2020-07-24,-0.00836745,103.9174,1,0.007837,33.649130,0.00545358,91.4080,1,0.008176,37.652845
2020-07-27,-0.01340547,102.5769,1,0.009440,25.070078,0.00618780,92.0268,1,0.010927,31.365447
2020-07-28,0.01308477,103.8854,1,0.006038,25.215198,-0.01194672,90.8321,1,0.007086,33.085525
2020-07-29,0.00129219,104.0146,1,0.011636,38.881984,0.00462361,91.2945,1,0.010849,38.412642
2020-07-30,-0.00118984,103.8956,1,0.007370,32.292038,-0.00038028,91.2565,1,0.008940,32.258402
2020-07-31,0.00168328,104.0639,1,0.012515,30.538310,0.00154598,91.4111,1,0.013477,30.265069
2020-08-03,0.00095229,104.1592,1,0.006124,30.594585,0.00544079,91.9552,1,0.005923,28.685672
2020-08-04,0.00540697,104.6999,1,0.007316,24.877577,-0.00080077,91.8751,1,0.005487,22.459233
2020-08-05,0.00152108,104.8520,1,0.007095,30.331766,-0.00302129,91.5729,1,0.005711,32.593025
2020-08-06,0.00442389,105.2944,1,0.009447,34.840943,-0.00075852,91.4971,1,0.008977,36.639378
2020-08-07,0.00119733,105.4141,1,0.008680,38.290949,0.00264116,91.7612,1,0.007047,30.725379
2020-08-10,0.00252747,105.6668,1,0.007620,30.844973,-0.00386309,91.3749,1,0.009216,33.043644
2020-08-11,0.00861671,106.5285,1,0.006185,32.855862,-0.00501170,90.8737,1,0.007345,35.238281
2020-08-12,-0.00025282,106.5032,1,0.006285,33.255252,-0.00223471,90.6503,1,0.006201,31.297504
2020-08-13,-0.00088444,106.4148,1,0.008173,30.571765,-0.00598790,90.0515,1,0.006463,26.593474
2020-08-14,0.00291984,106.7068,1,0.005402,28.566939,0.00284837,90.3363,1,0.007087,34.792415
2020-08-17,-0.00215639,106.4911,1,0.005361,30.584650,-0.00265011,90.0713,1,0.006291,34.706708
2020-08-18,-0.00270552,106.2206,1,0.005284,28.968172,-0.00272813,89.7985,1,0.008505,34.495242
2020-08-19,0.00512629,106.7332,1,0.006471,30.720912,-0.00291488,89.5070,1,0.007816,34.573371
2020-08-20,-0.00488428,106.2448,1,0.006183,24.249624,-0.00008515,89.4985,1,0.007914,34.384340
2020-08-21,-0.00234460,106.0103,1,0.007880,28.320783,0.00082878,89.5814,1,0.006905,36.061591
2020-08-24,0.00268795,106.2791,1,0.007194,33.911071,-0.00426354,89.1550,1,0.006527,28.065823
