date,n_members,dispersion,ensemble_rank_ic,mean_member_rank_ic
2020-01-02,8,0.417637,0.294174,0.208211
2020-01-03,8,0.423392,0.193387,0.145594
2020-01-06,8,0.326109,0.011815,0.003866
2020-01-07,8,0.320137,-0.122650,-0.086557
2020-01-08,8,0.372560,0.053305,0.032101
2020-01-09,8,0.344140,-0.084714,-0.062461
2020-01-10,8,0.392787,0.009077,-0.005174
2020-01-13,8,0.445001,0.076112,0.058956
2020-01-14,8,0.451322,0.050327,0.048391
2020-01-15,8,0.383234,-0.324954,-0.218223
2020-01-16,8,0.445316,0.210859,0.166042
2020-01-17,8,0.301286,0.089946,0.058405
2020-01-21,8,0.393600,-0.258932,-0.168920
2020-01-22,8,0.370746,-0.050136,-0.031405
2020-01-23,8,0.429230,0.001297,-0.017743
2020-01-24,8,0.355328,-0.366767,-0.239004
2020-01-27,8,0.456615,-0.197282,-0.129556
2020-01-28,8,0.363063,-0.024012,-0.041056
2020-01-29,8,0.281269,-0.188594,-0.119823
2020-01-30,8,0.424836,0.022523,0.006795
2020-01-31,8,0.327124,-0.153621,-0.105882
2020-02-03,8,0.242542,-0.106679,-0.071693
2020-02-04,8,0.197633,0.137105,0.078499
2020-02-05,8,0.149498,0.453491,0.242173
2020-02-06,8,0.163447,-0.237865,-0.125882
2020-02-07,8,0.197637,-0.295204,-0.170312
2020-02-10,8,0.275054,-0.195505,-0.127335
2020-02-11,8,0.306315,0.291580,0.186951
2020-02-12,8,0.177438,0.485135,0.262089
2020-02-13,8,0.164521,-0.093527,-0.037071
2020-02-14,8,0.253610,-0.207622,-0.098103
2020-02-18,8,0.089000,0.039385,0.023866
2020-02-19,8,0.051473,-0.035447,-0.010600
2020-02-20,8,0.049206,0.314771,0.122017
2020-02-21,8,0.046191,-0.413533,-0.165750
2020-02-24,8,0.145550,-0.223780,-0.101909
2020-02-25,8,0.140261,-0.485269,-0.221885
2020-02-26,8,0.096748,-0.441920,-0.198091
2020-02-27,8,0.077170,0.201811,0.088127
2020-02-28,8,0.034728,0.113958,0.064443
2020-03-02,8,0.021273,0.141571,0.055414
2020-03-03,8,0.013329,-0.040150,-0.006891
2020-03-04,8,0.025330,-0.225937,-0.103301
2020-03-05,8,0.002775,0.104740,0.036507
2020-03-06,8,0.136340,-0.034248,-0.058643
2020-03-09,8,0.063286,-0.425484,-0.192857
2020-03-10,8,-0.043512,0.554069,0.169986
2020-03-11,8,-0.030502,-0.140215,-0.065774
2020-03-12,8,-0.025149,-0.362375,-0.130884
2020-03-13,8,-0.044408,0.317253,0.088376
2020-03-16,8,-0.003137,-0.168484,-0.066159
2020-03-17,8,-0.011175,0.041348,0.013409
2020-03-18,8,0.063968,-0.136379,-0.028715
2020-03-19,8,-0.037914,-0.184089,-0.060344
2020-03-20,8,0.118508,0.281584,0.148956
2020-03-23,8,0.077918,-0.009845,-0.010744
2020-03-24,8,0.002240,0.319677,0.110840
2020-03-25,8,0.061814,-0.027856,-0.006795
2020-03-26,8,0.045104,0.209952,0.097479
2020-03-27,8,0.123687,0.234133,0.103133
2020-03-30,8,0.030293,0.031119,0.013169
2020-03-31,8,0.030911,0.303698,0.114682
2020-04-01,8,0.031164,0.170469,0.046411
2020-04-02,8,-0.040271,0.145814,0.047143
2020-04-03,8,0.034605,0.037174,0.006050
2020-04-06,8,-0.009837,0.268204,0.090132
2020-04-07,8,0.098265,0.314796,0.133206
2020-04-08,8,0.083582,0.106221,0.055020
2020-04-09,8,0.097117,0.418470,0.181298
2020-04-13,8,0.109519,-0.243343,-0.125820
2020-04-14,8,0.061027,-0.178836,-0.072422
2020-04-15,8,0.119405,-0.415294,-0.197462
2020-04-16,8,0.130409,-0.357825,-0.179997
