arm,panel,seed,source,n_days,rank_ic_1,rank_ic_se,rank_ic_t,net_pct,sharpe,mdd_pct,turnover,cost_pct
ar,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/ar/set1_core7_seed42/predictions.csv,1258,0.011422306044238835,0.00530861432937904,2.151654901925212,-26.899064433756063,-0.3901375736748333,47.14686338867558,0.1151420475436497,5.277195575522608
ar,set2_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/ar/set2_core7_seed42/predictions.csv,1258,0.016701171192193557,0.006207711778483905,2.690390886071783,-31.754576494067422,-0.4126621144293841,41.193446441745756,0.11505261464273918,5.8815318504871605
ar,set3_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/ar/set3_core7_seed42/predictions.csv,1258,0.014800179305671502,0.006694480421516041,2.2108032847633354,20.049826201461578,0.19839161234242034,39.917485636105994,0.09823518979869209,4.302541328670431
ar,set4_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/ar/set4_core7_seed42/predictions.csv,1257,0.01586448791961226,0.005861466150231448,2.706573323636072,-11.488496380830265,-0.17728395960663393,45.55410483072674,0.10512719711839053,5.112200853553655
gru,set1_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/gru/set1_core7_seed42/predictions.csv,1258,0.004795049341672243,0.0059812836965194216,0.8016756243250153,4.384149234964483,0.05509904413626267,40.95694555635575,0.1279315688486803,5.993676322404077
gru,set1_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/gru/set1_core7_seed43/predictions.csv,1258,0.009856673913209723,0.005783985458788404,1.7041318626126771,41.498987609757734,0.6058375567434063,24.63943005413565,0.1287419344715811,5.941120776219962
gru,set1_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/gru/set1_core7_seed44/predictions.csv,1258,0.013634370416032235,0.0058400345861472506,2.3346386421021204,50.21428655169859,0.6203087634390966,40.58132504333458,0.12970891579725344,5.989312849817697
gru,set2_core7,42,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/gru/set2_core7_seed42/predictions.csv,1258,0.015335225250986656,0.005587264865179615,2.7446748312501326,27.869546358138507,0.470062954130347,25.750307958198594,0.1457359306403218,7.5919783824732825
gru,set2_core7,43,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/gru/set2_core7_seed43/predictions.csv,1258,0.01598925624781517,0.00524772620375979,3.0468922399875775,45.810851445726705,0.9308227111366214,6.729563913295335,0.15132901573907767,7.4258977873578935
gru,set2_core7,44,/Users/jonathanchang/ONENAS/.claude/worktrees/pooled-panel/scripts/pooled/econ/results_econ/gru/set2_core7_seed44/predictions.csv,1258,0.017207927672512176,0.005040347442731889,3.414036010022636,29.91979315881939,0.6791292445667019,11.59555687143893,0.15311595589640292,7.799041625581985
