arm,panel,seed,year,n_days,net_pct,sharpe
ar,set1_core7,42,2020,253,5.275935408023938,0.25268707189910566
ar,set1_core7,42,2021,252,-3.5212078140254413,-0.246245226229905
ar,set1_core7,42,2022,251,-29.099448539058688,-2.486150071452919
ar,set1_core7,42,2023,250,-1.099338431982278,-0.1251821632741389
ar,set1_core7,42,2024,252,1.544994943286456,0.15580571041433836
ar,set2_core7,42,2020,253,-3.0778254861668906,-0.11960830894609062
ar,set2_core7,42,2021,252,-4.037915587961893,-0.27060313649647055
ar,set2_core7,42,2022,251,-22.775362472107645,-2.0589431471800665
ar,set2_core7,42,2023,250,6.532868691319845,0.6628144283409508
ar,set2_core7,42,2024,252,-8.396341639150815,-0.9100248829499955
ar,set3_core7,42,2020,253,13.390437855809697,0.3925584972891598
ar,set3_core7,42,2021,252,-15.1153423101873,-0.8398419520631331
ar,set3_core7,42,2022,251,-7.852464813114267,-0.6155770703763438
ar,set3_core7,42,2023,250,3.4510034800930387,0.30743557401403593
ar,set3_core7,42,2024,252,26.176191988860374,1.578813825880043
ar,set4_core7,42,2020,252,2.0403121956690127,0.1018583136857104
ar,set4_core7,42,2021,252,-11.815050334440327,-0.9430709647126334
ar,set4_core7,42,2022,251,-18.80106689823521,-1.5724523621084394
ar,set4_core7,42,2023,250,6.881632150294383,0.7849235194215176
ar,set4_core7,42,2024,252,10.205676505881895,1.2869883106406892
gru,set1_core7,42,2020,253,-17.54113923559075,-0.6744290429791336
gru,set1_core7,42,2021,252,9.51065028958913,0.7753891530826801
gru,set1_core7,42,2022,251,8.391733110042082,0.5735471198222445
gru,set1_core7,42,2023,250,1.3822862410214714,0.10951536611574651
gru,set1_core7,42,2024,252,2.6406188299025377,0.31415600887092904
gru,set1_core7,43,2020,253,0.305165024472194,0.015182060550832821
gru,set1_core7,43,2021,252,21.531541064979177,1.6858213930499741
gru,set1_core7,43,2022,251,7.205861183831576,0.5498733189768406
gru,set1_core7,43,2023,250,9.59884300622953,1.030631667550002
gru,set1_core7,43,2024,252,2.8575773302452117,0.2648557993550796
gru,set1_core7,44,2020,253,11.14087229577982,0.39510614151310486
gru,set1_core7,44,2021,252,4.237387817396468,0.4181477927446015
gru,set1_core7,44,2022,251,-2.5064140311708156,-0.16128581990887142
gru,set1_core7,44,2023,250,25.592335692599065,2.976849620761809
gru,set1_core7,44,2024,252,11.750104777093975,1.1549340027929287
gru,set2_core7,42,2020,253,11.411113625063088,0.5784875105557915
gru,set2_core7,42,2021,252,8.064371086733418,0.9382337996327506
gru,set2_core7,42,2022,251,1.3651355725427736,0.13255278829659103
gru,set2_core7,42,2023,250,-6.688393697812067,-0.7654965243566546
gru,set2_core7,42,2024,252,13.717319771611283,1.7647862719892076
gru,set2_core7,43,2020,253,25.66343860856145,1.592774842538192
gru,set2_core7,43,2021,252,3.7456130675908015,0.5099557842445479
gru,set2_core7,43,2022,251,-2.9015614701635952,-0.33368805671772167
gru,set2_core7,43,2023,250,9.192312565934472,1.223776341220322
gru,set2_core7,43,2024,252,10.111048673803557,1.60563651932942
gru,set2_core7,44,2020,253,8.905682074201513,0.6640370853584698
gru,set2_core7,44,2021,252,3.2866594278426904,0.421181116842167
gru,set2_core7,44,2022,251,11.130474711246107,1.659674027865726
gru,set2_core7,44,2023,250,-6.733769237526742,-0.9588877363679077
gru,set2_core7,44,2024,252,13.330746183055819,1.8123970757136845
gru,set3_core7,42,2020,253,-0.9177298572689827,-0.05695334487855242
gru,set3_core7,42,2021,252,-10.293400747553116,-1.0553465568787754
gru,set3_core7,42,2022,251,-5.765593494763002,-0.5254571621407529
gru,set3_core7,42,2023,250,-0.976581671217519,-0.11032810811723599
gru,set3_core7,42,2024,252,2.9743680033445963,0.31560150626498407
gru,set3_core7,43,2020,253,16.10026896418666,0.878131433815844
gru,set3_core7,43,2021,252,-8.66834665171554,-0.6672996207311981
gru,set3_core7,43,2022,251,-13.036918347143603,-0.9161803812137367
gru,set3_core7,43,2023,250,5.277754719767288,0.6323578786637221
gru,set3_core7,43,2024,252,15.142546014393496,1.8111222394492428
gru,set3_core7,44,2020,253,8.282222579353348,0.4091634138317527
gru,set3_core7,44,2021,252,-1.8366101463402666,-0.13837103900526843
gru,set3_core7,44,2022,251,-10.19003153175353,-0.7339391918756333
gru,set3_core7,44,2023,250,16.550648662234597,1.619971173902595
gru,set3_core7,44,2024,252,-2.7473034544199093,-0.23820555063840748
gru,set4_core7,42,2020,252,21.434673030152005,1.004062168363814
gru,set4_core7,42,2021,252,26.5571277791246,2.5416743329137845
gru,set4_core7,42,2022,251,1.0346208229277427,0.09760941349970301
gru,set4_core7,42,2023,250,5.743761908672829,0.6825499215278025
gru,set4_core7,42,2024,252,4.4264180708500716,0.6381546666366017
gru,set4_core7,43,2020,252,-17.166994298421873,-0.9597402767041379
gru,set4_core7,43,2021,252,7.867998579123256,0.7799630092808634
gru,set4_core7,43,2022,251,-6.729676305411725,-0.6701837291871903
gru,set4_core7,43,2023,250,10.978747401626956,1.2314681178389106
gru,set4_core7,43,2024,252,13.19012069941135,2.5059754088832733
gru,set4_core7,44,2020,252,2.00185743165055,0.09223907220455277
gru,set4_core7,44,2021,252,20.37889052694997,2.0816479507436476
gru,set4_core7,44,2022,251,10.726541864047809,0.9438723794077131
gru,set4_core7,44,2023,250,19.271760335614832,2.5601152395273883
gru,set4_core7,44,2024,252,8.935461091071451,1.3883528003631485
lstm,set1_core7,42,2020,253,-20.018217348762807,-0.9816064650354677
lstm,set1_core7,42,2021,252,13.629648703186284,1.1997669912995335
lstm,set1_core7,42,2022,251,0.2843610015049791,0.01815154194347913
lstm,set1_core7,42,2023,250,0.11510117111798099,0.009051243901968986
lstm,set1_core7,42,2024,252,-2.5687794856695962,-0.2567133779775537
