date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.00084400,100.0844,1,0.039210,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.00217355,100.3018,1,0.042465,299.950890,0.00264532,100.2645,1,0.030678,200.000000
2015-01-06,-0.00855326,99.4464,1,0.047656,279.339900,0.00844747,101.1093,0,0.000000,0.000000
2015-01-07,-0.00933976,98.5125,1,0.037796,200.343690,0.00377312,101.4866,1,0.054938,277.881956
2015-01-08,0.00479743,98.9922,1,0.031987,223.731800,0.00694799,102.1814,0,0.000000,0.000000
2015-01-09,-0.00479616,98.5126,1,0.034486,223.826610,0.00466151,102.6475,0,0.000000,0.000000
2015-01-12,-0.00667354,97.8452,1,0.038094,260.137670,0.00944889,103.5924,1,0.032891,245.620763
2015-01-13,0.00643918,98.4891,1,0.042362,240.489760,0.00890589,104.4830,1,0.044391,260.819140
2015-01-14,-0.00948172,97.5410,1,0.041572,260.941720,0.00629021,105.1120,1,0.036039,241.261900
2015-01-15,0.01438008,98.9790,1,0.046822,280.684220,0.00871963,105.9840,1,0.046707,301.677900
2015-01-16,-0.00328882,98.6501,1,0.045142,300.261790,-0.00049348,105.9347,1,0.040628,279.754950
2015-01-20,0.00010543,98.6606,1,0.032657,262.347360,0.01088070,107.0227,0,0.000000,0.000000
2015-01-21,-0.00677894,97.9827,1,0.036074,219.059660,-0.00274564,106.7482,1,0.029324,243.646038
2015-01-22,-0.00405019,97.5777,1,0.037609,221.376240,-0.01114100,105.6341,1,0.031720,261.803720
2015-01-23,-0.00837683,96.7400,1,0.043853,262.129110,-0.00152932,105.4811,0,0.000000,0.000000
2015-01-26,-0.00856695,95.8833,1,0.042405,319.649230,-0.00081012,105.4001,1,0.041352,301.527565
2015-01-27,-0.00247217,95.6361,1,0.048157,262.926670,-0.00361717,105.0384,0,0.000000,0.000000
2015-01-28,-0.01058442,94.5777,1,0.042462,240.156140,-0.00180149,104.8583,1,0.050569,361.561775
2015-01-29,0.00917125,95.4948,1,0.039225,239.371680,0.00907414,105.7657,0,0.000000,0.000000
2015-01-30,0.00049067,95.5439,1,0.057023,322.176990,-0.00598953,105.1667,1,0.041773,341.017549
2015-02-02,-0.00163429,95.3805,1,0.043099,280.620370,0.00174922,105.3416,0,0.000000,0.000000
2015-02-03,0.01424054,96.8045,1,0.031956,242.630410,0.01095936,106.4376,1,0.043934,298.447597
2015-02-04,-0.00481803,96.3227,1,0.036303,262.679830,-0.00409789,106.0278,1,0.041049,303.100890
2015-02-05,0.00044242,96.3669,1,0.034138,220.811360,-0.01214449,104.8133,1,0.037189,319.605560
2015-02-06,-0.02012924,94.3540,1,0.028874,263.479160,0.01066483,105.8798,0,0.000000,0.000000
2015-02-09,0.00147753,94.5018,1,0.038397,260.160110,0.00588575,106.4684,1,0.053155,303.288245
2015-02-10,0.00354659,94.8564,1,0.037371,260.271570,-0.00557277,105.9111,1,0.043327,299.756550
2015-02-11,-0.00002597,94.8538,1,0.034397,262.392170,0.00911752,106.8229,0,0.000000,0.000000
2015-02-12,-0.00259334,94.5945,1,0.051784,339.257900,0.00646314,107.4692,1,0.038426,262.300159
2015-02-13,-0.00492843,94.1017,1,0.050233,282.237530,0.01059480,108.5287,0,0.000000,0.000000
2015-02-17,-0.00235939,93.8657,1,0.038169,260.871530,-0.00121705,108.4070,1,0.038645,284.367697
2015-02-18,0.01477585,95.3433,1,0.034015,200.738130,-0.00656857,107.7501,1,0.050987,339.778700
2015-02-19,-0.00905470,94.4378,1,0.043380,281.587400,-0.00584054,107.1660,1,0.056934,321.206250
2015-02-20,0.00963165,95.4010,1,0.046325,240.405710,0.00764820,107.9309,1,0.056160,359.551960
2015-02-23,0.00068459,95.4695,1,0.038261,262.026370,-0.01094511,106.8364,0,0.000000,0.000000
2015-02-24,0.00698005,96.1675,1,0.041165,300.539280,-0.00771728,106.0646,1,0.051518,362.996687
2015-02-25,0.00024127,96.1916,1,0.035823,301.489370,-0.01461830,104.6028,1,0.050510,340.300570
2015-02-26,-0.00931069,95.2605,1,0.038969,300.148530,-0.00316748,104.2860,1,0.061328,340.840920
2015-02-27,-0.00862508,94.3980,1,0.036848,280.008480,-0.00647222,103.6388,1,0.038592,320.121900
2015-03-02,0.00112417,94.5104,1,0.046063,240.792800,-0.00495875,103.1430,1,0.056285,321.151970
2015-03-03,0.00838028,95.3485,1,0.063202,341.377460,-0.00608848,102.5341,1,0.053658,301.694390
2015-03-04,-0.00188358,95.1601,1,0.034248,279.477850,-0.00753324,101.7808,1,0.044154,320.295410
2015-03-05,0.00109154,95.2693,1,0.040936,279.536750,-0.00956408,100.8244,0,0.000000,0.000000
2015-03-06,0.00172613,95.4419,1,0.032687,241.362230,0.00312910,101.1373,1,0.049100,340.246540
2015-03-09,0.00592744,96.0346,1,0.043336,297.734960,0.00144383,101.2817,0,0.000000,0.000000
2015-03-10,0.00161191,96.1958,1,0.039409,300.357640,-0.00344976,100.9367,1,0.044766,300.298405
2015-03-11,0.00136035,96.3318,1,0.044235,298.895900,0.01015597,101.9523,0,0.000000,0.000000
2015-03-12,-0.00313116,96.0187,1,0.034956,221.581930,-0.00002203,101.9501,1,0.042263,280.041609
2015-03-13,0.00440321,96.4590,1,0.034929,282.429400,0.00429318,102.3794,0,0.000000,0.000000
2015-03-16,-0.00340691,96.1184,1,0.042591,240.289350,-0.00358613,102.0208,1,0.042003,301.657909
2015-03-17,0.00089371,96.2077,1,0.027799,222.749400,0.00627867,102.6487,0,0.000000,0.000000
2015-03-18,0.00887133,97.0949,1,0.034907,260.327390,-0.00758864,101.8898,1,0.042224,262.191022
2015-03-19,0.00223937,97.3188,1,0.038013,242.659780,0.00820332,102.7101,0,0.000000,0.000000
2015-03-20,-0.00143224,97.1756,1,0.040544,319.537890,-0.00750351,101.9598,1,0.040761,262.417980
2015-03-23,-0.00919783,96.2558,1,0.036973,261.980160,0.00003813,101.9636,0,0.000000,0.000000
2015-03-24,0.00014280,96.2701,1,0.036640,220.781670,-0.00186034,101.7776,1,0.031244,280.555053
2015-03-25,0.00035153,96.3052,1,0.035497,240.223020,0.01026556,102.8041,1,0.045494,299.648450
2015-03-26,0.00752758,97.0580,1,0.043012,299.659190,-0.00752095,102.0520,0,0.000000,0.000000
2015-03-27,0.00546343,97.6043,1,0.040767,260.493050,-0.00644732,101.4073,1,0.051252,357.053642
2015-03-30,0.00021788,97.6261,1,0.037352,282.095150,-0.00277231,101.1300,1,0.046201,302.181600
2015-03-31,-0.00804283,96.8218,1,0.044863,262.704720,0.00126756,101.2568,0,0.000000,0.000000
2015-04-01,0.00355323,97.1771,1,0.049407,240.396780,0.00325908,101.5827,1,0.043402,282.266107
2015-04-02,-0.00284641,96.8925,1,0.033191,219.923290,0.00023129,101.6058,1,0.037151,300.019370
2015-04-06,-0.00773116,96.1194,1,0.041636,321.551510,0.00862557,102.4684,1,0.036963,281.164220
2015-04-07,0.00667780,96.7872,1,0.038010,241.740020,-0.00576677,101.8917,1,0.042537,262.038420
2015-04-08,0.00301788,97.0890,1,0.039572,279.515330,0.00031384,101.9231,1,0.052016,319.697540
2015-04-09,0.00251208,97.3402,1,0.048612,301.417160,0.00669778,102.5929,1,0.046642,281.789480
2015-04-10,0.00396466,97.7366,1,0.040454,261.133200,0.00067957,102.6608,1,0.038563,282.343820
2015-04-13,-0.00532120,97.2045,1,0.046750,260.905300,0.00177061,102.8379,1,0.042249,301.130440
2015-04-14,0.00629881,97.8344,1,0.062699,339.661650,-0.00314186,102.5237,0,0.000000,0.000000
2015-04-15,-0.00137462,97.6969,1,0.051632,281.290760,0.00700619,103.2243,1,0.041511,320.085046
2015-04-16,0.00187441,97.8844,1,0.041499,301.751430,-0.00554298,102.6700,1,0.037578,261.789450
2015-04-17,-0.00109903,97.7745,1,0.042823,260.133360,-0.00120552,102.5495,1,0.041652,299.608120
2015-04-20,-0.00200094,97.5744,1,0.042044,259.807660,-0.00228736,102.3207,0,0.000000,0.000000
2015-04-21,0.00112389,97.6868,1,0.036751,321.528930,0.00831833,103.1526,0,0.000000,0.000000
2015-04-22,-0.00072255,97.6145,1,0.032425,239.735320,-0.00839711,102.3129,1,0.029371,260.933393
2015-04-23,0.00408316,98.0228,1,0.029824,260.424190,0.00066328,102.3792,1,0.045522,319.806600
2015-04-24,-0.00835952,97.1869,1,0.037592,260.597900,-0.00747652,101.6315,1,0.051452,300.784310
2015-04-27,-0.00027598,97.1593,1,0.041598,301.089680,-0.00707350,100.9242,1,0.056830,359.723700
2015-04-28,0.00180099,97.3394,1,0.053121,319.259580,0.00129085,101.0533,1,0.046125,359.018560
2015-04-29,0.00905088,98.2445,1,0.047252,261.724260,0.00976818,102.0301,0,0.000000,0.000000
2015-04-30,0.00141239,98.3857,1,0.031141,238.784860,-0.00433137,101.5970,1,0.046597,280.986848
2015-05-01,0.00081688,98.4674,1,0.037112,259.888220,0.00193536,101.7905,1,0.043584,319.625820
2015-05-04,0.00284563,98.7520,1,0.045097,261.865240,-0.00822787,100.9677,0,0.000000,0.000000
2015-05-05,-0.01244213,97.5077,1,0.021133,221.869000,0.00386601,101.3543,0,0.000000,0.000000
2015-05-06,-0.00662393,96.8453,1,0.036433,239.767100,-0.00175588,101.1787,0,0.000000,0.000000
2015-05-07,0.00748484,97.5938,1,0.037176,299.724520,0.00858775,102.0375,1,0.036365,301.217091
2015-05-08,-0.00228994,97.3648,1,0.034354,241.474980,0.00446713,102.4842,1,0.032907,261.556740
2015-05-11,0.00232183,97.5970,1,0.038887,222.214820,-0.00136503,102.3477,0,0.000000,0.000000
2015-05-12,0.00039185,97.6362,1,0.037745,259.308090,0.00197795,102.5455,1,0.041805,281.478376
2015-05-13,0.00358000,97.9942,1,0.024060,220.401430,-0.00585851,101.9597,1,0.041051,280.645980
2015-05-14,0.00531453,98.5257,1,0.037587,259.727660,-0.00153263,101.8064,1,0.038523,300.497140
2015-05-15,0.00048782,98.5744,1,0.048638,282.670880,-0.00973984,100.8324,0,0.000000,0.000000
2015-05-18,0.00031477,98.6059,1,0.043273,201.331760,-0.00418491,100.4139,1,0.061081,362.732584
2015-05-19,-0.00754790,97.8511,1,0.035140,260.804770,0.00606485,101.0204,1,0.054815,340.904810
2015-05-20,-0.00069853,97.7813,1,0.021293,200.642390,0.00258882,101.2793,1,0.032098,260.965700
2015-05-21,-0.00419573,97.3617,1,0.028003,181.303700,-0.00456675,100.8226,1,0.051695,320.348400
