date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.00076533,100.0765,1,0.030757,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.00532213,100.6087,1,0.018557,140.277950,0.00264532,100.2645,1,0.030678,200.000000
2015-01-06,-0.01056959,99.5518,1,0.009399,82.381650,0.00844747,101.1093,0,0.000000,0.000000
2015-01-07,-0.00377896,99.1739,1,0.018736,120.758300,0.00377312,101.4866,1,0.054938,277.881956
2015-01-08,0.00707729,99.8816,1,0.015571,103.925560,0.00694799,102.1814,0,0.000000,0.000000
2015-01-09,-0.00754671,99.1269,1,0.016211,123.157920,0.00466151,102.6475,0,0.000000,0.000000
2015-01-12,-0.00879977,98.2470,1,0.015227,100.252340,0.00944889,103.5924,1,0.032891,245.620763
2015-01-13,0.00905854,99.1528,1,0.013986,101.035270,0.00890589,104.4830,1,0.044391,260.819140
2015-01-14,-0.00327941,98.8249,1,0.026401,141.308540,0.00629021,105.1120,1,0.036039,241.261900
2015-01-15,0.01001495,99.8264,1,0.022765,141.347500,0.00871963,105.9840,1,0.046707,301.677900
2015-01-16,-0.00141689,99.6847,1,0.014719,100.307360,-0.00049348,105.9347,1,0.040628,279.754950
2015-01-20,-0.00653741,99.0309,1,0.013531,123.083590,0.01088070,107.0227,0,0.000000,0.000000
2015-01-21,-0.00096968,98.9340,1,0.012978,80.343090,-0.00274564,106.7482,1,0.029324,243.646038
2015-01-22,0.00833810,99.7678,1,0.015720,121.347270,-0.01114100,105.6341,1,0.031720,261.803720
2015-01-23,-0.00697997,99.0698,1,0.022607,163.003350,-0.00152932,105.4811,0,0.000000,0.000000
2015-01-26,-0.01626775,97.4430,1,0.018825,141.690030,-0.00081012,105.4001,1,0.041352,301.527565
2015-01-27,-0.00597601,96.8454,1,0.012621,122.249570,-0.00361717,105.0384,0,0.000000,0.000000
2015-01-28,0.00080620,96.9260,1,0.013610,100.772600,-0.00180149,104.8583,1,0.050569,361.561775
2015-01-29,0.00500553,97.4266,1,0.008307,81.824050,0.00907414,105.7657,0,0.000000,0.000000
2015-01-30,0.02803861,100.2305,1,0.018149,102.146260,-0.00598953,105.1667,1,0.041773,341.017549
2015-02-02,-0.00968569,99.2619,1,0.018929,144.025910,0.00174922,105.3416,0,0.000000,0.000000
2015-02-03,-0.00804356,98.4575,1,0.004256,42.597340,0.01095936,106.4376,1,0.043934,298.447597
2015-02-04,0.00706141,99.1637,1,0.020389,142.659600,-0.00409789,106.0278,1,0.041049,303.100890
2015-02-05,-0.01139640,98.0240,1,0.013190,82.154470,-0.01214449,104.8133,1,0.037189,319.605560
2015-02-06,-0.02467087,95.5569,1,0.024397,123.513850,0.01066483,105.8798,0,0.000000,0.000000
2015-02-09,-0.00418641,95.1383,1,0.013661,62.177370,0.00588575,106.4684,1,0.053155,303.288245
2015-02-10,0.00655579,95.7939,1,0.021451,120.800740,-0.00557277,105.9111,1,0.043327,299.756550
2015-02-11,-0.00806307,94.9876,1,0.014377,102.898530,0.00911752,106.8229,0,0.000000,0.000000
2015-02-12,-0.00840322,94.1472,1,0.012362,80.789330,0.00646314,107.4692,1,0.038426,262.300159
2015-02-13,-0.01993738,92.1535,1,0.009988,102.510160,0.01059480,108.5287,0,0.000000,0.000000
2015-02-17,0.00479225,92.6327,1,0.009665,102.142790,-0.00121705,108.4070,1,0.038645,284.367697
