date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,-0.00707154,99.2928,1,0.036924,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.00037557,99.3304,0,0.000000,0.000000,0.01043497,101.0435,1,0.033743,200.000000
2015-01-06,-0.00470362,98.8600,1,0.028522,220.308124,0.01018385,102.0619,0,0.000000,0.000000
2015-01-07,-0.00872926,97.9871,1,0.020856,141.277520,0.00491659,102.5535,1,0.040941,277.408320
2015-01-08,0.00223464,98.2106,1,0.029116,142.320270,-0.01553994,100.9995,0,0.000000,0.000000
2015-01-09,-0.00367881,97.8427,1,0.040151,205.080880,0.00546656,101.5462,0,0.000000,0.000000
2015-01-12,-0.00183918,97.6588,1,0.021228,120.450650,0.01021876,102.5681,1,0.057284,284.140392
2015-01-13,-0.00173728,97.4851,1,0.027678,160.556270,-0.00225355,102.3427,1,0.033355,220.962140
2015-01-14,0.00395482,97.8805,1,0.015568,121.085450,-0.00448243,101.8945,1,0.052143,319.905920
2015-01-15,-0.00714586,97.1659,1,0.020916,160.947030,0.01282544,103.1770,1,0.061576,320.214360
2015-01-16,0.00141479,97.3074,1,0.018611,141.543990,-0.00813766,102.3633,1,0.054646,240.103140
2015-01-20,-0.00001642,97.3058,1,0.033552,203.106810,-0.00387197,101.9761,0,0.000000,0.000000
2015-01-21,0.00292632,97.5984,1,0.019208,141.243570,-0.00373168,101.6029,1,0.047118,321.906939
2015-01-22,0.00671561,98.2700,1,0.019319,161.358540,-0.01608572,99.9943,1,0.057632,321.495290
2015-01-23,0.00079306,98.3493,1,0.029304,203.195920,-0.00438987,99.5553,0,0.000000,0.000000
2015-01-26,-0.00767486,97.5818,1,0.029156,200.189590,-0.00085234,99.4701,1,0.074554,322.637931
2015-01-27,0.00047468,97.6293,1,0.026242,162.172570,-0.00307848,99.1623,0,0.000000,0.000000
2015-01-28,0.00559003,98.1883,1,0.017007,101.271070,-0.00070565,99.0917,1,0.083115,339.342513
2015-01-29,0.00752753,98.9410,1,0.021107,121.086070,-0.01516359,97.5753,0,0.000000,0.000000
2015-01-30,-0.00318743,98.6223,1,0.031543,202.228940,0.00040305,97.6156,0,0.000000,0.000000
2015-02-02,-0.00231675,98.3906,1,0.018175,140.954040,-0.00468077,97.1476,0,0.000000,0.000000
2015-02-03,-0.00541666,97.8489,1,0.027506,182.671860,-0.01073291,96.0743,0,0.000000,0.000000
2015-02-04,0.01143633,98.9926,1,0.021437,123.075880,0.00078772,96.1530,0,0.000000,0.000000
2015-02-05,0.00359981,99.3526,1,0.063339,200.681490,-0.01418696,94.7343,1,0.078276,340.924234
2015-02-06,-0.00483062,98.8695,1,0.045962,202.201540,0.00905926,95.6403,0,0.000000,0.000000
2015-02-09,-0.00317552,98.5519,1,0.030842,181.064320,0.00728340,96.3686,1,0.039800,321.357565
2015-02-10,0.00167039,98.7190,1,0.021001,161.267450,-0.00670150,95.6985,1,0.038050,279.587500
2015-02-11,0.00361827,99.0808,1,0.039073,241.530120,0.00042417,95.7409,0,0.000000,0.000000
2015-02-12,-0.00381401,98.6994,1,0.022891,180.673780,0.00429535,96.1704,1,0.048895,302.072064
2015-02-13,-0.01316441,97.3830,1,0.014421,162.509550,0.01641985,97.8124,0,0.000000,0.000000
2015-02-17,-0.00759565,96.6234,1,0.016855,121.902500,0.00474840,98.2872,1,0.046010,224.337316
2015-02-18,0.01068835,97.6922,1,0.015145,121.413570,-0.01298688,96.9885,1,0.067568,280.654730
2015-02-19,-0.00173003,97.5192,1,0.014163,122.357800,-0.01132056,95.8565,1,0.064116,320.406400
2015-02-20,0.00213211,97.7324,1,0.016519,160.918620,0.00040408,95.8969,1,0.041662,360.063500
2015-02-23,-0.00646318,97.0861,1,0.020808,121.065730,-0.00288801,95.6081,1,0.040751,341.538650
2015-02-24,-0.00083443,97.0027,1,0.012783,100.839310,-0.00105505,95.5026,1,0.035385,281.027610
2015-02-25,0.00088689,97.0914,1,0.031501,162.006260,-0.00802722,94.6999,1,0.044902,320.414600
2015-02-26,0.00228582,97.3200,1,0.073308,200.627350,-0.00298430,94.4014,1,0.135330,379.300800
2015-02-27,0.00339989,97.6599,1,0.014701,120.158070,-0.00386555,94.0149,1,0.051035,299.595900
2015-03-02,0.00210277,97.8702,1,0.029053,200.423490,-0.00127187,93.8877,1,0.032867,319.983100
2015-03-03,0.00089390,97.9596,1,0.025610,141.716190,-0.01251506,92.6362,1,0.047546,361.931040
2015-03-04,-0.01141676,96.8179,1,0.019446,140.912900,0.00128630,92.7648,1,0.065400,379.541440
2015-03-05,0.00033259,96.8512,1,0.008951,61.656710,-0.00059823,92.7050,1,0.066063,300.158310
2015-03-06,0.01148815,98.0000,1,0.020555,141.002210,0.00444559,93.1496,1,0.034461,281.052740
2015-03-09,0.00076059,98.0761,1,0.033191,238.834470,0.00472766,93.6223,0,0.000000,0.000000
2015-03-10,-0.00313154,97.7629,1,0.059514,201.485330,-0.00308531,93.3138,1,0.067721,280.216421
2015-03-11,0.00293190,98.0561,1,0.028760,179.697860,0.00147332,93.4611,0,0.000000,0.000000
2015-03-12,0.00767132,98.8232,1,0.038848,221.339810,-0.00479274,92.9819,1,0.034354,299.670630
2015-03-13,0.00145324,98.9686,1,0.041146,243.112420,0.00257403,93.2393,0,0.000000,0.000000
2015-03-16,-0.00832829,98.1357,1,0.025309,180.186610,0.00675482,93.9147,0,0.000000,0.000000
2015-03-17,-0.00395015,97.7407,1,0.016585,142.893400,0.00168359,94.0831,0,0.000000,0.000000
2015-03-18,-0.00409835,97.3309,1,0.021265,120.489590,-0.01094513,92.9886,1,0.041303,324.624230
2015-03-19,0.00069780,97.4007,1,0.017480,143.120930,0.00901407,93.8900,0,0.000000,0.000000
2015-03-20,0.00118860,97.5195,1,0.020800,160.520940,0.00805172,94.6952,1,0.030228,241.507206
2015-03-23,0.00858537,98.3781,1,0.037943,263.540680,-0.00251659,94.4435,0,0.000000,0.000000
2015-03-24,0.00208979,98.5870,1,0.048061,240.402140,-0.00253166,94.1903,1,0.049366,322.475815
2015-03-25,-0.00326980,98.2601,1,0.034480,200.610740,0.00005674,94.1960,1,0.048776,300.035220
2015-03-26,-0.00275969,97.9841,1,0.018369,121.479540,0.00217135,94.4131,0,0.000000,0.000000
2015-03-27,-0.00416817,97.5673,1,0.013887,120.643360,-0.00757154,93.6560,1,0.057134,337.248991
2015-03-30,-0.00018753,97.5485,1,0.028453,201.894690,-0.00604473,93.0515,1,0.045403,320.754200
2015-03-31,-0.00375105,97.1734,1,0.032515,182.676560,0.00279785,93.3313,0,0.000000,0.000000
2015-04-01,-0.00177849,96.9956,1,0.023359,120.759890,-0.00151582,93.1797,1,0.052252,322.535733
2015-04-02,-0.00441921,96.5536,1,0.035481,160.632390,0.00352515,93.5322,1,0.040555,320.008550
2015-04-06,-0.00023994,96.5296,1,0.029304,200.931560,0.00116987,93.6492,1,0.037013,281.378230
2015-04-07,0.00377403,96.9070,1,0.017447,161.916210,-0.00452700,93.1965,0,0.000000,0.000000
2015-04-08,0.00248882,97.1559,1,0.032398,160.512410,-0.00093171,93.1034,1,0.053101,320.209440
2015-04-09,-0.00595844,96.5601,1,0.031634,201.032100,0.00988557,94.0919,0,0.000000,0.000000
2015-04-10,0.00145381,96.7055,1,0.018539,120.679750,0.00354622,94.4465,1,0.042848,281.385910
2015-04-13,0.00389811,97.0953,1,0.023489,160.501240,-0.00487841,93.9587,1,0.033251,280.990710
2015-04-14,0.00209028,97.3043,1,0.023822,140.772360,-0.00733792,93.2249,1,0.061922,339.718950
2015-04-15,0.00202009,97.5063,1,0.038541,200.760670,0.00271784,93.4967,1,0.067376,360.149570
2015-04-16,0.00620233,98.1266,1,0.017767,181.265050,-0.00756421,92.7403,1,0.032361,321.208360
2015-04-17,0.00290073,98.4166,1,0.020317,160.600660,0.00348880,93.0891,1,0.053770,379.946340
2015-04-20,-0.00368596,98.0480,1,0.014976,120.975930,0.00279883,93.3690,0,0.000000,0.000000
2015-04-21,0.00270824,98.3189,1,0.021186,162.453140,0.00061185,93.4302,0,0.000000,0.000000
2015-04-22,-0.00257119,98.0617,1,0.018839,200.580030,-0.00038498,93.3917,1,0.064748,279.889486
2015-04-23,-0.01006438,97.0553,1,0.019408,121.059260,0.00014949,93.4067,1,0.067501,300.555550
2015-04-24,0.00610233,97.6655,1,0.012357,81.609990,-0.00018087,93.3886,1,0.031067,301.021510
2015-04-27,0.00093385,97.7589,1,0.016625,140.533070,-0.00262485,93.1261,1,0.045245,260.297900
2015-04-28,0.01105348,98.8643,1,0.019992,160.633310,0.00483915,93.6100,1,0.063675,358.974660
2015-04-29,0.00166715,99.0310,1,0.025325,199.430400,0.01493252,95.1033,1,0.047778,301.233510
2015-04-30,-0.00748945,98.2820,1,0.026055,160.510160,0.00227652,95.3309,1,0.052668,281.089030
2015-05-01,-0.00901566,97.3805,1,0.023176,160.322570,0.00244931,95.5758,0,0.000000,0.000000
2015-05-04,0.00711292,98.0918,1,0.021028,182.826970,-0.00436768,95.1391,0,0.000000,0.000000
2015-05-05,0.00342630,98.4344,1,0.030730,221.852040,0.00998225,96.1373,0,0.000000,0.000000
2015-05-06,-0.00643386,97.7910,1,0.026776,220.321780,0.00202093,96.3394,0,0.000000,0.000000
2015-05-07,0.00317155,98.1082,1,0.029735,161.123650,-0.00492844,95.8465,1,0.065414,299.624747
2015-05-08,-0.00246363,97.8618,1,0.018433,161.151590,-0.00011473,95.8351,1,0.055693,341.488310
2015-05-11,0.00361741,98.2235,1,0.017659,141.830770,-0.00351415,95.4837,0,0.000000,0.000000
2015-05-12,0.00106758,98.3303,1,0.029702,200.195740,-0.00329537,95.1541,1,0.058507,361.623488
2015-05-13,0.00648367,98.9787,1,0.017823,120.886080,-0.01174386,93.9797,1,0.044566,340.447590
2015-05-14,0.00400830,99.3795,1,0.030740,220.872210,-0.00217938,93.7618,1,0.053008,360.131560
2015-05-15,0.00269526,99.6490,1,0.031494,242.267570,-0.01275088,92.4867,0,0.000000,0.000000
2015-05-18,0.00341742,99.9908,1,0.023048,140.751520,-0.00816422,91.6703,1,0.065322,382.598002
2015-05-19,-0.00137689,99.8531,1,0.028989,201.030770,0.00075918,91.7462,1,0.050332,380.735660
2015-05-20,0.00465101,100.3182,1,0.014499,160.483000,-0.00208944,91.5373,1,0.037384,340.257930
2015-05-21,-0.00439962,99.8782,1,0.019782,140.948080,0.00058967,91.5962,1,0.051483,340.988200
2015-05-22,0.00254283,100.1325,1,0.022147,160.922320,0.00422953,92.0192,1,0.037177,300.750230
2015-05-26,0.00042758,100.1752,1,0.020232,180.150390,-0.00477544,91.5416,0,0.000000,0.000000
2015-05-27,0.00069502,100.2448,1,0.018118,180.117310,0.00027577,91.5692,0,0.000000,0.000000
2015-05-28,0.00023548,100.2683,1,0.018222,161.175320,-0.00162902,91.4063,0,0.000000,0.000000
2015-05-29,-0.01131777,99.1365,1,0.026367,200.299810,0.00553905,91.9602,1,0.049295,338.685095
2015-06-01,-0.00321920,98.8146,1,0.016340,141.044630,0.00611195,92.5714,0,0.000000,0.000000
2015-06-02,0.01113826,99.9284,1,0.022594,160.954160,-0.00876345,91.6951,1,0.044225,261.094008
2015-06-03,0.00800164,100.7286,1,0.023096,200.808080,0.01507463,93.2025,1,0.042857,359.836340
2015-06-04,0.00468379,101.1970,1,0.021631,141.485020,-0.01331105,91.8714,1,0.022605,201.803860
2015-06-05,-0.00302574,100.8944,1,0.016544,160.549970,0.01550527,93.4219,0,0.000000,0.000000
2015-06-08,0.00127154,101.0216,1,0.023216,161.422430,-0.00778900,92.6430,1,0.018360,140.814427
2015-06-09,-0.00111448,100.9101,1,0.020978,160.610910,0.00557178,93.2002,0,0.000000,0.000000
2015-06-10,0.00045098,100.9552,1,0.021992,140.717490,-0.00207544,92.9927,1,0.027464,220.055262
2015-06-11,0.00192422,101.1476,1,0.026908,202.460630,-0.00524581,92.4681,0,0.000000,0.000000
2015-06-12,0.00017216,101.1648,1,0.030714,221.038830,0.00474045,92.9421,1,0.047355,383.123013
2015-06-15,-0.00582535,100.5823,1,0.037135,160.074050,0.00728740,93.6709,0,0.000000,0.000000
2015-06-16,0.00206898,100.7892,1,0.016442,160.363120,-0.00019706,93.6512,0,0.000000,0.000000
2015-06-17,-0.00630480,100.1587,1,0.044730,181.549740,0.00366360,94.0175,0,0.000000,0.000000
2015-06-18,-0.00399283,99.7594,1,0.028073,141.299110,0.00809369,94.8269,1,0.039751,301.132724
2015-06-19,-0.00548245,99.2112,1,0.017485,142.434750,-0.00221182,94.6057,0,0.000000,0.000000
2015-06-22,-0.00003956,99.2072,1,0.034766,121.105960,0.00051389,94.6571,1,0.051391,342.009130
2015-06-23,-0.00606122,98.6011,1,0.019782,141.379630,0.00401294,95.0584,1,0.032676,260.943460
2015-06-24,0.00485656,99.0868,1,0.018464,140.605700,-0.00240393,94.8180,1,0.026763,260.546610
2015-06-25,-0.00753750,98.3330,1,0.028070,121.200180,0.00015297,94.8333,0,0.000000,0.000000
2015-06-26,0.00344734,98.6778,1,0.031566,121.034240,-0.00211455,94.6219,1,0.047255,357.838082
2015-06-29,-0.01005465,97.6723,1,0.020485,141.066820,0.00827578,95.4494,1,0.039182,320.301120
2015-06-30,0.00397465,98.0698,1,0.024195,179.754600,-0.00246650,95.2028,0,0.000000,0.000000
2015-07-01,0.00671907,98.7417,1,0.028743,221.231500,-0.00622097,94.5807,1,0.046677,337.601273
2015-07-02,0.00218979,98.9606,0,0.000000,0.000000,-0.00227570,94.3531,0,0.000000,0.000000
2015-07-06,0.00268581,99.2292,1,0.024989,162.688298,0.00686538,95.0397,1,0.048902,342.370977
2015-07-07,-0.01387648,97.8416,1,0.014618,140.416890,0.00656158,95.6958,1,0.047832,320.851520
2015-07-08,-0.01519760,96.3218,1,0.015700,122.426890,0.01921328,97.6171,1,0.044832,301.903490
2015-07-09,0.00629015,96.9508,1,0.031415,161.599260,-0.01122892,96.4943,0,0.000000,0.000000
2015-07-10,-0.00010845,96.9400,0,0.000000,0.000000,0.00919322,97.4136,1,0.047998,377.705627
2015-07-13,-0.00403851,96.5361,1,0.045201,283.305959,0.01236627,98.6502,0,0.000000,0.000000
2015-07-14,0.00153984,96.6901,1,0.010946,121.977890,0.00110067,98.7603,1,0.024253,223.545962
2015-07-15,0.00201647,96.8918,1,0.030793,160.928710,-0.00213516,98.5468,0,0.000000,0.000000
2015-07-16,-0.00465772,96.4260,1,0.029622,200.515300,0.00252263,98.7990,1,0.048717,360.340840
2015-07-17,-0.00165656,96.2603,1,0.018576,141.925710,-0.00056951,98.7421,0,0.000000,0.000000
2015-07-20,-0.00989703,95.2706,1,0.021563,200.253400,0.00725482,99.4675,1,0.045068,321.163179
2015-07-21,-0.00206625,95.0640,1,0.024775,142.037840,0.00804402,100.2719,1,0.037498,301.108690
2015-07-22,0.00361537,95.4255,1,0.014563,120.750890,0.00207420,100.4794,1,0.039540,320.473000
2015-07-23,0.01283579,96.7091,1,0.028181,201.197280,-0.00258506,100.2209,1,0.035286,300.698040
2015-07-24,0.01135296,97.8444,1,0.040144,221.058080,0.02602081,102.8229,1,0.051599,339.327560
2015-07-27,-0.00694045,97.1504,1,0.018965,178.902140,-0.00487390,102.3356,1,0.031150,281.734340
2015-07-28,0.01323686,98.4741,1,0.026564,180.002700,-0.01061564,101.2740,1,0.047234,301.233300
2015-07-29,-0.00058352,98.4157,1,0.045422,242.594350,-0.00086978,101.1870,0,0.000000,0.000000
2015-07-30,0.00170755,98.5865,1,0.031635,202.557870,0.00156429,101.3434,0,0.000000,0.000000
2015-07-31,-0.00939951,97.6465,1,0.022621,201.073370,0.00967647,102.3111,1,0.046223,326.386298
2015-08-03,-0.00823421,96.8231,1,0.029871,180.938370,0.00313440,102.6245,1,0.033870,241.383650
2015-08-04,0.00561784,97.3849,1,0.023726,180.876850,-0.01047078,101.5774,1,0.033128,280.860590
2015-08-05,-0.00425526,96.9594,1,0.027226,200.087170,0.00024013,101.6015,1,0.043217,340.821030
2015-08-06,0.01035297,97.9946,1,0.029713,201.643060,-0.01785470,99.8160,1,0.046880,301.237830
2015-08-07,-0.01321660,96.6730,1,0.038270,221.356310,0.00413123,100.2291,1,0.051817,359.113610
2015-08-10,0.01437722,98.1107,1,0.023688,140.821230,-0.01989101,98.2400,1,0.045801,260.673840
2015-08-11,-0.00182226,97.9285,1,0.033696,221.345890,0.01203615,99.4436,0,0.000000,0.000000
2015-08-12,-0.00696839,97.2316,1,0.047599,239.879030,0.01054064,100.4977,1,0.033756,241.409414
2015-08-13,0.00247278,97.4789,1,0.023202,141.567340,-0.01469675,99.0280,1,0.042555,241.339460
2015-08-14,-0.00020480,97.4584,1,0.022770,161.308000,-0.00161454,98.8666,1,0.051934,380.428480
2015-08-17,0.00314951,97.7734,1,0.030099,181.294730,-0.00980893,97.8857,1,0.039253,281.286860
2015-08-18,-0.00442622,97.3308,1,0.043432,221.623350,0.00070702,97.9564,0,0.000000,0.000000
2015-08-19,-0.00503447,96.8273,1,0.019647,120.506130,0.00110147,98.0665,1,0.037583,301.574698
2015-08-20,-0.00853164,95.9742,1,0.026494,180.327820,0.01359752,99.4263,1,0.046058,299.764750
2015-08-21,-0.00178444,95.7957,1,0.026304,161.253010,0.00480220,99.9065,0,0.000000,0.000000
2015-08-24,0.00118520,95.9142,1,0.027390,122.178280,0.00774039,100.6805,0,0.000000,0.000000
2015-08-25,0.00352696,96.2669,1,0.039684,200.907490,-0.00047205,100.6333,0,0.000000,0.000000
2015-08-26,0.00359408,96.6263,1,0.022162,161.983760,0.00032948,100.6663,0,0.000000,0.000000
2015-08-27,-0.00544216,96.0821,1,0.053916,226.545230,-0.00984665,99.6816,0,0.000000,0.000000
2015-08-28,-0.00464444,95.6177,1,0.013174,124.388560,-0.01331685,98.3499,0,0.000000,0.000000
