date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,-0.01513966,98.4860,1,0.037646,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,0.01021732,99.5078,1,0.055508,380.173860,0.01043497,101.0435,1,0.033743,200.000000
2015-01-06,0.01677108,101.1849,1,0.050932,239.329960,0.01018385,102.0619,0,0.000000,0.000000
2015-01-07,0.00509259,101.6941,1,0.023341,200.714060,0.00491659,102.5535,1,0.040941,277.408320
2015-01-08,-0.00950348,100.7438,1,0.047808,302.558920,-0.01553994,100.9995,0,0.000000,0.000000
2015-01-09,-0.00658882,100.0849,1,0.057402,343.546200,0.00546656,101.5462,0,0.000000,0.000000
2015-01-12,0.01016363,101.1013,1,0.062797,299.473740,0.01021876,102.5681,1,0.057284,284.140392
2015-01-13,-0.00225355,100.8759,1,0.033355,220.962140,-0.00225355,102.3427,1,0.033355,220.962140
2015-01-14,-0.00448243,100.4277,1,0.052143,319.905920,-0.00448243,101.8945,1,0.052143,319.905920
2015-01-15,0.01282544,101.7102,1,0.061576,320.214360,0.01282544,103.1770,1,0.061576,320.214360
2015-01-16,-0.00813766,100.8964,1,0.054646,240.103140,-0.00813766,102.3633,1,0.054646,240.103140
2015-01-20,-0.00413690,100.4828,1,0.077130,382.227840,-0.00387197,101.9761,0,0.000000,0.000000
2015-01-21,-0.00391059,100.0917,1,0.065009,339.514480,-0.00373168,101.6029,1,0.047118,321.906939
2015-01-22,-0.01608572,98.4831,1,0.057632,321.495290,-0.01608572,99.9943,1,0.057632,321.495290
2015-01-23,-0.00981327,97.5018,1,0.045527,343.757080,-0.00438987,99.5553,0,0.000000,0.000000
2015-01-26,-0.00090580,97.4112,1,0.079900,360.119420,-0.00085234,99.4701,1,0.074554,322.637931
2015-01-27,-0.00257846,97.1534,1,0.034306,301.294500,-0.00307848,99.1623,0,0.000000,0.000000
2015-01-28,-0.00065005,97.0884,1,0.077555,319.522100,-0.00070565,99.0917,1,0.083115,339.342513
2015-01-29,-0.00489041,96.5993,1,0.085471,278.868090,-0.01516359,97.5753,0,0.000000,0.000000
2015-01-30,0.00085737,96.6851,1,0.053843,342.736750,0.00040305,97.6156,0,0.000000,0.000000
2015-02-02,0.00660793,97.3459,1,0.064187,317.810220,-0.00468077,97.1476,0,0.000000,0.000000
2015-02-03,0.00069982,97.4158,1,0.037688,282.970800,-0.01073291,96.0743,0,0.000000,0.000000
2015-02-04,-0.00920274,96.4956,1,0.050804,303.759430,0.00078772,96.1530,0,0.000000,0.000000
2015-02-05,-0.01418580,95.0770,1,0.078160,358.154210,-0.01418696,94.7343,1,0.078276,340.924234
2015-02-06,0.00448277,95.5253,1,0.055753,360.970720,0.00905926,95.6403,0,0.000000,0.000000
2015-02-09,0.00724278,96.2495,1,0.043862,320.754410,0.00728340,96.3686,1,0.039800,321.357565
2015-02-10,-0.00670150,95.5794,1,0.038050,279.587500,-0.00670150,95.6985,1,0.038050,279.587500
2015-02-11,-0.00325496,95.2539,1,0.048936,321.550720,0.00042417,95.7409,0,0.000000,0.000000
2015-02-12,0.00440952,95.6948,1,0.037478,300.423780,0.00429535,96.1704,1,0.048895,302.072064
2015-02-13,0.00488707,96.1835,1,0.047533,322.244990,0.01641985,97.8124,0,0.000000,0.000000
2015-02-17,0.00466455,96.6500,1,0.054395,301.773340,0.00474840,98.2872,1,0.046010,224.337316
2015-02-18,-0.01298688,95.3513,1,0.067568,280.654730,-0.01298688,96.9885,1,0.067568,280.654730
2015-02-19,-0.01132056,94.2193,1,0.064116,320.406400,-0.01132056,95.8565,1,0.064116,320.406400
2015-02-20,0.00040408,94.2597,1,0.041662,360.063500,0.00040408,95.8969,1,0.041662,360.063500
2015-02-23,-0.00288801,93.9709,1,0.040751,341.538650,-0.00288801,95.6081,1,0.040751,341.538650
2015-02-24,-0.00105505,93.8654,1,0.035385,281.027610,-0.00105505,95.5026,1,0.035385,281.027610
2015-02-25,-0.00802722,93.0626,1,0.044902,320.414600,-0.00802722,94.6999,1,0.044902,320.414600
2015-02-26,-0.00298430,92.7642,1,0.135330,379.300800,-0.00298430,94.4014,1,0.135330,379.300800
