date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.01077351,101.0774,1,0.023779,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,-0.00372599,100.7048,1,0.059659,360.794390,0.00414168,100.4142,1,0.038452,200.000000
2015-01-06,-0.01908046,98.7967,1,0.046786,239.735800,0.01189887,101.6041,0,0.000000,0.000000
2015-01-07,0.00887550,99.6843,1,0.029850,201.043760,0.00163008,101.7671,1,0.047572,297.671421
2015-01-08,-0.00434447,99.2498,1,0.052427,321.989660,-0.01653856,100.1132,0,0.000000,0.000000
2015-01-09,-0.00133314,99.1165,1,0.044064,304.009440,0.00483019,100.5962,0,0.000000,0.000000
2015-01-12,0.01410860,100.5274,1,0.035990,260.046530,0.02038699,102.6349,0,0.000000,0.000000
2015-01-13,-0.00264010,100.2633,1,0.060880,338.415810,0.00289268,102.9242,1,0.037332,222.676051
2015-01-14,-0.00423030,99.8403,1,0.042440,320.326230,0.00451520,103.3757,1,0.044500,300.598720
2015-01-15,-0.00101605,99.7387,1,0.041355,320.723030,0.00432682,103.8084,1,0.043758,321.047340
2015-01-16,-0.00443468,99.2952,1,0.034448,238.707010,0.00092335,103.9007,1,0.027005,179.550900
2015-01-20,-0.00870917,98.4243,1,0.037597,262.447800,0.00327331,104.2281,0,0.000000,0.000000
2015-01-21,-0.00474275,97.9500,1,0.033695,281.221420,-0.00051997,104.1761,1,0.035627,262.961577
2015-01-22,0.00876592,98.8266,1,0.050818,301.409560,-0.01058136,103.1179,1,0.063226,341.235070
2015-01-23,0.00618785,99.4454,1,0.039725,303.021610,-0.00753335,102.3646,0,0.000000,0.000000
2015-01-26,0.00014502,99.4599,1,0.042008,299.750070,-0.00591233,101.7734,1,0.047933,323.038742
2015-01-27,0.00565835,100.0258,1,0.035675,301.462370,-0.02759532,99.0138,1,0.048522,341.302680
2015-01-28,-0.00132541,99.8932,1,0.048611,319.571790,0.00494456,99.5083,1,0.061334,361.231110
2015-01-29,-0.00208937,99.6843,1,0.052997,318.873790,0.00024980,99.5333,0,0.000000,0.000000
