date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,-0.00038536,99.9615,1,0.023036,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,-0.00598416,99.3630,1,0.024006,220.667140,0.00264532,100.2645,1,0.030678,200.000000
2015-01-06,-0.01473746,97.8893,1,0.032086,239.439190,0.00844747,101.1093,0,0.000000,0.000000
2015-01-07,0.00052233,97.9415,1,0.041057,220.504080,0.00377312,101.4866,1,0.054938,277.881956
2015-01-08,0.01125356,99.0669,1,0.033114,203.586150,0.00694799,102.1814,0,0.000000,0.000000
2015-01-09,-0.00915065,98.1518,1,0.030825,223.385150,0.00466151,102.6475,0,0.000000,0.000000
2015-01-12,-0.00297769,97.8541,1,0.021969,160.500140,0.00944889,103.5924,1,0.032891,245.620763
2015-01-13,0.01352903,99.2070,1,0.029087,180.213820,0.00890589,104.4830,1,0.044391,260.819140
2015-01-14,-0.00477116,98.7298,1,0.037106,240.438930,0.00629021,105.1120,1,0.036039,241.261900
2015-01-15,-0.00423937,98.3059,1,0.028297,180.310990,0.00871963,105.9840,1,0.046707,301.677900
2015-01-16,0.00594583,98.9005,1,0.033227,200.344640,-0.00049348,105.9347,1,0.040628,279.754950
2015-01-20,-0.01197840,97.7026,1,0.034230,242.128930,0.01088070,107.0227,0,0.000000,0.000000
2015-01-21,0.00130268,97.8329,1,0.022532,161.676670,-0.00274564,106.7482,1,0.029324,243.646038
2015-01-22,-0.00412728,97.4202,1,0.030068,241.462480,-0.01114100,105.6341,1,0.031720,261.803720
2015-01-23,-0.01107919,96.3123,1,0.041209,223.793160,-0.00152932,105.4811,0,0.000000,0.000000
2015-01-26,-0.00898080,95.4142,1,0.023210,201.163870,-0.00081012,105.4001,1,0.041352,301.527565
2015-01-27,-0.00468188,94.9460,1,0.038738,242.001690,-0.00361717,105.0384,0,0.000000,0.000000
2015-01-28,-0.00349783,94.5962,1,0.035483,201.175030,-0.00180149,104.8583,1,0.050569,361.561775
2015-01-29,-0.01395128,93.2011,1,0.034128,199.133720,0.00907414,105.7657,0,0.000000,0.000000
2015-01-30,0.00982945,94.1840,1,0.038495,241.081780,-0.00598953,105.1667,1,0.041773,341.017549
2015-02-02,0.00631882,94.8159,1,0.025808,199.315200,0.00174922,105.3416,0,0.000000,0.000000
2015-02-03,-0.00156415,94.6595,1,0.030195,241.805850,0.01095936,106.4376,1,0.043934,298.447597
2015-02-04,0.01053768,95.7133,1,0.025882,242.454680,-0.00409789,106.0278,1,0.041049,303.100890
2015-02-05,-0.00710563,95.0027,1,0.029383,220.104650,-0.01214449,104.8133,1,0.037189,319.605560
2015-02-06,-0.02249848,92.7529,1,0.022768,183.167480,0.01066483,105.8798,0,0.000000,0.000000
2015-02-09,-0.00342365,92.4105,1,0.034945,200.623620,0.00588575,106.4684,1,0.053155,303.288245
2015-02-10,0.00804102,93.2146,1,0.032728,280.063180,-0.00557277,105.9111,1,0.043327,299.756550
2015-02-11,-0.01109804,92.1048,1,0.030884,261.534650,0.00911752,106.8229,0,0.000000,0.000000
2015-02-12,0.00522317,92.6271,1,0.015973,141.121240,0.00646314,107.4692,1,0.038426,262.300159
2015-02-13,-0.01383040,91.2441,1,0.043830,243.150670,0.01059480,108.5287,0,0.000000,0.000000
2015-02-17,-0.00121021,91.1230,1,0.022541,202.043050,-0.00121705,108.4070,1,0.038645,284.367697
2015-02-18,0.00360435,91.4835,1,0.042495,221.180820,-0.00656857,107.7501,1,0.050987,339.778700
2015-02-19,-0.00780114,90.7034,1,0.041304,201.607150,-0.00584054,107.1660,1,0.056934,321.206250
2015-02-20,0.00228712,90.9321,1,0.024938,140.988050,0.00764820,107.9309,1,0.056160,359.551960
2015-02-23,0.00390151,91.3222,1,0.027599,202.078670,-0.01094511,106.8364,0,0.000000,0.000000
2015-02-24,-0.00341551,90.9807,1,0.032021,220.227590,-0.00771728,106.0646,1,0.051518,362.996687
2015-02-25,-0.00365984,90.6147,1,0.024574,161.792530,-0.01461830,104.6028,1,0.050510,340.300570
2015-02-26,0.00893000,91.5077,1,0.029000,240.533450,-0.00316748,104.2860,1,0.061328,340.840920
2015-02-27,0.01070431,92.5781,1,0.027749,200.980920,-0.00647222,103.6388,1,0.038592,320.121900
2015-03-02,-0.00135241,92.4429,1,0.026651,201.282220,-0.00495875,103.1430,1,0.056285,321.151970
2015-03-03,0.00832274,93.2752,1,0.023686,181.750790,-0.00608848,102.5341,1,0.053658,301.694390
2015-03-04,0.00352703,93.6279,1,0.032947,279.888100,-0.00753324,101.7808,1,0.044154,320.295410
2015-03-05,-0.00424254,93.2036,1,0.042314,260.013170,-0.00956408,100.8244,0,0.000000,0.000000
2015-03-06,0.00603053,93.8067,1,0.039157,261.193480,0.00312910,101.1373,1,0.049100,340.246540
2015-03-09,-0.00612087,93.1946,1,0.024827,239.217050,0.00144383,101.2817,0,0.000000,0.000000
2015-03-10,0.00365072,93.5596,1,0.033768,241.061720,-0.00344976,100.9367,1,0.044766,300.298405
2015-03-11,-0.00667219,92.8924,1,0.028209,200.261880,0.01015597,101.9523,0,0.000000,0.000000
2015-03-12,-0.00212203,92.6802,1,0.022903,160.613430,-0.00002203,101.9501,1,0.042263,280.041609
2015-03-13,0.00175336,92.8556,1,0.026594,222.600160,0.00429318,102.3794,0,0.000000,0.000000
2015-03-16,-0.00688121,92.1674,1,0.043341,220.334570,-0.00358613,102.0208,1,0.042003,301.657909
2015-03-17,0.00050518,92.2180,1,0.033682,182.597920,0.00627867,102.6487,0,0.000000,0.000000
2015-03-18,0.01242471,93.4604,1,0.020329,140.725800,-0.00758864,101.8898,1,0.042224,262.191022
2015-03-19,0.00062128,93.5226,1,0.027542,183.059380,0.00820332,102.7101,0,0.000000,0.000000
2015-03-20,0.00432480,93.9550,1,0.031630,240.470190,-0.00750351,101.9598,1,0.040761,262.417980
2015-03-23,-0.00502696,93.4523,1,0.034616,281.993050,0.00003813,101.9636,0,0.000000,0.000000
2015-03-24,0.00380998,93.8333,1,0.032962,260.203400,-0.00186034,101.7776,1,0.031244,280.555053
2015-03-25,-0.00630400,93.2029,1,0.043150,299.351400,0.01026556,102.8041,1,0.045494,299.648450
2015-03-26,-0.00203445,92.9995,1,0.028105,259.335530,-0.00752095,102.0520,0,0.000000,0.000000
2015-03-27,0.00818281,93.8178,1,0.024079,200.464040,-0.00644732,101.4073,1,0.051252,357.053642
2015-03-30,0.00196732,94.0145,1,0.043488,301.383760,-0.00277231,101.1300,1,0.046201,302.181600
2015-03-31,-0.00214738,93.7998,1,0.036298,242.308940,0.00126756,101.2568,0,0.000000,0.000000
2015-04-01,0.00605687,94.4055,1,0.033243,240.101380,0.00325908,101.5827,1,0.043402,282.266107
2015-04-02,0.00029767,94.4352,1,0.032273,240.106610,0.00023129,101.6058,1,0.037151,300.019370
2015-04-06,0.00903561,95.3388,1,0.051069,301.460640,0.00862557,102.4684,1,0.036963,281.164220
2015-04-07,0.00849619,96.1884,1,0.032511,242.042910,-0.00576677,101.8917,1,0.042537,262.038420
2015-04-08,-0.00544672,95.6437,1,0.027342,220.447070,0.00031384,101.9231,1,0.052016,319.697540
2015-04-09,0.00114388,95.7581,1,0.035172,260.681610,0.00669778,102.5929,1,0.046642,281.789480
2015-04-10,-0.00972888,94.7852,1,0.030008,220.602100,0.00067957,102.6608,1,0.038563,282.343820
2015-04-13,0.00666106,95.4513,1,0.021744,161.383520,0.00177061,102.8379,1,0.042249,301.130440
2015-04-14,-0.00042153,95.4092,1,0.034343,279.903550,-0.00314186,102.5237,0,0.000000,0.000000
2015-04-15,-0.00561415,94.8478,1,0.034685,220.872130,0.00700619,103.2243,1,0.041511,320.085046
2015-04-16,0.00026919,94.8747,1,0.030091,221.071070,-0.00554298,102.6700,1,0.037578,261.789450
2015-04-17,0.00471609,95.3463,1,0.023481,180.993530,-0.00120552,102.5495,1,0.041652,299.608120
2015-04-20,-0.00799754,94.5465,1,0.023194,200.277910,-0.00228736,102.3207,0,0.000000,0.000000
2015-04-21,-0.00078407,94.4681,1,0.018757,162.084340,0.00831833,103.1526,0,0.000000,0.000000
2015-04-22,0.00855914,95.3240,1,0.022516,180.867610,-0.00839711,102.3129,1,0.029371,260.933393
2015-04-23,-0.00872714,94.4513,1,0.022794,220.443790,0.00066328,102.3792,1,0.045522,319.806600
2015-04-24,0.00358743,94.8101,1,0.027197,181.341280,-0.00747652,101.6315,1,0.051452,300.784310
2015-04-27,0.00388538,95.1986,1,0.030352,240.198300,-0.00707350,100.9242,1,0.056830,359.723700
2015-04-28,-0.00446943,94.7517,1,0.025443,219.335010,0.00129085,101.0533,1,0.046125,359.018560
2015-04-29,-0.01125922,93.6257,1,0.038622,240.925520,0.00976818,102.0301,0,0.000000,0.000000
2015-04-30,-0.00095330,93.5304,1,0.046740,220.501560,-0.00433137,101.5970,1,0.046597,280.986848
2015-05-01,0.00237765,93.7682,1,0.020645,140.969530,0.00193536,101.7905,1,0.043584,319.625820
2015-05-04,-0.00493155,93.2750,1,0.030745,222.120530,-0.00822787,100.9677,0,0.000000,0.000000
