date,model_ret,model_equity,model_rebalanced,model_cost,model_traded,naive_ret,naive_equity,naive_rebalanced,naive_cost,naive_traded
2015-01-02,0.00929615,100.9296,1,0.033535,200.000000,0.00000000,100.0000,0,0.000000,0.000000
2015-01-05,-0.00511153,100.4185,1,0.058533,360.462010,0.00414168,100.4142,1,0.038452,200.000000
2015-01-06,-0.02253393,98.1651,1,0.053953,298.527020,0.01189887,101.6041,0,0.000000,0.000000
2015-01-07,-0.00229092,97.9360,1,0.018512,141.449720,0.00163008,101.7671,1,0.047572,297.671421
2015-01-08,0.00609845,98.5458,1,0.042575,282.448460,-0.01653856,100.1132,0,0.000000,0.000000
2015-01-09,-0.00260257,98.2856,1,0.046527,343.125800,0.00483019,100.5962,0,0.000000,0.000000
2015-01-12,-0.00251311,98.0343,1,0.043051,319.570710,0.02038699,102.6349,0,0.000000,0.000000
2015-01-13,-0.00385167,97.6491,1,0.058567,319.326860,0.00289268,102.9242,1,0.037332,222.676051
2015-01-14,-0.00540520,97.1086,1,0.044500,300.598720,0.00451520,103.3757,1,0.044500,300.598720
2015-01-15,-0.00520198,96.5884,1,0.043758,321.047340,0.00432682,103.8084,1,0.043758,321.047340
2015-01-16,-0.00146345,96.4420,1,0.027005,179.550900,0.00092335,103.9007,1,0.027005,179.550900
2015-01-20,-0.01206043,95.2360,1,0.036433,282.355740,0.00327331,104.2281,0,0.000000,0.000000
2015-01-21,-0.00014579,95.2214,1,0.030949,281.451930,-0.00051997,104.1761,1,0.035627,262.961577
2015-01-22,0.00931684,96.1531,1,0.063226,341.235070,-0.01058136,103.1179,1,0.063226,341.235070
2015-01-23,0.00802703,96.9558,1,0.049777,383.494890,-0.00753335,102.3646,0,0.000000,0.000000
2015-01-26,0.00500995,97.4568,1,0.042305,339.512660,-0.00591233,101.7734,1,0.047933,323.038742
2015-01-27,0.02662488,100.1193,1,0.048522,341.302680,-0.02759532,99.0138,1,0.048522,341.302680
2015-01-28,-0.00617124,99.5021,1,0.061334,361.231110,0.00494456,99.5083,1,0.061334,361.231110
2015-01-29,-0.00336994,99.1652,1,0.043484,279.543810,0.00024980,99.5333,0,0.000000,0.000000
2015-01-30,-0.00351936,98.8132,1,0.052586,303.025930,0.00249349,99.7826,1,0.050001,319.983147
2015-02-02,0.00175128,98.9883,1,0.051242,338.770510,-0.00732570,99.0500,0,0.000000,0.000000
2015-02-03,-0.01405667,97.5827,1,0.047247,322.394210,0.01312473,100.3625,1,0.045947,299.128614
2015-02-04,-0.00410813,97.1719,1,0.047233,324.273120,-0.00453086,99.9094,0,0.000000,0.000000
2015-02-05,-0.00881925,96.2899,1,0.049895,280.711440,0.00780491,100.6899,1,0.051539,343.168214
2015-02-06,0.00781065,97.0710,1,0.036975,302.715530,0.02353410,103.0433,0,0.000000,0.000000
2015-02-09,-0.00101879,96.9691,1,0.040159,300.235980,0.00023454,103.0668,1,0.038266,283.008197
2015-02-10,0.00550925,97.5201,1,0.052045,299.906720,-0.00655015,102.4118,1,0.052045,299.906720
2015-02-11,0.00337436,97.8575,1,0.043774,323.459430,0.00380281,102.7921,0,0.000000,0.000000
2015-02-12,-0.00823837,97.0336,1,0.054037,339.576970,0.00730698,103.5227,1,0.039102,282.983191
2015-02-13,-0.02791730,94.2419,1,0.036070,262.358060,0.02718199,106.2409,0,0.000000,0.000000
2015-02-17,-0.00469911,93.7720,1,0.031611,203.607160,0.00412982,106.6539,1,0.025318,205.090425
2015-02-18,0.00860403,94.6324,1,0.047977,340.377160,-0.00956357,105.6976,1,0.047977,340.377160
2015-02-19,0.01830273,96.4627,1,0.049837,320.889800,-0.01929947,103.7676,1,0.049837,320.889800
2015-02-20,-0.00519966,95.9427,1,0.048586,379.374710,0.00422794,104.1904,1,0.048586,379.374710
2015-02-23,0.00280789,96.2235,1,0.047891,261.200880,-0.00376571,103.8138,1,0.047891,261.200880
2015-02-24,0.01063756,97.2873,1,0.045384,320.610500,-0.01154524,102.6593,1,0.045384,320.610500
2015-02-25,0.00589136,97.8764,1,0.052364,360.540680,-0.00693864,101.9655,1,0.052364,360.540680
2015-02-26,-0.02820375,95.0560,1,0.047625,359.486040,0.02725125,104.6906,1,0.047625,359.486040
2015-02-27,-0.00240893,94.8151,1,0.030173,242.124250,0.00180547,104.8711,1,0.030173,242.124250
2015-03-02,0.01402757,96.2179,1,0.041033,341.779480,-0.01484823,103.3863,1,0.041033,341.779480
