arm,panel,seed,year,n_days,net_pct,sharpe
ar,set1_core7,42,2015,252,7.267740300992642,1.2018327782193843
ar,set1_core7,42,2016,252,-13.94802319385134,-1.7743576543870248
ar,set1_core7,42,2017,251,4.657508417669068,0.8727037652731214
ar,set1_core7,42,2018,251,5.614973921365619,0.8789101150118681
ar,set1_core7,42,2019,252,0.7954946532469812,0.10470211314270447
ar,set2_core7,42,2015,252,1.2333482944787537,0.46763459524645373
ar,set2_core7,42,2016,252,1.338279481522372,0.4504419649553549
ar,set2_core7,42,2017,251,-3.616655437385028,-1.4104604891618262
ar,set2_core7,42,2018,251,-2.747840265924553,-1.0215991100570525
ar,set2_core7,42,2019,252,-3.647436029439784,-1.1106598205103617
ar,set3_core7,42,2015,252,-1.634311696800579,-0.23267277011413032
ar,set3_core7,42,2016,252,-8.758233758743426,-1.1731224461741034
ar,set3_core7,42,2017,251,1.2129581001511327,0.19548728479265912
ar,set3_core7,42,2018,251,-1.2609101464553982,-0.1687218981132508
ar,set3_core7,42,2019,252,-7.388032350095175,-0.9805406974814723
ar,set4_core7,42,2015,252,3.5224418444928935,0.5654203381653021
ar,set4_core7,42,2016,252,-19.647920201600794,-1.9882912083591253
ar,set4_core7,42,2017,251,1.4543894810012552,0.22034209268662278
ar,set4_core7,42,2018,251,3.2001625270623344,0.3860487066833569
ar,set4_core7,42,2019,252,-0.030799585498392235,-0.0030556854344822
gru,set1_core7,42,2015,252,-1.007018413661774,-0.13367774624798456
gru,set1_core7,42,2016,252,14.877012005347606,1.6347671813429734
gru,set1_core7,42,2017,251,1.030882037290387,0.13916795649170838
gru,set1_core7,42,2018,251,17.542052157605255,1.8273526340839845
gru,set1_core7,42,2019,252,17.52713598668759,1.9143508039073918
gru,set1_core7,43,2015,252,0.2139206186280003,0.025010412867471153
gru,set1_core7,43,2016,252,23.987246504766787,2.7210355344897104
gru,set1_core7,43,2017,251,-2.7171016364208227,-0.3313183241949394
gru,set1_core7,43,2018,251,13.484470906678498,1.300212885888436
gru,set1_core7,43,2019,252,16.097052569967307,1.4250132839199945
gru,set1_core7,44,2015,252,5.077706232376896,0.5398869121215633
gru,set1_core7,44,2016,252,-0.9294356461039729,-0.09429659805332677
